,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.171820385379043,0,0.129622446596112,0,0,0,0.138420116757893,0.00351952416741504,0,0,0.01042972932986,0,0.0753795640865992,0.044250225311865,0,0,0,0,0.11144352144751
ETH,0.374009341475088,0,0.169738007755915,0.0750970630412374,0.0440423088542095,0.369274640019179,0.0355228634976278,0,-0.0202944038239179,0.0302619817705581,0.043210442163377,0,0.00282966439260215,-0.0632088278374384,0,-0.436822895333794,0,0,0,-0.0165911623581181
XRP,0,0.456113452703193,0,0.0995237800489502,0.111062523687089,0,0,0.0259015728366352,-0.153726231271036,-0.0834384297403237,0.1605576522481,0.0402841088519669,0,0.209136100240352,0,0,0,0,0,-0.0442906741787593
BCH,0,0.146094548814772,0.294798599197763,0,-0.0704007817198419,0,0,0.206316934567911,0,0.165743564068979,0,0.0480572928126525,0,0.00204272910625798,0,0,0,0,0,0
EOS,0,0,0,0.844067281370692,0,0,0.0578811280600831,-0.145317913396277,-0.240038314727944,-0.0324219247169549,0.699214585392708,0.714574824084191,-0.398271347493295,0,-0.738334299322383,0,0,0,0,0.0473665907891616
LTC,0,0.483112928795974,0,0.120604840972504,0,0,0,0.143156552774419,0,0,0.0991139233213641,0,0.0334370612036276,0.0359037017781125,0,0,0,0,0,0
ADA,0,0,0.2983045537367,0.0208915414152334,0,-0.0377662793747891,0,0,-0.0225072493486676,0.171749064155668,0.323371166048327,0.213266218759776,-0.201406039280066,0.19438021559714,0.0772454854136932,0,-0.260262456458353,0,0,0
XLM,0.0965575754007838,0,-0.00000000000000000693889390390723,0.0658376588046101,0,0,0.252962753267087,0,0.0667767110038514,0.0966319211064912,0.179375828342349,0,0,0.144583819194321,0.0639414495095829,0,0,0,0,0
TRX,0.791063778646131,-0.932674792688515,0,0.776540820718076,0.271301678966595,0.00000000000000000693889390390723,-1.116482116776,-0.118761820769082,0,0.325235843181951,0,-0.374470325552344,0.582575913058296,0.310601170662346,0,0,-0.0985646440131043,0,0,0.179795569311038
MIOTA,0,0,0.193776233700974,0.0334797691421097,-0.195142045829034,0,0.252670281704044,0.237852546014265,0.1190658093188,0,0,0,0,0.0172661285289905,0.357924320753023,0,0,0,0,0.0380647348548037
NEO,0,0,0,0,0.091314067310895,0.10397073776419,0.0378539142741382,0.150450131794124,0,0.17704874800516,0,0.0650422467817861,0,0,0.361577470533975,0,0,0,0,0.0999921962029733
XMR,0,0,0.39406397149377,0.0613981797354265,0.0100318300722727,0,0.127574097819927,0,0.0672845552146941,0,-0.026511399685657,0,0.140827155031638,0,0.0301854644580235,0,0,0,0,0
DASH,0.0970421401185529,0.0527310506020285,0.0321962414603437,0.222147864887727,0,0,0,0.242532887994411,0.0323019714967434,0.128181754356733,0.0487818734306251,0,0,0,0.0469257573188964,0,0,0,0,0.126627260297721
XEM,0,0,0.250092210121677,0.00000000000000000693889390390723,-0.0318076926048887,0,0.0514738920040159,0.403701269554338,0.14671573748694,0,0.0678842127340951,0,0,0,0,0,0,0,0,-0.066620211618903
ETC,0,0,0.33573409732878,0,0,0.311517726139847,0.0925484102323894,0.0586931407377028,0,0.0259790552382966,0.120691712852412,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0970471342725212,0,0,0,0,0.0576050730533619,-0.00423498701227502,-0.00771137145287795,0.0131010220288727,-0.000402377670396798,0.101250963582538,-0.243645198413006,0,0,0.067295172903327,0,0,-0.0855656817711941
CVIX.INDEX,0.0258158095304428,-0.00469214331413394,0,0.0315500726110212,0.0306774606037003,0,-0.108467914725923,0,0.000000000000000000216840434497101,0.0963896473660679,0,0,-0.266067030979851,0.0844714023093119,0.0782536442397321,0.285784411844022,0,0.687813856510935,0,0.0818463931505469
DXY.INDEX,0,0.0379712192971567,0.0100441849509262,0,0.000385397151590979,0,0.0172281043610726,-0.00638051720095028,0,-0.0155196080861261,0,0,0,-0.0340791680612746,0,0,0.0453278126338965,0,0,-0.00365722295687768
SPX.INDEX,0,0,0.0216866434708311,0.0547278617137982,0.0145576673243311,0,0,0.026110593745084,-0.030084222070719,-0.0353773699237052,0.0122336300585954,-0.0556378133705731,0,-0.00339553379466325,0,0,0.0659783185349154,0,0,-0.119902525356493
VIX.INDEX,0.0753055254564188,0,0.193026721999785,0,-0.0766360098081645,-0.0571347452787556,-0.0402821154402878,0,0.194792593237831,-0.0326147685363332,0.181805722016093,-0.498290701724254,0.489363335198671,-0.345580858296392,0,0,0.00000000000000000346944695195361,0,-3.60113303078525,0
