,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,EOS,XLM,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.136497540890073,0,-0.092833347012685,0,0.0118512399393932,-0.00787226727049085,0,0.122081610334181,0.116243214393093,0,0,0.269880252845747,-0.0249634327720634,0,0,0,0,0,-0.0323228028312853
ETH,-0.106069177925157,0,0,0.0261673200813851,0.0178068237585797,0.230921621058782,0.000318004886945578,0.134270291254825,0.0189295012571399,0,0.066635818823481,0.0214761816398497,0,0.0312368402924247,0.143737245566997,0,0,0,0,0
XRP,0,0,0,0.0684069176637629,1.73472347597681e-18,0,0.0946260102727875,0,0.243037209912679,0.352879816093906,0,0.213896785612443,0.0158596376464241,0.0434961211142642,0.132455390425708,0,0,0,0,0.135035221080644
BCH,0,0.152351730582582,-0.0708973826636169,0,-0.0235567397509497,0,0.0368750779164582,0.184700768181804,0,0,0,0.195522487550118,0.256154246899305,0.0309001266875352,0.120017257493144,0,0,0,0,0
ADA,0,0,0.217420414243316,0.00552864368195793,0,0.0584807097430891,0.0790747939468672,0.320539996163009,0,0.284168554604049,0,0,0,0.0437026429883161,0.035456164016317,0,0,0,0,0
LTC,0.088351418838149,0.131378256109009,0,0,0.0185230565546916,0,0,0,0.00216627190787208,0,0.199692862491977,0,0,0.0776062011842313,0,0,0,0,0,0
XEM,0.199926240176022,0,0.188024197820366,0.0908547726993617,0.113409729137508,-0.113062214062792,0,0.117230763800562,0.021323504637342,0,0.219287308383575,0,0,-0.121507347093539,0.192335272339974,0,0,0,0,0
NEO,0.171613721563218,0.682075074270556,0,0,0.0212547182176111,0.114627281255561,0,0,0,0.0333756246821915,0,0,0,0,-0.0930262567654976,0,0,0,0,0
EOS,0,0.0450786202041552,0,0.0394041639238961,-0.0422002509637731,0.224785314956119,0.096510491095641,0,0,0.281375450635673,-0.00676590800266584,0,0,0.130829665612792,0.230637058781105,0,0,0,0,0
XLM,0.12840493001734,0,0.237206989424203,0,0.243771866453441,0.1006934031639,0.0254842532041416,0.102194625362962,0,0,0.0435743355408736,0,0.303475531455625,-0.190971932534721,0,0,0,0,0,0
MIOTA,0.0439841919455522,0,-0.222765369154389,0,0,0,-2.77555756156289e-17,0.0658265060284892,0.403993326664479,0.368133712330177,0,0.173077789140901,0.130491290447192,-0.103966951019327,0.0716114560096725,0,0,0,0,0
DASH,-0.0155796729107277,0,0.0460701935020483,0.0514149624917027,0.00679197569906581,0.195466048496213,0.01720767646696,0,0.119927310214318,0,0.050782323025218,0,0.0609060558807254,-0.0305767215939629,0.129141888728153,0,0,0,0,0
XMR,0.126517359717572,0,0,0.0259341581005074,0,0.0859267870434476,0,0.248261056453778,0,0.103709481414546,0.0691977191038523,0,0,0.0781652891706056,0.210795841161315,0,0,0,0,0
TRX,1.55543364211567,0,0.0834825515172987,0,0.291772255585518,-0.601879688229165,-0.737811245948914,-0.0347868714565037,0,0,0.123709718031444,0,0,0,0.347806559863251,0,0,0,0,0
BTG,0.07497174051834,0.265043180238266,0.118750853629718,0.303129856924486,-0.00139846827503077,0,0.113848594968712,-0.0675876938873813,0.210521971521251,0,0,0,0,-0.0638376102320532,0,0,0,0,0,0.509927366654672
BV010082.Index,-0.0260615531621475,0,-0.0175620876788001,-0.0425185541466509,-0.00719131172769357,0.00805995255470596,0.00828576270949868,0,0,0.00776790130370081,0.0120630260681637,0.0309572437378663,0.0242857500826097,-0.00397924639481708,0.0064650038122473,0,0,0,0,0
CVIX.Index,0,0,0.0207583363176905,0,0.0063977470759052,-0.0744217073952564,0.00841228100088778,-0.0537685690718164,0,0.0167312975348308,0,0,-0.00884059898209563,-0.0243962304933498,0,0,0,0,0,-0.0552286409764616
DXY.Curncy,0,0,0,0.0010465915612919,0,0,-0.00332298486120705,-0.00527690883589944,-0.00503923222965433,-0.00827234982653971,0.0148306610276104,-0.0123695341065429,0.00752412306068051,0.00514776326216429,-0.0100410618080016,0,0,0,0,-0.0302264287898466
SPX.Index,0,0.00826216703332626,5.39594326450324e-05,-1.0842021724855e-19,0.00492399260183364,0.00129505117749368,0,0.00147387672848821,0.00188701361344817,-0.00444186592700807,-0.000707694722653695,0.0036296612137061,0,-0.00277378585284797,0,0,0,0,0,-0.0414514643930265
VIX.Index,0,-0.354257054713195,0.0812608879026821,0.0957673262058142,0.0298072148536685,-0.0175027503861922,-0.0538666402273572,0.0152298834935894,0,-0.0919319177155526,0.148035820411764,-0.133352881619123,-3.46944695195361e-18,-0.0272468299263713,0,-0.597046160081,0,0,0,0
