,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,TRX,ADA,LEO,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.236798508403033,0.231895307878014,0,-0.192373309716484,0,0,0,0.130115850028896,0.0491099227530686,0,0,0,0.124163990789314,0.497479010262999,-0.127177998338594,0,0,0,0.0593680748197593
ETH,0.147312162425679,0,0,0.178242384891016,0.0869708468805309,0.149306435021049,0.196679065469303,-0.000000000000000000433680868994202,0,0,-0.138568286878259,0.107742543851257,-0.141027864728626,0,0.447364622143077,0,0,0,0,0
XRP,0.140465349169812,0.00617145358004028,0,0.282322509032242,0,0,0.137794382185867,0,0,0,0,0.314742916637225,0,-0.00608660618628643,-0.0658893012797729,-0.0695684437275697,0,0,0,-0.046823957833892
BCH,0.176709039708919,0.554882243617459,0,0,0.0101759828667135,0,0.0800478415282722,0.228434534817505,-0.0023910850237734,0,-0.115336848840263,0,-0.0728185380802176,0.0213352068990008,0.172353797548175,0,0,0,0,0.0346793335371263
LTC,0,-0.000000000000000000433680868994202,0,0.211792126019569,0,0,0.324587432300828,-0.0414147303435548,0,0.19822770402607,0.0101509693251567,0.0951070493211611,0,0.0308329215109618,0,0,0,0,0,0
BNB,-0.22345949607311,0.360749945378986,-0.0728592618649696,-0.234864254015514,0.375832114219327,0,-0.184094105362733,0.160504739521467,0.324130243588556,0,-0.117315402270776,0,0,0.158094008977264,0,0.447329747735462,0.407493220538692,0,0,-0.173740277651555
EOS,0.0430955595938385,0.0335834618271046,0.475169469026409,0,0.154295155440911,0,0,0.278930875256563,0.161987934389199,0,0,0,0,0,0.0113162115873384,0,0,0,0,-0.000000000000000000216840434497101
BSV,-0.228433473578939,0,0,0.533503369770305,0.0301345179985692,0,0,0,0,0,0.402052677640731,0,0.222064328679266,0.132025546517799,0.165722582598486,0,0,0,0,0
XMR,-0.136312743565288,0,0,0,-0.265512995979795,0.356733447325081,0.349688328285941,0,0,0,0.0992617099718726,0,0.390076681476585,0.0445792091073155,0.366885536743891,0,0,0,0,0
XLM,0.135439026682905,0,0,0.0839706338838576,0.0617953957695385,0,0,0,0.166295484211657,0,0,0.431115967994588,0,0,0,0,0,0,0,0
TRX,0.144693568241,0,0,0,0.190052341161341,0,0,0.189127156111598,0.18385062780251,0.389375058183075,0,0.123014721417112,0,0,0.129927820158073,0,0,0,0,0.0854020592559905
ADA,0,0.342078239217178,0,0,0.0981026830344008,0,0.0151720339985229,-0.217038295365978,0,0.153778389631733,0.384004776044087,0,0,0.0506443471898909,0,0,0,0,0,0
LEO,0,0,0,0,0.133271006296962,-0.0537898570849657,0,0,0.298171173188857,0,-0.104977717257165,0,0,0.0408856514412899,0,0.02454896503222,-0.200598457204917,0,0,-0.083113977657106
XTZ,-0.0970018831062983,0,0,0.32367636145727,-0.214307694018642,0.106611565920386,0,0.334205330083195,-0.017151790589394,0,0,0.279052446585189,0,0,0,-0.221490405882071,0,0,0,0.208508162476769
DASH,0.341311493645686,0.288018135790877,-0.341733672181357,-0.119345422967755,0,0,0,0.202101267959086,0.140009521551291,0,0.186215021745692,0,0.180157963602949,0,0,0,0,0,0,-0.0397243098114515
BV010082.INDEX,-0.378426322450514,0,0.500644266110896,0,0,0.0258516864860552,0.209443926688005,-0.164653924846664,-0.479631027456346,-0.40071589499678,0,0.32275361927945,-0.2055029455078,0.167043026928058,0.416540971546633,0,-0.594710890104663,1.00579431763946,0,-0.0540888854874582
CVIX.INDEX,-0.809236226909493,0,0.61994007220696,0,0.0537092357688661,0,0,-0.143128979721745,0.190229778304421,0,-0.317034145594669,0,0,0.0347031994632156,0.569889045839814,0,0,0,0,0.072636675399175
DXY.INDEX,0.0167914513768058,0,0,-0.0265972583115935,0.0234766853828672,0,0.0146430237244131,0.00169614478099055,0,0,-0.0327842554822745,0,0.00302139045228908,0.00341723798252258,0,0.0735397887790953,0,0,-0.0702203082284611,-0.00398614901375425
SPX.INDEX,-0.0132017259264834,-0.0402313243650592,0,0,0.00895181651390405,0.0321522308298439,-0.0143288835644696,0,-0.0282190890555828,0.0598602397237889,0,0,0,0.00171284245546561,0,0,-0.0379077239481799,0,0,-0.0749976292049255
VIX.INDEX,-0.228612702980636,0.368899433006155,0,0.215611678154612,0.0560492250998217,-0.365478111848953,-0.718525440109347,0.118491958547151,-0.357742663098781,0,0,0.621673693852177,0,0,0,0.50977334214011,0.63115150456203,0,-3.72407815194411,0
