,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,LINK,LEO,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.000419856505686138,0,0,0.41969191866794,0,0,0.12744498977159,0,0,0.185032650150542,0,0,0,0,0,0,0,0,0
INNBCL,18.5922144867125,0,17.9343239686221,0,0,0,0,-24.6831244951376,-11.954096958397,0,-5.89260896014646,1.86900344238394,-22.058069568867,20.6997863299597,-14.5282495240135,-9.21401057398897,0,0,10.7981452053771,0
ETH,0.012994274104246,0.00187874008870826,0,0.130342192771823,0.132063596323927,0,0.0036932381823907,0.000436569704145072,0.253730682710631,0.0130898230354053,0.263267183588865,0.027741675087572,0,0,0.20012028438032,0.0502067195886879,0.0201019468549135,0,0,0.0132789988125453
XRP,0,-0.000853885166564562,0.169769953525256,0,0,-0.00000000000000000693889390390723,0.138008958511982,0.206501530364628,0,0,0,0.0406447366785907,0,0.271935680237909,0,0,-0.0217826131693426,0,0,0.0277995161354463
BCH,0.148398914082736,0,0.39602951952312,0.0939896928470899,0,0.285585759961491,0,0.0602994439741132,0,0.0149745931538124,0.0320130477919543,0,0,0,0,0,0,0,0,0
BSV,0,-0.00519044356840234,0,0,0.440451338468268,0,0,0.244853049434715,0.0780071054801548,-0.0371872860004042,0,-0.0294036109395765,0,0,0.31489857891541,0.0287324472416809,0.156312100672534,0,0,-0.0569671729763551
LTC,0,0,0,0.0415331336642394,0,0.227908209437202,0,0.0653068284430516,0.589097885113819,-0.026943247481205,0,-0.0204964471155564,0,0,0,0,0.0753978025525137,0,0,-0.0351687138353908
BNB,0.0330832939508004,-0.00471561182705923,0.356225220544797,0,0.434301052752444,0,0,0,0,0,0.00221183896915868,0.105101479563102,0,0,0,0,0,0,0,0
EOS,0,0.00284988572436428,0.300931302945692,0,0.503824055101715,0,0.239388145729294,0.0479035564341114,0,0.0134530602559301,-0.133943978359598,0,0,0,0.019485409069597,0,0.0141035604063305,0,0,-0.0560293148231567
TAGZ5,0,-0.0147753380026726,0.168445909882959,0,0.756948154658358,0,0,-0.919548639959406,0,0,0.335985253647119,0.486833353224525,0,0,0.163086235775211,-0.438332324264439,0,0,0,0.0632176019464389
XTZ,0,-0.00298484648032684,0.073947978006423,0,0,0.142020454457579,0,0.251310846954959,0,0.0954193551368826,0,0.472824089420361,0.148227817696885,0,0,0,-0.000000000000000000867361737988404,0,0,0.010787540787568
LINK,0,-0.00398574491213353,0.141160601580937,0,0.0666991884575015,0.0939157342226793,0,0.217878513450483,0,-0.0229076216182238,0.513515188169188,0,0,0,0,0,0.0236551775422344,0,0,0.0193585413003111
LEO,0,0,0,0,-0.124722813395166,0.00879888005765202,-0.179587947379953,0,0,-0.00917928860701474,0.0870399723279574,0.117797259025434,0,0,0,-0.00307007165218469,-0.0137764035424472,0,-0.142060813779515,-0.0688182089711794
XLM,0,-0.00198197371672881,0.0117314572835175,0.228484743977326,0.352607204543015,0.0183726143628618,0,0,0,0.0363073220711342,0.178687743713783,0,-0.217263298133656,0,0.0683075191736426,0,0,0,0,0
XMR,0,0,0.175822415153391,0,0.0591732259602663,0.0729634447952014,0,0.170583139835357,0.27049771795412,0,0.111203542093039,0.00246767694847642,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0.00339890203435895,0.132193353726198,0,0,0.260494552353157,0,-0.972917397611744,-0.120807585939456,0.0968697970579296,-0.800902502681534,0.638793191380312,0,0.839920763890544,0,0,0.114777374140517,0,0.0482017069236238,0
CVIX.INDEX,0,-0.00849718033501175,0,-0.0000000000000000277555756156289,0,0.133346331229186,0,-0.518540744096188,0,-0.212976261923372,0.306096105552722,0,0,0,0,0.337312374906431,0,0,-0.610421626407958,0.359170588459203
DXY.INDEX,0.0550803043980722,-0.000314041574615023,0,-0.194675119127402,0,0,0.0158294833528508,0.0286686647244778,0,-0.00211663033235071,0.0422892731873548,-0.0291813023912884,0,0.0731376808604041,0,0.0152889833519888,-0.0160424654311649,0,-0.0169177670208143,-0.00826829348010216
SPX.INDEX,0,0.00147173381554963,0,0,0,-0.1395352739337,0,0,0,0,0,0.1626944755383,0,0,-0.0570996440499142,0.241861423232727,0,0,0,-0.206002218823784
VIX.INDEX,0,0.0279814828604479,0.940718408159502,0,0,-0.0310899198121782,0,-1.16642705483929,-0.646039087989098,0.119440817512899,0.599827737211025,-0.302394048606989,0,1.06764820020342,-0.666481284472292,0,0,0,-1.34845968444402,0
