,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0241756908651807,0,0.269745757480308,0.167376427620186,0.137501625148449,0,0.225168616813636,0,0,0,0,-0.207272007811762,0.0537343652275583,0,0,0.00563017134399233,0,0,-0.01403062132847
ETH,0.146932056981332,0,0.095545189750134,0.204950113337643,0.144406732315117,0.171041632991177,0.346843992142506,0,-0.0696332761795482,-0.0683767705467959,0,0,0,-0.0787206768934504,0.139591146303833,-0.227323253466644,0.320923772621797,0,0,0
XRP,0,0,0,-0.0643457919328032,0.164255945474829,-0.298155535350196,0,0,0,0.0928452198949764,0.328362142928474,-0.0185224354907171,0,0.418602642622869,0.380925578838798,0,0,0,0,-0.013895546086788
BCH,0,0,1.73472347597681e-18,0,0.176522789239071,0.300391481012187,0,0,0.0385695883984359,0.0738660159784508,0.278256313734435,0.0813767304972856,0,0.0948177503813869,0,0,0,0,0,-0.087218847358713
LTC,0.117853595137939,0.0509170177014946,0.0411794219180335,0.125713410191686,0,0,0.0299868116688228,0,0.131509406376071,0,0,0.0962654237175504,0,0,0.0852922359467049,0,0,0,0,-0.00773868541695255
NEO,0,0.532060649178693,0,0.146137587368829,0,0,0,0.164457123793051,0,0.0154761939471793,0,0,0,-0.0829995318447607,0.264250817061495,0,0,0,0,0
XLM,0,0.140318347027818,0.0849322005148555,0.095134224448996,0,0.0746266818016414,0,0.168600995302401,0.00658207165834632,0.0981657960191665,0,0.233414845583892,0.00418803452784194,0.0499838713914985,0,0,0,0,0,0
ADA,0,0,0.0243632164122998,0,0,0.0221532167213427,0,0,0.087382993618973,0.0379030410330734,0,0.443668517296458,0.0972492332355934,0.0390296455106666,0,0,0,0,0,0
EOS,0,0,0.131531866351739,0.176598340396688,0.263084368783455,-0.248248625574479,0,0,0,0.118728033204596,0,0,0,0.153338640874355,0.198718952503392,0,0,0,0,-0.0916586834120515
XMR,0,0,0.00296456598624434,0,0.221316415571407,0.282355817481483,0,0.286627585156173,0.0551140681965752,0,0,0.0490628170780609,0,0.0347391012054921,0,0,0,0,0,0
DASH,0,0.0936252201735047,0.211973220296327,0.19180359714831,0,0,-0.142885591407162,0.10559252964295,0,0.225251805406861,0,0.229675931005942,0,0,0,0,0.33244709683171,0,0,0.00633279432108681
MIOTA,0,-0.101986766229978,0.0927507870549098,0.107729319856745,0.162966517800637,0,0,0.0602702169435285,0.00802572695668066,0.104563491283799,0.427165919613008,0,0.107080092230689,0,0,0,0,0,0,0
XEM,0.176937580693686,-0.0619520481497857,0,0,0.299436830257024,0.177200710164425,0,0.206247704954838,0,0,0,0,0,0.184487124481572,0,0,0,0,0,0.0725917024658729
TRX,1.53411949698369,0,0.374538269802928,0,-0.736640915472131,-0.398628375846805,0,0.0287164721886812,0,-0.286490351255005,0,0.163622359819976,0.143927391199741,0,0.255283517181043,0,0,0,0,0.265849819844741
ETC,0,0,0.269531296561137,0.0413859630712632,0,0.286177819891694,0.159319790183445,0,0.190622692348481,0,0,0,0,0.0529255783235164,0,0,0,0,0,0
BV010082.Index,0,-0.070663988154484,0.0350723523763648,0.101486634226612,-0.0233037041856322,-0.0171517551697977,0.0213968311355336,-0.0451522121612601,0,0,0,0,0.0120148900804336,-0.0473048306879421,0.0493784442765748,0,0.198259232973492,0,0,-0.0360595571396737
CVIX.Index,0,0,0,0.02980065016583,0,-0.025500334498559,0,0.196235461343089,-0.0628675968715607,-0.0632108613551274,0,-0.114586526436629,0.059641620942631,-0.0377723316017699,-0.00796317712049079,0,0,0,0,0.0598451563843044
DXY.Curncy,-0.00827467487803565,0.0287832064654328,0.0250580043684193,-1.35525271560688e-20,0,-0.00214987565055948,-0.0373314860275669,0.0186165814576566,-0.0305328257559002,-0.00885551054029855,0,0,0,-0.00571837995769241,0,0,-0.0335405686730232,0,0,0.00395172225382023
SPX.Index,0,-0.0277748219023216,0,0.00913498444164868,0,0.00202261117014105,0,-0.0087597640490479,0,0.0213981065372244,0,0,0.0242145250755055,-0.0543195123925317,0,0,0,0,0,-0.0791329950059074
VIX.Index,-1.15427142506854,0,0,0.38193745994038,0,0.394902242759574,0.120781547566591,-0.00221624481876679,0.281659164295649,0,-0.143998231773841,-0.328654643409846,0.152463026082993,0,0,-1.47539644485633,0,0,-3.07634685323072,0
