,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0830860184749992,-0.154485399836855,0.229133538222291,0.233864551405106,0.127452357482959,0,0.0532446487627251,0,0.059354283925101,-0.087658165687561,0,-0.0118140834999999,0,0,0,0,0,0
ETH,0,0,0.195829571311254,0,-0.0751052945205308,0.125448015927648,0.0184822516596721,0,0.223312053096426,0.210158062633911,-0.072412042836543,0,0.0883459192892467,0,0.206688599181099,0,-0.283096978002159,0,0,0.057354245464433
XRP,0,0.377511580503347,0,0,0,0,0,0.135965890602206,-0.16966613302437,0,0,-0.0259961233813721,0.120805106083386,0.174965841147231,0,0,0,0,0,0
BCH,-0.220934770635066,0,0.197437916008282,0,-0.557941882736149,0,0.900700349178592,0.164408924896754,-0.661546267360199,0.864781386766067,-0.0616980368203846,0.619010277036121,0.423252986275663,-1.11746628205785,0,0,0,0,0,-0.0978674178887872
LTC,0.139627690853544,0,0.0898593379056871,0.00887099884093042,0,-0.19637960138665,-0.0460282227991919,0.0181287288869704,0,0.747454406059733,0.113488304607671,0.265879862461901,0,0,-0.15217482895544,0,0,0,0,0
DASH,0.129084103947955,0,0.0412991190569748,0,0,0,0.123720988716055,0,0.0664962615872794,0,8.67361737988404e-19,0.296158116124603,0.21540499075211,0,0.0423043528807215,0,0,0,0,0
XEM,0,0.0836730043072782,0.137455390874836,0.0332838224453425,0.106996206151552,0.538390782131578,0,-0.157514549540041,0.0126476948903058,7.69571550597731e-05,0.118721564681287,-0.174627211688894,0,0.361940590253064,0,0,0,0,0,0.15169939758996
XMR,0,0,0.193767763745137,0.0799683682183768,0,0.132676642446279,0.0778406938692102,0,0.101080959168447,0.0187232474129818,0.0538893601367166,0.145730599844848,0,0.167456538809836,0,0,0,0,0,-0.0960711018572601
MIOTA,0.592529499772645,0,0,-0.179162705906397,0,0.457750280880066,0.278744227975517,0.205160603770239,0,0.150472096594048,-0.0032830072620701,0,0.07596165943838,0,-0.0943716505756532,0,0,0,0,0.181324342935814
ETC,0,0.371767170362545,0,0.0436347985497698,0.545994402017906,0,0,0.18362050382732,0,0,0.00628664410517983,0,-0.0844462184129206,0.00566474495272377,0.0700197463407959,0,0,0,0,0
NEO,0,-0.108823649480136,0,0.0275670349800319,0.55541355000406,-0.0913794314197351,0.286826560089807,0.169009337199837,0.328128717651851,-0.373128410404222,0,0,0.198653827211264,0,-0.0265072227245687,0,0.382277930217022,0,0,-0.334756712660157
ZEC,0,0.106423191644912,0,0.0542312713898419,0.0567307384241152,0.15776896787759,0,-6.93889390390723e-18,0.198182059835989,0,0,0,0,0.131261374919838,0.0301086626077653,0,0,0,0,0
EOS,0,0,0,0.026945136283238,0.489409984241279,0,0,0.202421943457198,0.253668450001602,8.67361737988404e-19,0.221710001135329,0.0771012161651163,0,0.104424459886907,0,0,0,0,0,0
XLM,0,0.20101287054339,0.0792337062609867,0,0,-0.138457906919461,0.0906547822808837,0.480232062857747,0,0,-0.0149214498798876,0,0,0,0.225043072414292,0,0,0,0,0
BAT,0,0.120461592474033,0,0,0,0,0.125646777253332,0,0.0310990993479887,0,0.144109570676718,0.216159019283511,0.0974750514235279,0.286838683864048,0,0,0,0,0,-0.181070868469949
BV010082.Index,0,0,-0.00303461267778924,-0.00174359668567174,0.00794331646429893,-0.0546568593436353,0.0106462202664734,0.0282378173845079,0,0,0,0.0782522266900629,-0.0365581703381096,0,0.0156934425965584,0,0,0,0,-0.0855271141784224
CVIX.Index,0.0483668276200683,0,0.0682696816010583,-0.0180596127515157,0.0723070003980813,0,0.0171033934750457,0,0.0483190677238056,0,0,-0.122087260414412,-0.0818092386859749,0,0,0,0,0,0,0.0723526739626218
DXY.Curncy,0.00260281937409525,-0.00429764364839362,0,0.0033378725761757,0.00940989150732869,0,0,0,0.00709532195984014,0,0.00446971070769831,-0.00819261700561363,0,-0.009482876241925,0.00163201296484027,0.0302004237851674,-0.0199263729602623,0,0,0
SPX.Index,0,0,0.00517482613066909,1.0842021724855e-19,-0.00620555939476316,-0.0124785805476996,0,-0.0118739378201653,0.00306235952976703,0.0115116605104936,0,0,0,0,0.00326013348900415,0,0,0,0,-0.0485565336384353
VIX.Index,0,3.46944695195361e-18,0,0,-0.0832698349794985,-0.149960848820644,0.325294550956095,0,0.158520196931515,0,-0.207687541782584,0,-0.222075663727318,0.114148588980124,0,0,2.24014508739208,0,0,0
