,BTC,ETH,INNBCL,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00333914448012598,0,0.199268605545392,0.168571410899869,0,0,0.0866437613033303,0.0686890910229215,0,0,0.197123973383098,0,0.0817549814945383,0,0,0,0,0
ETH,0.084810440539487,0,0.0054059125927207,0.14469106615068,0.159353541702529,0,0.284248178583204,0.106172356417169,0,0.226302426357698,0.00527082098608154,0,0.0119704595168445,0,0.0299097596091732,0,-0.0252011628498234,0,0,0
INNBCL,0.512742672653888,14.017877968293,0,9.28796029341213,0,-2.76624674656476,1.13942703650991,0,0,-1.22637277098205,-5.03998485596959,0,-24.8583134827269,0,3.94459867915619,7.00622160535928,-3.43873515191413,0,0,-1.19867297190144
XRP,0,0.306833095829409,-0.00786555252576986,0,0,0,0.0866796876747007,0,0.165688611822801,0.0334525757516674,0,0,0,0.147058949670142,0,0,8.67361737988404e-19,0,0,0.0355873837629519
BCH,0.286770460082325,0.163962327983568,0,0.24544557060354,0,0.226205749294958,0.0439897033530364,0.0509183032302338,0.0720970854338615,-2.16840434497101e-19,0.0314474608395898,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0.640059049378789,0,0,0.152481793913204,0,0,0,0.147686996714953,0.282537437562364,0,0,0.0197166981541084,0.0140012007325636,0,0,0
LTC,0,0.0836079109518761,0.000605078147919354,0,0.219324238801387,0.10449257636314,0,0.537779559496405,0,-0.0118359892838246,0,0,0,0,0,0,0.113833244694604,0,0,-0.0213666202850045
EOS,0,0.250143111290818,0.00309072667061222,0.0510890275921725,0.375548101597805,0.149831833331492,0.0274370288870391,0,0,-0.151663170954914,0.0545115132007828,0,0.20200980786367,0.0453910646312122,0,0,0,0,0,-0.00857880411767661
BNB,0.180277364526404,0.146957813469025,0.000976588320106467,0,0.265843494989611,0.00708121761472292,0.043131884756137,0,0,0.0935580857683887,0,0,0.248936791245648,0,0,0,0,0,0,0
XTZ,0.404340687247549,0.0195954247843082,-0.0119208255292196,0,0,0.0175343050968187,0,0,0,0,0,0.154633948452584,0,0.26156591208102,0.412613394581429,0,-0.028618459102279,0,0,0
TAGZ5,0,0,-0.0132986170424075,0.181711717536705,0.133694111867201,-0.218511886722492,0,0,0,0,0,0,0,0.542388937728795,0.490191648825202,0,0,0,0,0.0628575609033486
LEO,0,0,0.00321947641798543,0,0,0.123412358563644,-0.342881242272249,0,0,0.205177342685753,-0.0200299980623606,0,0,0,-0.0165837742307138,-0.00985211255842993,-0.0173032012791679,0,0,-0.0401514200407938
XMR,0,0,-0.00604434538256649,0,0,-0.0260734524660037,0.0836822299876089,0.394513613452285,0,0.0655964848816019,0.022903400151383,0,0,0.30719268489865,0.125099706679543,0,-0.0946324598341804,0,0,0.0268372518679392
XLM,0,0,0.00096641999277339,0.376715502111165,0.284620738938155,0.0326198759369195,-0.0265364876308375,0,0,0,0.0591795678169062,0,0,0,0.0887897546517541,0,0.0596700686472908,0,0,-0.0134730690322589
LINK,0.395360637126462,0,-0.00217736141035238,0,0,0.151562675849087,0.301461190742139,0,0,0.280503725414213,0,0.102327076943321,0,0,0,-0.227591497751497,0.00153456964810849,0,0,0
BV010082.Index,0,0,0,0.666093698542184,0,0.502022664915042,0,-1.14200794332354,-0.386140704649705,-0.841783419105868,0.21766270012499,0,0.0121333187443281,0.55677513331292,0.580249045466137,0,0.0747872124351647,0,0.180065410190287,-0.021681778470272
CVIX.Index,0,0,0.00508245610057697,0,0,0.162507695637002,0.0304965415378137,0,0,0.319725835764988,-0.402139327121128,0,-0.630020045771197,0,0,0.207134693563908,0,0,-0.252609487677703,0.283296087070852
DXY.Curncy,0,0,0.00129887124609943,-0.0989357802017066,0,0.0218232039424021,0,0,0,0.0691432833343629,0.029103923756183,0,0,0,-0.0251358718573402,0.0080508263790615,-0.00665747686957686,0,-0.0528881658664345,-0.0255473823905177
SPX.Index,0,0.185437644391593,0.00646212785713046,0,-0.175507599878491,-0.0540702749501986,0,0.100057718457444,0,0.210933031923785,-0.0393016078164164,0,-0.0798043997942846,-0.250547647612429,0,0.29400685268178,0,0,0,-0.203683002918849
VIX.Index,-0.0736530451236623,0.585324967703023,0.00734452157217395,0,-0.0492904004507434,-0.578317271270413,0,0,0,0.339099592902593,0.354577257745802,0.669581131605076,0,0,-0.581818705319433,0,0.268297344892284,0,-1.36375147649986,0
