,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,ADA,XMR,LEO,TRX,HT,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0867410294375812,0.103639139752196,0,0,0,0,0,0.0382194059642526,0,0.143574028413301,-0.0299444322236293,0,0.262056067295147,0.372160205582853,0,0,0,0,0
ETH,0.0760256165254759,0,0,0.186531077168358,0.101271576850634,0.135994231343869,0.281880762666818,-0.0205455115471751,0,0.0639918280665744,0,-0.169407761399396,-0.121970692803498,0,0.458256219303473,0,0,0,0,0.0106953824608552
XRP,0.129518922906979,0.240562488681884,0,0,0,0.0105167561547046,0.159212543709962,-0.0149437108525728,0,0.29147812937244,0,0,0,0,-0.0187926809309465,-0.0255592455167875,0,0,0,0.05983799170785
BCH,0.161147965887806,0.465789890610818,0,0,0,0,0.245670420782984,0.151065236196552,0,0,-0.0826531861460778,0,-0.0384232367617106,0,0.257153531252256,0,0,0,0,0.0210632769513339
LTC,0,0,0,0.204856180182584,0,0,0.288444886149258,0,0.0797778065923425,0.24713547248066,0.000872928010481687,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0.0312087490369687,0,-0.209536229154987,0,0,0,0.17116471509495,0,0.203384478324902,0.258517030689867,0.430007399567004,0,0,0,0,0.0229699750710834
EOS,0.0883029799041989,0.0843148030861692,0.611305538076135,0.025192239670527,0.11139838209313,0,0,0.154337925563496,0,0.0210660118097351,0,0,-0.00000000000000000173472347597681,0,0.189293329826765,0,0,0,0,0
BSV,0.352470833335631,0,0,0.3178707436418,0,0,0,0,0,0.310956057000623,0,0,0.173143856719207,0,0.0582316055091833,0,0,0,0,0.0870053363803993
XLM,0.258399892513638,0,0,0.132893731885766,0.0717732551420044,0,0,0,0,0.144769757966322,0,0,0.0306969817368759,0,0,0,0,0,0,0.00850536469681582
ADA,0,0,0,-0.000000000000000000216840434497101,0.111183642976233,0,0.223284510761889,0,0.206947737358526,0,0,0,0.26406075098731,0.0172897935458834,0,0,0.073582821966609,0,0,0.0146135227078734
XMR,0,0,0.136703336732798,-0.0751420222934411,-0.210856184940756,0.431418518538599,0.413396597930693,0,0.210309999656991,-0.381185210022793,0,0.538633266208985,0.330517527251923,0.0253403410321182,0.067262803569936,0,-0.0312065158749806,0,0,0.0187167341434854
LEO,0,0.144794422976489,-0.0209964459176707,0,0,0.0221613107339246,0.419507340204643,0.122477101255514,-0.321099074120633,-0.23417564790628,0.247222936836394,0,0,0.375618119929079,-0.22935348302488,0.259490377651284,0.235780785838878,0,0,-0.143919955605363
TRX,0.293714515469042,0,0,0.162398344528021,0.228734131603679,0,0,0.141072734670038,0,0.230153112583738,0.117451754555851,0,0,-0.189724044975218,0.0822566607107914,0,0.0204499092017963,0,0,0.0713715077355812
HT,0.195410379532132,0.399432028275192,0,0,-0.553200244982898,0.783482374678857,0.127061681902607,-0.0342406030237934,0,0.3454127892383,-0.227915684915004,-0.028327839671985,0,0,0,-0.147188159031332,0.16635426026146,0,0,-0.00405850883255853
DASH,0.400501916371506,0.0945930582101713,0,0,0,0,0,0,0,0,0.0743617231501579,0,0.392907629123247,-0.10850181045392,0,0,0,0,0,0
BV010082.INDEX,-0.0716621246824458,0,0,0.149916450162286,0.19687306999022,0.392088970679772,0.438482366068312,-0.0643392122716848,0,-0.521948784920282,-0.657515091800987,0.535297691777382,0.363147148637089,0.0944363292958525,-0.152282008606409,0,-0.439297065504995,0,0,-0.0569268956527319
CVIX.INDEX,-0.530912116767553,0,0,0,0,0.148235219245321,0,0,0,0.20354970829145,0,0.180273210504639,0,0,0,0,0,0,0,0.0469578500976531
DXY.INDEX,0,0,0,0.00651186216383091,0.0115399855488322,0,-0.0199832552496787,0.010952325273043,-0.00757562464557652,0,0.0116192152803912,0,0,0,-0.0296916130677022,0.0520249427441127,-0.000204392590071522,0,0,-0.00372055818233281
SPX.INDEX,0.010607669521515,0,0.0171006471036823,0.0416001916466742,0,0.0127175401339293,-0.0128540225392866,-0.00205968175879241,0,-0.015559409326862,-0.0255108992202629,-0.0331862400922337,0,0,0,0.0977665600939547,0,0,0,-0.0874394478764437
VIX.INDEX,-0.229171112471686,0,0.431729936985395,0,0.283321281866535,-0.0669618142097618,0,0,0,0,-0.499198772294556,-0.127681116535614,0.133002904337825,0,0,-0.191088691086729,0.135673186403489,0,-6.43168871181044,0
