,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0265094911166638,0.0313972808700755,0.0220228559080169,0,0.119321407091776,0.0125443740433437,0.179964550352775,0.139097722079149,0,0,0.0369593154318924,0.0463832936840201,0,0,0,0,0
ETH,0,0,-0.0373924681876911,0.0188512930627114,0.113674893584643,-8.67361737988404e-19,0.145001592600087,0,0.0974362430296846,0.0508402243300521,0.151504729558201,-0.0172592707740563,0.000976861518906649,0.15241697504086,0.0239976701028518,0,0,0,0,0.0798262051850956
XRP,-0.278402938719825,0,0,0.125969745290283,0.119712586189917,-0.0522866792633199,0,0.116778153715738,0.168941024590973,0,0,0,0,0.155867392450707,0.0139613422757561,0,0,0,0,0
BCH,0.381102174870233,-0.571459125526368,4.33680868994202e-19,0,0.425135960934949,-0.0627592031380954,0.329725718145253,0,-0.128997113132867,0,0,-0.12662469738029,0.237951527671451,0,0.154891910192032,0,0,0,0,0.171902615630912
LTC,0,0.227089723073368,0.0522966296805983,-3.46944695195361e-18,0,-0.0374662160294855,0,0.0120580262556096,0,0.725565726321073,0,0,0,0.00170133634197952,-0.0482212967001205,0,0,0,0,0
DASH,0.200454935069897,0,0.086790239314741,0.185372041320634,-0.251956015101201,0,0.307087293700936,0.0446333693883646,0.140611984062931,0,0,0,0.0944751297251918,0,0,0,0,0,0,-0.123704283777962
XEM,0,0.648213659677613,-0.101524438816839,0.0229773486205334,0.0735630031671505,0.266452252823707,0,0.0623690779669556,-0.0842660002334409,1.73472347597681e-18,0,0,0,0.0668127265480782,0.211874665439502,0,-0.0790101642487819,0,0,0.0736017215095398
NEO,0,-0.1826100077154,0.00675905854651479,0,0.572386288597478,-0.0324969562444244,0.156932177970727,0,0,-0.391807555863315,0.279694127773003,0,-0.00107746929282692,0.439596473126634,0.144203497019726,0,0,0,0,-0.396010839848232
XMR,0,0,0.346654018883429,0.0619548905442,0,0,0.0855488487423242,0.121665495078322,0,0.134469554428485,3.46944695195361e-18,0,0.18055455672552,0.0276655090782148,0,0,0,0,0,0
ETC,0,0,0,0,0.672045865939961,0,0.0458509779034498,0.00935492323872758,0.113330105480087,0,0.0378615988252898,0,0,0.194709263429898,0,0,0,0,0,0
MIOTA,0,0,0.0623632542159664,-0.0481138219026756,-0.0702775538544014,0,0.0814154676866237,-0.196339750342107,0.101021884795383,0,0,-0.176859336387295,0.50667321781757,0,0.376361338477572,0,0,0,0,0
ADA,0,0,0,0.0380738258103485,0,0,0.18910017803885,0,0,0,0.151182239147769,0,0,-0.410515419011587,0,0,0,0,0,0
ZEC,0,0.209289760248008,-0.0962241728247305,0,0.0509003659553968,0.277744361980372,0.18480356861698,-0.104174067025828,0.156531806694767,0,0.111360010748023,0,0,0.120854888039191,0.189044101870251,0,0,0,0,0.0690630246017858
XLM,0,0,0,0,0.00847043968943006,0,0.37157616315069,0.0526870103969979,0.202228644034586,0.104881991689588,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.102416718182401,0.269724306557761,0,0,0.25329868453077,0.240636838784813,0.0739637687973948,0.244607854497262,0,0.0113599423086433,0.153539981842994,0,0,0,0,0,0
BV010082.Index,0,0,-0.0157301431003226,-0.00465516558652222,0,-0.0866624662844059,0.00962979970817569,0.00537800036597497,0,0,-0.0226360506042083,0,0,0.0508119447573107,0.0746474911386307,0,0,0,0,-0.0682516227392983
CVIX.Index,0.0405753744962155,0,-0.0885955490623017,-0.032829398491511,0.0133148059192848,-0.131834247735639,0.170527836613001,0,0.0362085158784898,0,3.46944695195361e-18,-0.0295700544843859,-0.00396845186732022,0,-0.0580674618215425,0,0,0,0,0.11340343198344
DXY.Curncy,0,0,0,0.00399528626106586,0.00283913948992476,-0.0350731928999958,0,0.00893802654476658,0.00558935701059354,0,0,-0.00483585061119594,0.00990257173366827,0,0,0.010856313696895,-0.0114411968892388,0,0,0
SPX.Index,0.0132317544090456,0,0,-0.00890829350822924,0,-0.00131314211685684,0,0,0,0,0.00137824795517323,0,-0.0153246979556722,0.00276554736770308,0.00169363300423615,0,0,0,0,-0.0353759078212086
VIX.Index,0,0,0,0,0,-0.156146893288175,0,-0.427454493419875,0,-0.00202416481624852,0.344337733416239,0,0,0.275385079700586,-0.152421400844079,0,1.68034676549728,0,0,0
