,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.149965753177261,-0.072087507293248,0.0202195081697176,0.47119778747098,-0.112911474928662,0.275943782539909,0.00749448421440758,0.0768696483683227,-0.0429064548646755,-0.0329183404556329,0,0,0,0.143261983372319,0,0.250552588240639,0,0,0
ETH,0,0,0,0.0623254558760589,0.252923480407446,0.154839788040364,0.140601827571186,0,0.0236049254227576,0,0.050448150707494,0,0,0.201095141974983,0,0,0,0,0,0
XRP,0.415427380848151,-0.763695482430536,0,-0.119212513482105,0.0471990604160453,0.291568002165263,-0.147875835886832,0.136636835755286,0,0.0241499128030863,0.426744906787583,0.0315216988646669,0.263757472430609,0.318812130464295,0.107596508246573,0,0,0,0,0.00222196625616244
BCH,0,0,-0.108795548688999,0,0.235564985932388,0.0766036518248929,0.145388719442903,0,0,0,0.25843661890283,0.329711588972925,0,0.089418934868528,-4.33680868994202e-19,0,0,0,0,-0.0182136113973318
LTC,0.450961756481911,0,0,-0.0231276168500884,0,0,0,0,0.070811778901133,0.178676509965161,0,-0.0117681238356693,-0.0307742797637215,0.0937211348165164,0,0,0,0,0,0
ADA,0,0,0.0912881363657158,0,0.0798929633420989,0,0.0975559448070503,0.082206361122869,0,0.333916172237822,0,0,0.159580053209184,0,0.0295244680620431,0,0,0,0,0
NEO,0.11238507500246,0.583752143875652,0.0103122339126507,0,0.0926474805173087,0,0,0.160425203295433,-0.113216612999345,-0.0739675100148003,0.128902577111345,0.129821225300676,0,0.173687316199067,0,0,0,0,0,-0.055062539901042
XLM,0,0,0.217035134225492,0.0649289881223842,0,0.460639724933745,0.222864944975249,0,0,0,0,0.00690612429528027,0.149762355752275,0,-0.173860355832889,0,0,0,0,0
EOS,0,0,0,0,0.0517387475628378,0.316993460291393,-0.100436838535556,0,0,0.101659305600067,0.141063911598266,0.136842173476797,0.00314894416449967,0.220054798390694,0.18373316082266,0,0,0,0,-0.0765868218311894
MIOTA,0,0,0.130519296297209,0.0327760335927146,0.241186433686753,0.0247324890863272,-0.0323044694114788,1.73472347597681e-18,0.275714333332962,0,0,0.0684782704969088,0.110143084976998,0.428561466838678,0.0179690761204363,0,0,0,0,-0.0247059579627636
DASH,0,0.0105129583997028,0.064327746101888,0.0672370270166896,0.0306120654076508,0,0,-0.0516088109599199,0.057138579689375,0.114291976400789,0,0.198588790279779,0,0.243375321629208,0,0,0,0,0,0
XMR,0.169895172317112,0,0.00905378146009026,0.156653822275139,0,0,0,0.0962555630465174,0.0197727967575383,0,0.338790646218812,0,-0.0337971895363142,0.121752640855489,0.0297724175429651,0,0,0,0,0
XEM,0,0,0.252570177832644,0.0485164700751509,0,0,0,0.0978201737350754,0,0.405984958809976,0,0,0,0,0.0194692669972272,0,0,0,0,0
ETC,0,0,0.169207883534966,0.121590601669229,-0.10922045446477,0,0.326738354467495,-0.0984346322074786,0,0.293630467250035,0.108686025496879,0.152257415186929,0,0,0.0480594090858921,0,0,0,0,0.0649625193997609
TRX,0.930268882375993,0,0.266872201436953,0.176984909334081,-1.08370074642419,0,-0.429405036967834,0,0.161602444738484,0.656254878331077,0.127040587766231,0.0792812404271021,-0.787873997528567,0.518314799555401,0,0,0,0,0,0.196174432518403
BV010082.Index,0,0,0,0.0118795257563541,0.0318022354181236,-0.0476937931365034,0,-0.0239540557592058,0,0.0218909040866999,0,0,0,0.00477359161307984,0.000196631866464938,0,0,0,0,-0.0392227019943991
CVIX.Index,0.0706325101893091,0,0.0486705671283994,-0.0397753128771875,-0.0654859637333954,0.0532029060924324,0,-0.0496978996517042,0.0223919605979982,0.047504713061843,-0.076933058949222,0,0.0255797296967638,0,-0.0319572606075084,-0.130005392085537,0,0,0,0.032292521539149
DXY.Curncy,0,0.0195847001203704,0.00701053888571732,1.0842021724855e-19,-0.0152242861316808,-0.00509565517222607,0,-0.00404761924196735,-0.00740133926598534,0,0,0.00149706512482331,0.00746473048381524,0,-0.0100357963736113,-0.0938473731415056,-0.112629061324837,0,0,0
SPX.Index,-0.00407555695842815,0,0.0151127825796517,0.0216754585893053,0,-0.0350522184096818,0.0487880744794251,-2.16840434497101e-19,0.0101359714436258,0,0.014779205379891,0,0.0192714135402718,-0.0919553840790317,-0.00688045670447688,0,0,0,0,-0.0762876595797429
VIX.Index,-0.625488736048258,0,-0.00658508781026509,0.232592241410494,0,0,0.252065887971382,0.00311382461759578,0.10496753661273,-0.0893838558896589,0,-0.362162618168741,0,0.20703362427958,0.0711407919448143,-1.88275695267216,0.0986636578209827,0,-5.12972212495505,0
