,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.212547795379967,0.159042752829114,0,0,0.0494315127337772,0.00326474589188893,0.0849022944965637,0,0,0.168946676988931,0,0.0766634763021959,0,0,0,0,0
ETH,0,0,0.109620393400461,0.140851612374108,0,0.241095673218886,0.114435578041287,0,0.00171761306641445,0.17408924857572,0.0374310902216604,0,0.0154434860674478,0.123637955104191,0.11044015647497,0,-0.0544197688816056,0,0,4.33680868994202e-19
XRP,0,0.173903087637649,0,0.116272372863588,0,0.161770852294091,0.109936095806612,0,-4.6911263279049e-05,0.140628761532013,0.0111908418517638,0,0,0,0,0,-0.0184121892603251,0,0,0.014975024742636
BCH,0.292277071866155,0.0863460734318549,0.284826140771561,0,0.204039698187676,0.115865497750756,0.0578901769757683,0.0784505520969034,0.000905445401896069,0,0.0266419002751317,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.75963403996751,0,0,0.090424810148808,0,-0.0171525127181413,0,0,0,0,0,0.165279021931525,0,0,0,0,-0.155341021384058
LTC,0,0.130344339440266,0,0.248211241621019,0.0453142820208112,0,0.547549994813537,0,0,-0.0169553090428266,0,0,0,0,0,0,0.113375805972371,0,0,-0.0202549676765316
EOS,0,0,0.0849503005739964,0.214133596489056,0.247884525028748,0.212451061104025,0,0.0658149666003155,0.00318118292373159,0,0,0,0,0.134087780559114,0,0,0,0,0,-0.00304611677791966
BNB,0.200684268203278,0.157339024505263,0,0.258751570090605,0.00172200713309488,0.0548549238722234,0,0,0,0.0888266324248322,0,0,0.228075570743525,0,0,0,0,0,0,0
INNBCL,0,0,6.04588236304028,0.250707592451094,-9.95508829482714,0,-22.3884701134688,0,0,0,4.4552859902579,0,0,26.1362888754277,0.536783098962162,-4.4000253864717,-3.22670707547284,0,0,-0.601860456847903
XTZ,0.358074210008757,0.141491527530829,0,0.117381595454956,0,0,0,0,-0.00460592232866478,0,0,0,0,0,0.406882484757188,0,0,0,0,-0.00919771180609082
TAGZ5,0,0,0.377388785211589,0.30948192754599,-0.255694450233464,0,0,0,-0.0120113355252699,0,0,0,0,0.281683591523448,0.366478696370772,0,0,0,0,0.0537762187915474
LEO,0,0,0,0,0.121686032816005,-0.342255058913477,0,0,0.00334673976721878,0.202292996852971,-0.0177875117161608,0,0,0,-0.0123932270687249,0,-0.0235175148910639,0,0,-0.0370800633526042
XMR,6.93889390390723e-18,0,0,0.0609476123756754,-0.121626504192149,0.0906122478918879,0.406770767259561,0,-0.00508777176721889,0.112072254834229,0,0,0,0.305688828655098,0.103761278411042,0,-0.0790257160480322,0,0,0.0217123262535912
XLM,0,0,0.398432873728404,0.277507356914058,0.0371833029524045,-0.0316680334339298,0,0,0.000336827369252257,0,0.0586592960308346,0,0,0,0.0828264786125076,0,0.0557744935818138,0,0,-0.00834820731861922
LINK,0.400571372623945,0,0,0,0.148954372010887,0.300115263422244,0,0,-0.00213394078213351,0.27986500325565,0,0.103708425683556,0,0,0,-0.226074906098197,0,0,0,0
BV010082.Index,0,0.238047429099423,0,0,0.226421985151438,0,-0.14008410375296,-0.996307259586004,0,-0.827096553227407,0.0752636001539243,0,0,0.959316070187429,0.574454815312474,0,0.128424710463384,0,0,-0.0167791416825844
CVIX.Index,0,0,0,0,0,0.560606810407743,-0.289156646384162,0,0.00423637704655315,0.100159838343479,-0.610002449767603,0,-0.28304186254819,0.120392192797416,0.380099327603923,0.266846548328666,0,0,0,0.310653501682151
DXY.Curncy,0,0,0,0,0.00633771405115835,0,0,0,-0.000605411917420223,0.0156895122874011,-0.0315423838712898,0,0,0,0,0.00819937082703846,-0.0381919775776874,0,-0.00608240384138785,-0.00488248435901122
SPX.Index,-0.092118872947722,3.46944695195361e-18,0,0,-0.112466549053341,0,0.135534524095156,0,0.00148486341368674,0.152677438128791,-0.0796392469591005,-0.32862260436671,-0.186234460632688,0,0.10494865134566,0.341047405949691,-0.0706566810967327,0,0,-0.137506349379073
VIX.Index,0,1.30181985451892,-0.139579448124983,-0.0181085297913431,-0.512821583281169,0,-0.462416356852901,0,0.00560714947323154,0.0807378975905501,0.359953902279204,0,0,-0.501594324543027,-0.294644913572801,0.125407006775166,0.211857513923778,0,-1.63176188780019,0
