,BTC,ETH,XRP,BCH,ADA,XLM,LTC,XEM,NEO,EOS,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.103480134012907,0,0.0976321463721458,0.0258631269698566,-0.0196007696268422,0.113502306448459,0.155255742546049,0.0339902368203947,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.055258238009395
ETH,0,0,0,0,0.0271250355207924,0,0.295128566920235,0,0.112593348165565,0.0394393444623385,0.0068985413300389,0.157300658233511,0,0,0.0785285736824686,0,0,0,0,0
XRP,-0.090089392482434,-0.0158761916623727,0,0,0,0.322524452530693,0,0.142978425752054,0,0.306639817341349,0,0.241928482059987,0,0.0559049095783629,0.106857038200624,0,0,0,0,0.202091967227405
BCH,0,0,-0.0713641437162532,0,-0.0471411201085619,0,0,0.0829012712125974,0.210267141874419,0,0,0.350073468938529,0.228747577371848,0.0249786804499603,0.114062232488846,0,0,0,0,0
ADA,0,0,0.194216740160449,0.010199601055989,0,0.236222658581477,0.081451076581466,0.10770328768485,0.280247654122776,0,1.73472347597681e-18,0,0,0.0480410414375482,0.0195454880601401,0,0,0,0,0
XLM,0.127902288875174,0,0.239025241393353,0,0.240946258186632,0,0.0982258104853398,0.0255468950172141,0.102367467182038,0.00365330762618078,0.0446441308705827,0,0.301821625699266,-0.191479472746605,0,0,0,0,0,0
LTC,0.137334432900658,0.166306246026869,0,0,0,0,0,0,0,0.0455155907012461,0.171993880317054,0,-0.000451821410845794,0.0490124612439139,0,0,0,0,0,0
XEM,0,0,0.299892497223295,0.154727619254034,0.00592849982701892,0,-0.232094164408907,0,0.252546076264173,0.0319942485735152,0.255319996907715,0,0,0,0,0,0,0,0,0
NEO,0.220806508589504,0.810442939625377,0,-0.0237047452091131,0.024337548571362,0.0411618284572153,0,0,0,-0.0588417474807371,-0.0216416375518673,0.0382364143024029,0,0,0,0,0,0,0,0
EOS,0,0.164209066797039,-0.0211117498166652,0,-0.00317715583756416,0.256323411601668,0.24112937391323,0.0824600652393661,-0.0627516342666468,0,-0.0713383035137746,0,0,0.107333994031359,0.370480509577282,0,0,0,0,0
MIOTA,0.00520473863602461,0,-0.280623881879927,0,0.0451930014760951,0.311439589607658,0,0.0285450589341269,0.0019348047175318,0.456035495672627,0,0.0380716783229219,0.139195712859482,-0.119722827543015,0.206142682197432,0,0,0,0,0
DASH,-0.0373567046110355,0,0.0524224390995212,0.083173910851987,0.0147655470528197,0,0.218584421572299,0.00511738299381466,0,0.102519269550726,0.0563728239185281,0,0.0905948947570364,-0.0271988769803043,0.104133197525877,0,0,0,0,0
XMR,0.137226760177047,0,0,0.0321933295812321,0,0.0925825588395776,0.141027010959406,-0.0184243601054879,0.305879343189617,0,0.070084572166157,0.033935225180605,0,0.0699991989362414,0.167818448140175,0,0,0,0,0
TRX,1.50828822786187,0,0.103351092317971,0,0.260989024798407,0,-0.623765884637083,-0.754482811968728,-0.0365033956752802,0,0.184818609282146,0,0,0,0.355030999736248,0,0,0,0,0
BTG,0,0,0.058497917770629,0.34322615323118,0,0.051209981859354,0,0.0620270437660051,0,0.229341298880003,0.00110862321536922,0.179808229029887,0,0.00387968458730244,0,0,0,0,0,0
BV010082.Index,-0.0422897470026608,-0.0383744393428601,-0.0163420529136532,0,-0.0102253003932485,0,0.0308955304246164,-0.00136789913225323,-0.0275480662757172,-0.00209773589078585,0.0203890421703449,0,0.0218656774811864,0.0100827158997882,0.0157564798068989,0,0,0,0,0
CVIX.Index,0,0,0.0186197881248934,0,0.018951390822341,0,-0.0294913977565788,0.023505072852418,-0.0193662625696245,0.0284937450035331,0,-0.0135902280382262,-0.0482772957808137,-0.0202750808279751,-0.0248462950187163,0,0,0,0,-0.0188163403282559
DXY.Curncy,0,0,0,0.00441061063515635,-0.000758552931427015,-0.00428507265332092,0,-0.00683825267296128,0,0,0.00612887321820728,0,0,0.00367045262587108,-0.012859142942817,0,0,0,0,-0.0307431437268077
SPX.Index,0,0.00505961678839335,0,0,0.00643111432920825,-0.00937160240111177,0.00405355024753681,-0.00121031764526534,0.00169119848083679,0.00234045430640206,-0.000875642629159604,0.00408098438027179,0,-0.00158923897209516,0,0,0,0,0,-0.0467764260912004
VIX.Index,0,-0.218481975245145,0,0,-0.0196005000234979,-0.117922398243822,-0.0476354009565041,-0.0273488751867495,0,-0.10037576257377,0.0794400963387843,0,0.2443201291051,-0.0532505914764272,0.0747623306841215,0,0,0,0,0
