,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.134811097277358,0.196848402160035,0.0810071767690216,-0.0308412623182193,0.310585031367637,0,0.170633538897458,-0.234203841695149,0.51218381333285,0.0032817741088209,-0.264968847975756,0,0,0.103087480107977,0,0,-0.208032668358298
ETH,0.201325552159939,0,0.0798849103709112,0.914832489388186,0,0.506631331517202,0,0,-0.167610690556437,-0.225640914069356,-0.30527078521678,-0.381354149544553,0.131961506458085,0,-0.0542914093529587,0,0,0
DASH,0,0.112131744970072,0,0,0,-0.114696325029689,0,0.0897700756748877,0,0,0,0.301941551932627,0,0,0.460026433542226,0,0,0
XMR,0.150121051423583,0.651776211449173,-0.115049327975781,0,0,0,0,0.0573484511090952,0,0,-0.202333015662187,-0.0577691892893886,0,0,-0.495353003422907,0,0,0
XRP,0.140736687038752,0,0.00935810286124134,-0.0930101505293123,0,-0.0853363820792682,0,0.0658716749848771,0.0267109918028694,0.439873610629745,0,-0.104930200932723,0.0324794102578028,0.412937900822742,0,0,0,0.0959914301780521
ETC,0.707315549635184,0.0903027429755915,0.027361985319315,0,0,0,0.583228250720299,0.0018395134363487,0.0747042186149451,0.169514840150772,0.235396024504179,0.153599434237218,-0.0252416738112409,-0.492055841310857,-0.308575868847905,0,0,0.0827658305210489
LTC,0.276104423114302,0,0.0217887101977741,0.152480224883224,0,0.134623419016008,0,-0.11898379541391,0.0533570101596399,-0.0744240239311147,0.0253260427668407,-0.0403800322670482,-0.0290430922421481,0,0,0,0,0.100396595000166
XEM,0.763510113231362,0.262834282383992,0.31924959044447,0.222095593072759,0,0,-1.85987372255019,0,0.0772722185403525,0,0.297735272923662,-0.212507574706446,-0.413597923527206,0,-0.321136749584194,0,0,-0.179050575749693
ZEC,-0.0915995411451888,0.473042161217349,0.197049241856226,-0.29442778966661,0,0,0,0.0497120419651357,0,0.742430892865777,-0.492120942196797,0,-0.151436225828186,-0.890236152615827,0,0,0,-0.224962303849593
DOGE,0.29725745159465,0.016054674701639,-0.101460422196767,0,0.277328396728789,0,0,0,0.162650253398833,0,0,0,0.159059669274284,0.13858313740028,0,0,0,0.0401817106765643
XLM,0.0848848159127695,0.152262286946397,-0.040717293773249,0.10565112215433,-0.428746230276648,-0.0775613116832414,0.564247065212623,0,-0.214866483227546,0.22341411192018,0,0,0.266042995619443,0,0,0,0,-0.0832496931676062
NEO,-0.389983762042146,-0.383358865174829,0.0296495128898895,0.461072972172135,0,0.456282651145091,-0.401695954219755,0,0.375889304171794,-0.195126301498965,-0.219582465971246,0,0.200501401153006,0,0,0,0,0
DGB,0,0.137678172903133,0,-0.0612486280903525,0.0390889969934961,-0.26974646881025,0,0,-0.0602495017049478,0.795279423518658,0.395627679910695,0.124652576466931,0,-0.293757872752478,0,0,0,-0.452397519287875
BV010082.Index,0,0,0.0746637474957774,-0.0709958894426707,0,-0.0667776321961794,0,-0.0464313267002848,0,0.187159803707735,0.119478020664771,-0.0173409713864371,0.0449809693899416,0,0,0,0,0.122079342708811
CVIX.Index,0,-8.67361737988404e-19,-0.0338112745992467,0.0298102315203707,0,-0.0776595649698607,0,-0.141514690906866,0.0945766187133688,0.414759928026439,0.0518214453308146,0.0483891293211087,-0.0797295682688334,0,0,0,0,0.321972051184304
DXY.Curncy,0,0,-0.0056513551498136,-0.00727938654456258,0,0.0242797318029229,0,-0.0117044185090847,0,0,0,0,0,0.125670720743717,0.0288783479051191,0,0,0
SPX.Index,0.0326215490483636,0.0213325495420993,-0.0094313015132771,-0.0125803555438503,-0.0217185217474642,-0.0256004628971537,0,0,0,0,0.0366099217215371,0,-0.00341848416621468,-0.0299518195107285,-0.0112049587766826,0,0,-0.027342312659099
VIX.Index,-0.527491104518038,0,0,0.218029282541249,0,-0.259328018466378,0,-0.142881357338827,-0.0179994475763098,0.29273228942637,0.529726853497677,0,0,0,0.455671209615092,0,0,0
