,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.153690663157448,0.221211398311216,0.166686260550159,0.192665883039501,0.05829113315221,0,0.0353579698721207,0,-0.0507693099991132,0.0388741829930099,-0.0160929158525271,0,0,0,0,0,0
ETH,0,0,0.11173546132141,0.00216550053301758,-0.0478900825305934,0,0,0.121922648454172,0.0670680186418103,0,0.416065798787447,0,0.0491446280945258,0,0.180997460788364,0,-0.442120711316393,0,0,0
XRP,0,0.340995592169074,0,0.0980531810905113,0,-2.16840434497101e-19,0,-0.125291429727581,0.0856214504794498,0.0415183782130128,0.140830453649559,0,0.0316690586238358,0.273281485879376,0.0137692612383297,0,0,0,0,-0.0426962732125768
BCH,0,0.104150846444184,0.264725927500739,0,-0.923179591798364,1.18602385412592,-0.502359196939599,-0.571957247089522,0.200714677559172,-0.0300166837511852,0.640423874382283,1.01893458692042,0.0803503030281136,-1.1872504253258,0,0,0,0,0,-0.420597430923991
LTC,0,0,0.0597363703223681,0,0,0,-0.0998059535989373,0.116001977240864,0.0881296993259785,0,0.255902502648718,0,0.00110144364633005,0.0226798567724352,0,0,0,0,0,0
XEM,0.19830563691276,0,0,-0.0382319207183661,0,0,0.118309585699228,-0.0072064893787047,0,0,0,0,0.154678872157859,0.152848037168426,0.285072048406195,0,0,0,0,0
DASH,0.257096503821314,0,0,0.0297266253891993,-0.133851885810468,0.178264724752917,0,0.103486089726582,0.0845804413806244,0.0206440157665502,0,0.388008669183447,0.0484197004826003,0,0,0,0,0,0,0.0582487048533079
MIOTA,0.222829352775061,0.0316632111247081,0,-0.164131691639272,0.134337962988283,4.33680868994202e-19,0.391143922520574,0,0,0.0720024418910733,0,0.232168355248414,0.00664162574965912,0.44889403783392,0,0,0.494703324155453,0,0,0.141434769631143
XMR,0,0,0.127475717927583,0.110892967288891,0,0,0.331400197530117,0.085715798134875,0,0.0963478173932333,0,0,0.0502217808853943,0.238931267385014,-0.0997132995026886,0,0,0,0,0
NEO,0,-0.105566186579222,0,0,0,0.249525583289787,0,0.284339021850402,0.0910886492063174,0,0,-8.67361737988404e-19,0.0820045781236853,0.0772992117336574,-0.0249309222331454,0,0,0,0,-0.0720768380955309
ETC,0.0620240118526548,0.314612003400792,0.191610612427423,0,0.297591704358592,-0.00929070987439423,0.122493160900983,0,0.0244780199538998,0,0,0,0,-0.190308650590998,0,0,0,0,0,0
ZEC,0,0.13322426884549,0,0.0186572844363208,0.0447795062569558,-0.0412889549607034,0.138425826827911,0.18204098662552,0.0350476744881381,0.00561522434778665,0.0042481041275805,0,0.028502564322239,0.167535386950343,0,0,0,0,0,0.0933346262623519
EOS,0.337365380175114,0.22072512501686,0,0,-0.48656669300315,0,-0.305659442058303,0,0,0,0.447231840599866,0.579287498120385,0,0.333294184091598,0,0,0,0,0,0
XLM,0,0.178140944596529,0.00710934804465605,-0.0223747094387584,0.0263426343196488,0.217079667717689,-0.258621111647744,0.0847993156958327,0.526027396534432,0,0,0.082807332207503,0.0923681482478465,0,0.150256054503113,0,0,0,0,0.0231132034878194
BAT,0,0.058143774978556,0.0337009062427063,-0.0484497103738934,0,0.195298278444165,0,0.0561461851031425,0,0.175867521845723,0,0.274225003466471,-0.0264018647048063,0.288414984058764,0,0,0,0,0,-0.109478727036908
BV010082.Index,-0.064805743891198,0,0,-0.0175717579893,0,0,0,-0.0421155746292961,0,-0.0151801690388556,0,0.0601019427238163,0,0,0.035751588067918,0,0,0,0,0
CVIX.Index,0.00957884403977155,0,0.0509301316025035,0,0.0202620540488837,0,0,0.0394408504086647,5.95251240215217e-05,0.0199507325252062,0,-0.0924590922493867,0,0,-1.35525271560688e-20,0,0,0,0,0.0926669575717367
DXY.Curncy,0,-0.00299658595181096,0,0.00018971793524543,0.00656225402473327,0,0,0.0125002609501363,0.0152132466865897,-0.00357505604317354,0,-0.0233564395615256,0.00527425817349368,-0.0104631284440248,0.00599489119248887,0,-0.000946223301017832,0,0,0.000569010907322085
SPX.Index,0,0,0,0.0023262772594659,0.00352787147729656,0,-0.0186032698766305,0.00574476342998707,-0.00252033056761785,0.00378575800068364,-0.00548029023214882,0,0.00254771896534484,0.00355599028960333,0,0,0,0,0,-0.0509201090380608
VIX.Index,0,0,0,0.0486879758432479,0,0.170329835132029,-0.236218768485037,0.287703596691697,0.073872243526533,-0.42681335897856,0,0,-0.113876942563504,0.0984156036805127,0,0,2.2866645374425,0,0,0
