,BTC,XRP,ETH,BCH,EOS,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.007082925080999,0,0,0.093883432892052,0.120844361076753,0,0,0,0.119067993873167,0.195578341568407,0,0.198053413913549,0,0,0,0,0,-0.0520196308186052
XRP,0,0,0.116499838959467,0.0299066450887326,0.116584516926973,0.00943556879969572,0,0,0.0294445123409695,0,0.066167427273687,0.0561670098191219,0,0.0380054317225929,0.216864441789253,0,0,0,0,0.0169557607375289
ETH,0,0.313253049290767,0,0.135036240302379,0.0760879241823914,0,0.0813310654742569,0,0,0,0.181596175785198,0,0.161212293225439,0.0404910010969457,0,0,0,0,0,0
BCH,0,-0.344768262611385,0,0,0.420111505249341,0.0696339559220371,-2.77555756156289e-17,0.0141514484480318,0.115133851473972,0.448917163992888,0.296331281058673,0,0.0783633636010513,-6.93889390390723e-18,0,0,0.239536610432258,0,0,0
EOS,0,0,0.212502506078109,0.0851897844664534,0,0.180060383067029,-0.466307880000138,0,0.0429831980123064,0.60555009872417,0.203879171900679,-0.229460650566027,0,0.0814082689569694,0.168932672921075,0,0,0,0,0.0225235637819055
LTC,0,0,-1.38777878078145e-17,0.0662827462908447,0.188926576123876,0,0,0.139210973116704,0.0959751659446279,0,0.229206683913261,0,0,-0.0104346109347389,0.182837205509973,0,0,0,0,-0.0948449618126545
TRX,0.0886469312813479,0,0.1354125035892,0.0795651336207069,-0.351829178562684,0,0,0,-0.0596437611330286,0.593972286557922,0.344808624517094,0,0,0,0.0375972130681461,0,0,0,0,0.171004793886615
XLM,0,0,0,0.0269829652345972,0.0236875169769197,0,0.00754314767373221,0,-0.00838998968392113,0.183115108337228,0.0697956680584577,0.279219634189337,0.0779471763233503,0,0.306403072013733,0,0.052584826253633,0,0,0.0779594562416282
BSV,0,-0.359131071119028,0.0425141612216464,0.431511529652715,0.046724229012449,0,0,0,0,0,0.363811841666596,-0.342824129215509,0.00632156422952011,0,0.363338586968708,0,0.324075748154609,0,0,0
ADA,0,0,0.0484623052332266,0.0255036762599316,0.285679926820412,0.142221384178238,0.0785642946569084,0,0.0235673502909629,0,0,0.0732645198025146,0.115184424937848,0,0.106197871397014,0,0,0,0,0
BNB,0.178865344597293,0,0,0.037527920763526,0.107039905699736,0,0,0.480028004491501,-0.169085842226534,0.245922148214625,0,-0.259911162015922,-0.0362884783649443,0,0.224355835362537,0,-0.455101390238671,0,0,0.0334875086818929
XMR,0,0,0.13690496462414,0,0.038666779910603,0.0706884222777398,0,0.161190974139442,-0.00741724686015563,0.19838157245213,0.0731956267972667,0,0,0.0227872642938199,0.125667763892942,0,0,0,0,-0.0258171095576785
MIOTA,0,0,0.0139293628062158,0.0236198232728065,0,0.0366059073776387,0,0.415887894131668,0.187526823311885,0.109965190794989,0.337160084314479,0,0,0,0,0,0.108519315354388,0,0,0
DASH,0,-0.172345346528261,0,-0.00217184421386537,0.0957133068461522,0.0618621165050424,-0.23863813221453,0.794421600339749,0.046927721911171,-0.162629736270691,0.179301140357837,0.480372729969548,0,0,0,0,0,0,0,-0.0810560338129688
NEO,0,0,6.93889390390723e-18,0,0.369799679038283,0.277858760988741,0.201709950168961,0,0,0,0,0,0,0.0971045141844076,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255782753923306
CVIX.Index,0,0.69456283580103,0.239064366230773,0.0392349057236937,0,0.116952173602435,-0.0673560352901208,0.0914147099200863,0.0170316707113133,0.0070450353515231,0,-0.257776415818996,0.0441664235358358,0.0442350328479257,-0.798879958914563,0,0,0,0,-0.0980359824093048
DXY.Curncy,0,0,0,-0.00397171313548051,0,0,-0.0470004675664949,0,0.00610999443505737,0.0395631200686434,-0.0274136225885569,0.0236196254885756,5.42101086242752e-20,0,0,0.0278752444975962,-0.0360843457829714,0,0,0.0119142198128357
SPX.Index,0,0.0216392684355147,-0.021842338016236,0,-0.010590145999993,-0.00666204634953903,0.00231243958893868,0,0,0,0,0.0408899228562133,0,-0.0545845659182494,0,0.0743761740310313,-0.0678563740493293,0,0,-0.140104928246232
VIX.Index,0,0,-0.511440520745228,-0.013723496431815,0.0284745105094505,-0.291890439089277,0.22434394548475,0,0,0.362040595140525,0,0,0.0786042618513014,0,0,-0.0405163484343931,-0.59414533034513,0,-4.88437437992091,0
