,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.205289635818611,0,-0.0155966060234064,0,0,0.0157233068953744,0.0431694621136938,0.0779052366779511,0.112618070228258,-0.0614290589280782,0.0332708876617917,0,0.130988683392957,0.0970856884045029,0,-0.0306131059610085,0,0,0.00848328535670103
ETH,0,0,0.30514606007563,0,0.0442474155594879,0,0,0.0611132137735507,0.138903246519637,0.125273736168699,0,-0.0782211834471565,0,0.0946280074091058,0.204207265108721,0,0,0,0,0
XRP,0,0.165525510747579,0,0,0.058586613191537,0.207473646787361,0.150780982078659,0.129150703256597,0.0199182608829775,0,0.0593483897796795,0.172388167191354,0,0,0,0,0,0,0,0
BCH,0,0.133335691139762,0.232081536499708,0,0,0,0,0,0.297510334208652,-0.082470718082586,0,0,0,0.185577624255861,0.0526745633270569,0,0,0,0,0
EOS,-0.601495281237297,-0.0680898535144717,0.936205069536242,0.755848707793904,0,-0.474605090230118,0,0.00000000000000000693889390390723,-0.110393946213197,-0.328565035890356,0.567692847321987,0,-0.364587253137039,0,0.661085258518801,0,0,0,0,0
LTC,0,0.0213818908104479,0.26434235795287,0,0,0,0.0210649422407712,0.0890773030910213,0.0507827718123217,0,0.135441649992649,0.0625827032998209,0,0.041753688462216,0,0,0,0,0,0
XLM,0,0.104146729649416,0.331397420966575,0,0.0374956599853716,0,0,0.220124716953708,0.0441057393831332,0,0.00662363297860464,0,0,0,0.142081638193559,0,0,0,0,-0.0673531751738373
ADA,0.0000000000000000138777878078145,0,0.44688932152514,0.11018891096176,0.0581065436703379,-0.0119314994403874,0,0,0,0.0494374571983874,0.19083482607211,0.0274187878203798,0,0,0.0895831963867452,-0.263930730339177,0,0,0,0.183033433298371
MIOTA,0,0,0,0.116616671315666,0,0,0.319477581491652,0.247660422134328,0,-0.163374326643995,0.114202641878016,-0.305845891854997,0,0.79149135395215,-0.170956407923921,0,0,0,0,0
TRX,0.0711862395577242,0.0446644378360526,0,0.318222043311051,-0.0232895908570955,0,0.387553612814917,0.0000000000000000138777878078145,-0.13783208709981,0,0,0.420026396427766,0,0.0000000000000000138777878078145,0.0400308012862473,0,0,0,0,0.0627278820381442
NEO,0,0,0,0,0.0855354579687312,0.177809530591753,0.19972345974649,0.0395613585649201,0.174500454818911,0.143364535608717,0,0,0.194283006123144,0,0,0,0,0,0,0.0722902691110641
XMR,0,0,0.349986536711608,0.118896027136105,0.00159554050665425,0,0,0,-0.0193871205679643,0.118538477529202,-0.0822815419875552,0,0.19162411850345,0.218751414137538,0.0512540247509499,0,-0.200709779345193,0,0,0.0693092811586365
DASH,0.266806480634138,0,0,0.174683374433658,0,0.078763203658031,0.0487771130594388,0,0.0543524599999141,0,0.132863755364353,0.0876985972927663,0,0,0.0643472019250698,0,0,0,0,-0.0182319895520765
XEM,0,0.212034226918184,0.193781669170661,0.0199174560926485,0,0,0.339698071626163,0,-0.122566089766784,0.0803392979923548,0.0715372647163101,0,0,0,0.125597598362684,0,0,0,0,0
BNB,0,0.444498629070743,0,0,-0.0650838946453711,0.112175096005721,0.151858704955164,0.0227442766359786,0,0.172677227177464,0.126417749624213,0.105870082999746,0,-0.349186356786997,0,0,0,0,0,0
BV010082.INDEX,0.0200108843074215,0.142201443327304,0,0,-0.129843809475868,0,0,0,0,-0.0287164347505814,0,0.216990354188111,0,-0.202915892806584,-0.0190169028442106,0,0,0,0,-0.252356968395028
CVIX.INDEX,0,0,-0.103701938787753,0.0557008184473251,0.0266533438692385,0.211824136356041,-0.0809557556896412,-0.106851066891465,0.0892181690272498,0.00000000000000000173472347597681,0.0956464092568223,0,-0.171194283548263,0.0809111261558421,0,0.241583696971878,0,0,0,0.150254788817955
DXY.INDEX,0,-0.00926475498306692,0.0205997872411686,0.011939019896888,0,0,-0.0224076152488999,0,-0.0022628183207502,0,0.00109207307595321,0.0235568406044487,0,0,-0.00716711269627161,-0.022740775921243,0,0,0,0.0161740676013574
SPX.INDEX,0,0,0.0295477799351858,0.00883039183604619,-0.012613801453373,0,0,-0.0104026714848276,-0.0374944943965569,0,0.034464250186884,0,0,-0.0168953502335802,0.014569280742971,0,0,0,0,-0.0819054397998625
VIX.INDEX,0,0,0.4162399906539,-0.0249349148582112,-0.30710341298228,0,-0.178331173475518,0.0184110301065933,0.00000000000000000693889390390723,0,0.41250135608618,-0.223848740805175,0,-0.0655802560324539,-0.133313899824281,-1.19015482797707,-0.302851403932967,0,0,0
