,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,XTZ,MIOTA,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.188654452670896,0,0.0678587391881391,0,0,0.0391856329666228,0.0319828683570514,0.0277424901254075,0,0.139973828331053,0,0.00864153554265729,0.00765152976176057,0.0792412133576469,0,0,0,0,0
ETH,0.494374651856073,0,0.277252509779515,0.0277009967937894,0.00483584142849183,0,0.0925465395053373,0.0476959991969041,0.036749653463795,0.0953422653845571,0,0.0545245654488345,0,0.0431568323495321,0,0,-0.0668125438082076,0,0,0
XRP,0.384896880150647,0.0747066435382124,0,-0.0128399603244093,0.0504290348441496,0,0.0386001237368195,0.108805327160203,0.0310860064010609,0.119713682383259,0.0964138105442294,0,0.0326593471437554,0.0651284101800555,0.0131038870500465,0,0,0,0,0
BCH,0.218268016420722,0,0,0,0,0.414043691108623,-0.0478137543113601,0.0814527972290168,0.337416238227074,0,0,0,0.0508562442318111,0,0,0,-0.0329497096943697,0,0,0
EOS,0,0.706158073078391,0,0.00302144742782734,0,0.382297553117892,0,0.169714436270577,0.0873092665491994,-0.0394486101670736,0,0,-0.181203574124508,0.0106797603074453,0.207218663705908,0,0,0,0,0
LTC,0,0,0,0.245431851258849,0.169328777771036,0,0.160242091400211,-0.0279223229672892,0.140335378599829,0,0.0925565619211631,0,0.183591931800325,0.0954238082287906,-0.0720385670377851,0,0.075913848409831,0,0,0
BNB,0,0,0,-0.205375019467762,0.197180226615702,0.234800770384749,0,0.0880674976798536,0.0527687461330968,-0.481635062887963,0.336829983321202,0,-0.0189923493092066,-0.0460143819952608,0.34809721551889,0.423122718159777,0,0,0,-0.209494583420889
XLM,0,0,0.509161323423404,0,0.130214995226166,-0.0484682360600295,0,0,-0.0501457933054498,0,0,0.326101185737709,0,-0.0233675773434098,0.370257607751254,0,0.0455889850754581,0,0,-0.0525588323731167
ADA,-0.0361173049633051,0,0.316213443119757,0.228558844903242,0,0.304337890861067,0.00222686880557446,0.0836341220973462,0,0.0966360001447523,-0.119130358827965,0,0,0,0.117792778399242,0,0,0,0,0
TRX,0,0.104736870522166,0.0832710901068264,0,0.136147773598063,0,-0.0608691577262984,0.19493479235945,-0.0672461371685261,0,0.151497600761951,0.27327022811526,0.0925274579942393,0.0386009469565322,0.114825117275869,0,0,0,0,0.232763938759182
XMR,0.332309345290812,0.369458809886045,-0.127580431584166,-0.131863763415433,0,0,0.0425409816532759,0.25875195777265,0.0807349328225551,0,0,0.245858147957615,0.0159939395499215,0.0246449469351592,0.105880780983346,0,-0.254625005564532,0,0,0.0573198935223747
DASH,0,0.33920564260993,0.00241940403835369,0,0,0.149559294260353,0.100169347583286,0.190783269007652,0.0184271919222325,0,0,0,0,0,0,0,0.0703443367783173,0,0,-0.0494447167719326
BSV,0.667218656053718,0.296400378883413,0.382369421190878,-0.580495544027621,-0.153020061048318,1.46288230039747,-0.521344591643963,0,0,0,-0.829421816474485,0.557276218913757,0,0,0,0,0.165133452932569,0,0,-0.0658509623143231
XTZ,0,0.0961618220632043,0.606200911057109,-0.283195099739084,0.435016774187984,0,0,1.10179800675739,0.133207030375312,-0.063853471415132,-0.702120155429343,-0.223363972559302,-0.0133779657818223,0,0,0,-0.674684147784042,0,0,-0.0773344783995172
MIOTA,0,0.0344397232414048,0.293363821663513,0,0,0,0.111749488341084,0,0.112049691723971,0.0161777167479117,0.150954450062636,0,0.0358861933974471,0.000000000000000000867361737988404,0,0,-0.0426242844050497,0,0,0
BV010082.INDEX,0,0,0.124757847735831,0.028178044576552,0,0.196677753288035,0.0364334080304732,0,-0.299411420510155,0.0949456286956014,0,0,0,-0.0829977970464717,0,0,-0.16703367647727,0,0,-0.0429609986401503
CVIX.INDEX,0.296116127465441,0,0.336752834821586,-0.375370052374252,-0.0260995990707136,0.506622098513602,-0.0635620175982518,0.606236651349849,0,-0.0463013995454293,-0.72172887192605,0.157565932490298,-0.259442900248862,-0.354880568255857,0,-0.554546216881514,0,0,0,0
DXY.INDEX,-0.0085639056503785,0,0.0189476979654381,0.0131839956532553,-0.0120520738667961,0,0.00484617885116055,0,0,0,0.0123091112880704,0.0139222422695797,0.00909118910120984,0.00319182717981077,-0.0742519152070174,0,0.0153718466821844,0,0,0
SPX.INDEX,0,0,0,0.0216133189552113,0.0295056744715252,0,-0.00703786168351758,-0.0323430981490828,-0.0395365004879196,0,0.0462678319553787,-0.0188330182359763,0,0.00188740844292631,0,0.00788030532967874,0.0119325944001264,0,0,-0.0757860554962558
VIX.INDEX,0,0,0,0,-0.329137264678933,0,0,-0.190957572087881,0,0.49078010348401,0.00721979770221398,-0.343037100460646,0.310476251630316,0.00933411061729339,0,-0.871296249400809,0.222484671561567,0,-2.1895603955857,0
