,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0327370024557216,0,0.159711549770834,0.0409141971084811,0.254186414652037,-0.0911041430125762,0,-0.141619074904465,0,0.0140732200223423,0.386159061204758,6.93889390390723e-18,0.0343045654615903,-0.0715552073203548,0,0,0,0,0.0569577504996439
ETH,0.160161976532247,0,0.276807443786781,0,0.0860507060354586,0.169310506875849,0,0.00359575080332746,-6.93889390390723e-18,0.0779185771799261,0.0420498874596102,0.0865988946444432,0.0125074565448019,0.0622838310060885,0.034448169769183,0.241225437675908,0,0,0,-0.021032881584386
XRP,0.294076830027881,0,0,0,0.126049541075136,0,0.00563434359244832,6.93889390390723e-18,0,0.241803119980271,2.16840434497101e-19,0.132277569411559,0.0197083268853365,0.0715591076369965,0.0699932304066638,0,0,0,0,0.0296336605431371
BCH,0.643938741407301,0,-0.0366864479186557,0,0.298450262629624,0.0995811412047347,0,-0.0275060513653351,0.260430803246224,0,0,0,0.0989136623515404,-0.148294883788674,0,0.281957828471315,-0.0854583478483812,0,0,0
LTC,0,0,0,0.102152471833996,0,0.254525271598254,0.0889585197964931,0,0.0983724976896835,0.0491578231933954,0.0222660939000173,0.23130686612553,0.00841484916810553,0,0.118946520835907,0,0,0,0,0
EOS,0,0.417613979976808,0,0.249896894322617,0.130804876673725,0,-0.0382078637701479,0.0339124480771717,0,0,4.33680868994202e-19,0,0,0.0271738434770457,0.119078218025741,0,0.0245937552336843,0,0,0.120039703558858
BNB,-0.447917778180493,-0.222014279109598,0,0,0,0,0,0,0.0721596223632492,0,0.0875656488565804,0.25088814089576,0.478882236044056,0,0.0983198712606881,0,0,0,0,-0.0190334726730348
XLM,0,0,0.378670593846751,0.11356672193704,0,0.00784303526021017,-0.139475184022574,0,0.1036558800068,0.186318402421059,0,1.73472347597681e-18,0.0954225563289502,0.0378786374990195,0.0800370333123007,0,0,0,0,-0.0296757933513587
ADA,0,0,0.460220681147133,0.212579728026638,0.206043497701531,0,0.0414189357993442,0.0480609236408482,0,0.0853841470366291,0.0103569407819452,0,0,0.00790095387962859,-0.0106114753659186,0,-0.107766482949644,0,0,-0.000229652705208466
TRX,0,0,0.082087606787569,0,0.101871512670826,0,0.0211995857079984,0.387612520486463,0,0,0.062400788371836,0.174228665038825,0.0313336641151085,0.108306230437913,0.0883237659084233,0,0,0,0,0.149325405015877
BSV,1.01209654024428,0,-0.0976898382424098,-0.641582834826389,0.292325650718193,0.0725893956120819,0,0,0,0,0,-0.338186052198505,0.776073938968317,0,0.179336617289503,0,-0.156291445168054,0,0,-4.33680868994202e-19
XMR,0.122678421149509,0.00519390693631611,0.0280941121785641,0,0,0,0.0862375723024699,0,0,0,0.0625000290596951,0,0.345744939149121,0.301736344726094,0.140633560822387,0,-0.0859809901295671,0,0,0
DASH,0.0460133941065127,0.170215949624798,-3.46944695195361e-18,0.135182172066598,0,8.67361737988404e-19,0,0.119949705050154,0,0.134302641395353,0,0,0,0.195839328541181,0,0,0.0487286097613094,0,0,8.67361737988404e-19
MIOTA,0.141183530616057,-0.0352241403876857,0,0,-0.07094777240433,0,0.227197186594878,0,0.0973293184443111,0,0.0614477445892012,0.491287402804581,0,0,0,0,0,0,0,-0.0550930762889582
XTZ,0,-0.051130522818731,0.591266854862853,0,-0.268703140604222,0.739612510928308,0,0.588521172761854,-0.370395615693219,-0.192105003322329,0.10296271776662,-0.250807324897525,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.0554917137048941,0.193251922644504,-0.175301103777397,0,0.0915570962444479,-0.146375872208031,-0.17538509970267,0.256513620179874,0.0399187862322382,0,0,0,-0.0412852804589058,0,-0.0209899380527869,0,0,-0.149391567197322
CVIX.Index,0,0,0,-0.124221469416043,0,0,-0.0807499131250279,0.38417027391544,-0.0486917809885294,0,0.00274147249555917,-0.343262595345418,0.505237275542434,0,-0.322869932697948,0,0,0,0,0.125740198394815
DXY.Curncy,0.0240033166405107,0.0329985714899348,0.000846483703445933,0.00422183342375854,0,-0.0213812487055313,-0.00937248745565507,0,0,0.00431757088431823,0.00628304818778672,-0.0366092309047234,0,0,0.00953131537512091,0,0.0121977039830358,0,0,0
SPX.Index,-0.0094621443361711,0,-0.0328374678677387,0,0,0,-0.017325137545908,0,-0.0043056100851171,0.0216519141379497,-0.00293439328809623,0,0,0,-0.00431915142158681,0,0.00372011812857715,0,0,-0.0629458370337891
VIX.Index,0,-0.297065458916019,0,0,-0.216894829170808,-0.0583796117652472,0,-0.0874386832793735,0,0.861590089429487,-0.0269242755742037,-0.535276540799025,0,0,0.0469213603790837,-0.259834049511781,0.383109795604183,0,-6.45072116550312,0
