,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,LINK,LEO,XLM,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.00123050255788045,0.495023462712358,0.0128529824830006,0,0.144688938308214,0,0,0.0860045279280181,0,0,0,0,0,0,0,0,0
ETH,0.0267823923809307,0,0.0844868248317082,0.00150820773118839,0.116943427330942,0.00827188943438022,0.0405658103579978,1.38777878078145e-17,0.230303435889007,0.030440496668727,0.254424176113928,0.034316704171666,0,0,0.211546898802339,0.0383538837303533,0,0,0,0.0112849670049998
XRP,0,0.229048530861757,0,-0.00289362101296476,0,0,0.0327613698116511,0.257048388349445,0,0,0,0,0,0.298457561119733,0,0,-0.00245881361150213,0,0,0.0299710404992521
INNBCL,13.6682404264696,18.3684418814843,0,0,0,0,0,-24.779977642127,-5.78641783812821,0,-4.77057270275245,2.88479865448284,-29.0775748866398,12.5803706535722,-12.4958935586211,-8.84471160944878,1.11022302462516e-16,0,9.18375381597743,-0.27930179446751
BCH,0,0.315118880993669,0.117761441576285,-0.00124584851833057,0,0.270466023783434,0,0,0.000172122638825677,0.0108714882721619,0.0731384980685299,0,0,0,0.248393373815847,0,0,0,0,0
BSV,0,0,0,-0.00402486700865073,0.496033971945903,0,0,0.348166697942568,0.267686042202698,-0.0279325632681934,0,0,0,0,0,0.0232518115174235,0.106658261040468,0,0,-0.0667014086506756
LTC,0,-1.38777878078145e-17,0.125548296165655,0.00123280265735298,0.132802438397172,0.143286807228603,0,0.0598454001620663,0.445705331838637,-0.0272162741780695,0,-0.0752561243232828,0,0,0.138306039675452,0,0.0962006899524597,0,0,-0.0328895419713913
BNB,0.0390539263289084,0.31587364624041,0,-0.00648431804204183,0.400868880288327,0.0208030512655407,0,0,0,0,0.0297930753720617,0.123532972717904,0,0,0,0,0,0,0,0.031221868103483
EOS,0,0.128899581332438,0,0.00605841115213551,0.694825405813616,0.0199801217987103,0.0477125337758074,0,0,0.0217477766066706,-0.0651749209875732,0,0,0.0106338212124298,0.15820104781566,0,0,0,0,-0.0303043015778742
TAGZ5,0,0.66796074553495,0,-0.0133908139380613,0.563828384148512,0,0,-1.03042219410569,0,0,0.314772160238765,0.48613536844887,0,0,0,-0.465689466699909,0.0800283584747527,0,0,0.0125715851836027
XTZ,0,0.0739604251120501,0,-0.00298793592322324,0,0.139733246196053,0,0.254071758376887,0,0.0953663140133821,0,0.47192190909139,0.144099881074806,0,0,-0.00866993611229657,0,0,0,0.00931928275548926
LINK,0.153434846209511,0.235660295654119,0,-0.00379957887032943,0,0.0851012795827155,0,0.0450833001112705,0,-0.0129581886741899,0.524074849404951,0,0,0,0,0,0,0,0,0.0163955856000877
LEO,0,0,0,0.00177442876532357,-0.104891696764784,0.0927253251311873,-0.332834630405011,0.0730239006837624,0.107546865248091,-0.0116193607351643,0.188458136322148,-0.0183158427549444,0,0,-0.0446299633794688,0,0,0,0,-0.0552184016549562
XLM,0,0,0.373549722376613,-0.00344451008968958,0.29769664125213,0.0628106020965939,0,0,0,0.0290111674216515,0.0255699597247257,0,0,0,0.0624721925522853,-0.0430561630348682,0.0344528022894584,0,0,0
XMR,0.274008626806551,0,0.00107737070119873,-0.00398220671877909,6.93889390390723e-18,0,0,0,0.260931703527929,0,0,0.0968608366003038,0,0.367185136527029,0,0,-0.0164768197852319,0,0,0.0276123944704423
BV010082.Index,0,0.162008063225046,0,0,0,0.355043446634875,0,-0.761009671234607,-0.462463422078117,0.182762796683309,-0.808112093853545,0.632633389928428,0,0.759330855715469,0,0,0.0734238416662125,0,0.164121192698509,-6.93889390390723e-18
CVIX.Index,0,0,0,-0.00849371880379461,0,0.133281311341525,0,-0.518442298164917,0,-0.212967710028866,0.306113647533449,0,0,0,0,0.337350555559515,0,0,-0.610439792769424,0.359178949275019
DXY.Curncy,0.0676486536408413,0.0104808930526999,-0.215473751314198,-0.000321674312476171,0,0,0.0329783622108973,-4.33680868994202e-19,0,-1.7410777503774e-05,0.0379142101978314,-0.0259950600027568,0,0.0762882850701787,0,0.00459095365727931,-0.0174571637446374,0,-0.0140852429772519,-0.00542362521719261
SPX.Index,0,0,0,0.00147171220759105,0,-0.139535248645823,0,0,0,0,0,0.162694337882563,0,0,-0.0570995198983921,0.241861185865558,0,0,0,-0.206001977576416
VIX.Index,0,0,0,0.0258702104061768,0,0,0,0,-0.901398221682247,0.0902575813620684,0.887667265833139,-0.231610278433298,0,0.289429443982976,-0.483515136865959,0.0708082055411638,-0.0305665067905713,0,-1.45107720060179,0
