,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XLM,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0229053876237405,0.170157063211793,0.319751377021829,0,-0.0548449087402863,-0.0368916042808358,0,-0.0131710344049169,0.017715796652377,-0.148279033538077,0.0270316454964606,0,0,0.0424113769847456
ETH,-1.96831670242778,0,0.3404626123116,1.201559200768,0.346541229193221,-0.515381755742704,0.600193691757469,0.147539673353102,0.226350624901877,-0.020819600704216,1.29036377088664,0.0423103355877055,0,0,0
XRP,0,0.00311056496313782,0,0.313806756439451,0.407907681395161,0,0,0,0.0750283183475135,-0.116798557111925,-0.443225091828091,-0.186152077232089,0,0,0.0234053298195828
LTC,1.12938540446588,-0.0326768384119274,-0.0282875765597629,0,-0.0944994360244098,-6.93889390390723e-18,0,-0.104326705689759,0.0484679369896123,0.0153197063675531,0.184212833723623,0,0.36315002378978,0,0
DASH,0,0.0490632346519954,-0.216913518403012,-0.448978410765431,0,0.00875998565702963,0.0277820321671533,0.180481155144537,0.10584842962954,-0.0820088606299971,0,0.231059513139811,0,0,0.141382020712533
DOGE,0,-0.0200141136446846,0.0651284623021272,0.390540735579623,-0.250726763810903,0,0.127036309405092,0.207361128299312,-0.0467763730270197,0,0.529184607859578,0.0181794269121592,0,-0.742743385399543,0.136353061719822
XEM,-0.789568528571809,-0.353177798257245,0.24624907038555,0.542121789515803,0.266126095500766,0.159469009904714,0,-0.0948920930457304,0.168666582552158,0.121724465143336,-0.271794667272105,-0.155903457861339,0,7.61422182299666,0
XLM,0,-0.00621326211166233,0.498551127760702,0.552901676966861,-0.0393851186771419,0.281177191245753,0.121162170278308,0,-0.0938864333220849,0.110028927092511,0,0.374916117742029,-0.313547195848859,-3.08966553677964,-0.216014139893276
XMR,0,0.498162588156494,0,0.25868499389379,0.175190872129188,0.097176400615947,-0.302435690987689,0,0,0.0951696331790478,0,-0.961936294470282,0,0,-0.243518245298295
DGB,0,0.332046291134615,-1.19009472950563,-1.2100023595598,0.0415965080966872,0.721381588981344,0.367750647094196,0.413594569578068,0.141490977171459,0,-0.31462098158278,-1.23940345298478,3.64522616646545,-7.47020521274617,-0.497436334514764
BV010082.Index,0,0.00220129381240976,0,0.26104350751938,0.227101700510151,0.173220247154767,-0.00482175878214376,0.169793238569295,0,-0.0620532632535434,0,0.118103808696969,0.208477102724921,0,-8.67361737988404e-19
CVIX.Index,0.111848430939492,4.33680868994202e-19,0.0688337001783275,-0.461505570227059,-0.172836387588338,0,-0.0795177541799866,0.030103190626254,0.0538182443596221,-0.0225562373165847,0.0821371300570868,0,1.38239834000197,0,0.151618295709234
DXY.Curncy,0,0,-0.062780807521542,0.0578959408157008,0,0.0216459284860907,0.0356947090529648,0,0.0250366910309354,-0.0092317549728712,0,0.037891860099214,0,0,0
SPX.Index,0,-0.0181100468315913,0.00986769839173243,0,0,0.0188533833433183,0,0,-0.00685399188486543,-0.00286947067005891,0,0,0,0,-0.0789832607079693
VIX.Index,0,6.93889390390723e-18,0,0,0.265842584520994,0.326080238177855,0,-0.134068966881712,-0.171235106093658,-0.0250760019515074,-0.203352745724299,0.0825169501656969,0,-2.78108537722099,0
