,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0237662992771785,-0.108997249601308,-0.0918669872646424,0.0166730334156704,0.186838699747909,0.0202163533522928,0.0537424495519785,-0.0303448463193888,0.164100359687723,0,0.17384673525588,0,-0.000000000000000000867361737988404,0,0,0,0,0
ETH,0,0,0,0,0.0537896700128417,0.336698480922806,0.0855796384972736,0,0,-0.0309100256424223,0,0,0,0,0.260340265112166,0,0,0,0,0
XRP,0,0,0,0.0421149149044043,-0.0354064990960061,0,0,0,0.272827227506405,0.218528198885008,0,0,0.253015581605678,0.133546143600587,0,0,0,0,0,0
BCH,0,0,-0.0802696627791921,0,0,0.137860151614351,0.210785126871656,0.0290829082178551,0.16843687171576,0,0,0.255632607207725,0.144365570241514,0,0.0952835627025413,0,0,0,0,0
ADA,0,0,0.183337724783154,0,0,0,0.18425395473247,0,0.0479685237123488,0.122272334502599,0.103212594601207,0,0,0.0372774568564164,0,0,0,0,0,0
LTC,0.142385396902256,0.135864638067047,0,-0.0411934232320803,0,0,0,-0.00000000000000000173472347597681,0.0413775719326059,0,0.188934235366058,0,-0.0581979101902683,0.0428675292065841,0.104914920719808,0,0,0,0,0
NEO,0.0722081195657723,0.434731801326309,0,0,0.0699634343459989,0.0926854517086938,0,0.0423977373246448,-0.132321441828581,0,-0.0761565584508224,0.104765736142857,0,-0.0330365046696104,0.40756420981009,0,0,0,0,0
XLM,0.0707071037012144,0.153458229051804,0.19709612745076,0,0.306914461460555,0.0675591684170812,0,0,0,0.026700406300773,0.0684854000481764,0,0.322885803909167,-0.194542337085196,0,0,0,0,0,0.0601649537361989
EOS,0,0,0,0.283174890762839,0,0.297918713618344,-0.0127268612143583,0.224785311883843,0,0.0614184143102202,0.00278997517471622,0,0,0.124291086856989,0.0643436191081906,0,0,0,0,0
XEM,0,0,0.32208147701102,0.08363434796746,0.00951430244456209,-0.377109284397705,0.0704478333465395,0,0,0,0.306953948267908,0,0,0,0.28269481945838,0,0,0,0,0
MIOTA,0.220169288141614,0,-0.060735682231117,0,-0.135927057608056,0,-0.197919700450201,0.215580222314037,0.176683875593006,0.242429640349241,0,0,0,-0.0372444894478354,0.627374002465274,0,0,0,0,0
DASH,0,0,0.0201157277642468,0,0.0151470383895898,0.184033242638298,0,0,0.136415997050355,0,0.0301657971255234,0,0.0666507953087718,-0.0351062072809284,0.275959684137587,0,0,0,0,0
XMR,0.113379478764452,0,0,0.211000391917937,0,0.0638391026821952,0,0.125165325067406,0.024317244251203,0,0,0.0625904159379143,0,0.0457796351188818,0.0794892414233881,0,0,0,0,0
TRX,1.10045060902454,0.0976548379647142,0.181761664294294,0.467535044939503,0,-0.696644514536022,-0.405834030153603,0,0,-0.676845156606347,0.30354054762891,0,0,0,0.373175497178532,0,0,0,0,0
ETC,0,0.245809866966514,0.0449394898546306,0.194638940804613,0,0,0.133138953570416,0,0.093040247345491,0,0.0697875576018093,0.00745759276155271,0.288850768369125,-0.00314884271164212,0,0,0,0,0,0
BV010082.INDEX,-0.0459912923185923,0,0.0094152024405124,-0.000000000000000000867361737988404,-0.0373102726314444,0.0202974266928573,-0.0164820997340444,0,0.00446270233918229,-0.00210398049450363,0.0174067316744408,0,0.0280327421872886,0,0,0,0,0,0,-0.00787064877608859
CVIX.INDEX,0.0199648547726378,0,0,0.0030018920349969,0.048991228021745,0,0.0266720299905263,-0.010266026462555,0,0.0174682931217224,0.0389805931675592,-0.0183707096258732,-0.0561838537235772,-0.0111272271499794,-0.0383617866928771,0,0,0,0,0
DXY.INDEX,0,0.00496109796927694,0.00569532685031456,0.00159216437456174,0,0,0,-0.00947204400537783,-0.0130212004356128,-0.00107095462524393,0.0117624994146464,0,0,0.00409431144240714,-0.00144612870921687,0,-0.0631825104742643,0,0,-0.0338831132616861
SPX.INDEX,-0.00158707235332789,0,0.00505552185285336,0,0.006540389918589,0.00246979235759496,0.0163262483029843,-0.0176245080466985,0.00803499770945378,0,0,-0.0090128001147378,0.0104192528549943,0.00348468537524284,-0.0130457645651357,0,0,0,0,-0.0724425766069853
VIX.INDEX,0,-0.175428613868794,0.140724272878658,0,0,0.00626937123421792,0.108048037737296,-0.182909271694153,-0.158873650543174,-0.0661689797828844,0.143393787704968,0,0.353830055126528,-0.0448859772390279,0.138831206572954,0,0,0,0,0
