,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.045507558343955,0.158313586501471,0.139722643012911,0,0.00414723174776972,0.100609302760974,-0.067423894491669,-0.00914350171365415,0,0.0828923313435662,0,0,-0.0148150870335855
XRP,0.893344203828382,0,0.0615587904731508,0,0.21496516399088,0.268363052918536,0.0712159547062236,-0.361801942824569,0,0,0.233764923150526,0,0,-0.111749518154401
LTC,2.45730877652202,0.107044662600828,0,0.0719715965757635,0.460227309787103,-0.48360715239413,-0.171972834775266,0.1558749311161,0,0,0.190993084881724,0,0,0
DOGE,-0.395939405780171,-0.331255616487972,0.233112548185416,0,0.715393006295,0.56250447570596,0.592814150766298,-0.403781888761527,0.623671543381372,0,-1.18527793388196,2.70396480342427,0,0.238801272832472
DASH,0,0.0731115773512862,0.228780202212681,-0.189118510149413,0,0.12396336700632,0.0608405444165943,0.0776517920861871,0,0,0.144694894534867,0,0,0
XLM,2.48579816065559,0.503881537082565,-0.193549013791348,0.0600730202345942,0,0,-0.251935018938163,0.30796686071896,0,-0.469707549573312,0,0.22497381075623,-0.70249317260992,-0.335049800976152
XMR,0,0.441453720884848,0.209681975929849,-0.025266176452069,0,-0.517859613128598,0,0.0996928502222297,0.146545147889158,-0.688997155549223,0,0,0,-0.272946133765026
XEM,0.598224839265925,-0.281494125332907,0.252819183614817,0.580657723580495,-1.38777878078145e-17,0,0.223910247584429,0,-0.795304973617494,0,-0.0661297514767752,-2.00479729797774,0,1.38777878078145e-17
DGB,0,0.290458688217778,0.110413512604644,0.106466378801197,-0.245655985594741,0.267197828651246,0.422291650004505,0,0,0.089614597068905,0.464458764365011,0,0,0
BV010082.Index,-0.340455022315651,0.0646304745845789,0.00745476366823567,0.0269788411985918,0.246388989821363,-0.0256817597606309,-0.0657264677891244,0.0282648178653264,0.119719426694026,0,0.250108363099214,-1.38777878078145e-17,-1.51197926711055,-0.203736235614402
CVIX.Index,0,0,0.061337961013765,0,-0.284223657088182,0.0998206530908204,-0.0796816500923863,-0.111584375896699,-0.103835584366345,1.08056507052196,0,0,0,0.0918939302257553
DXY.Curncy,0,0.0430741233215595,0.00306859816242163,0.0434345932311457,-0.0361289384528499,0.0491272290069541,0.0116398863553899,-0.0298455844179908,-0.0801366488314958,0.0353264820758067,0.146974537858656,0,-0.333215795811075,-0.0239031775706457
SPX.Index,0,0.0117419939431037,-0.00421711037995155,0.0211227946894873,0.00570424675284042,-0.00950942694742985,-0.00594029052931752,-0.00332478239561808,0,-0.109889215642673,0.00978775457590773,0,0,-0.0811247614586886
VIX.Index,0,0.0319476796280852,-0.0549343906220007,0.167174001414798,0,-0.172063736493573,6.93889390390723e-18,0.195663968828689,0.314166130424241,-0.84289721611651,0.129296942442346,0,-9.83510763156043,0
