,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00245430250255995,0,0,0.53217861649123,-0.00000000000000000173472347597681,0,0.0826322456052181,0,0,0.167679089582218,0,0,0,0,0,0,0,0,0
INNBCL,6.40691569182366,0,32.8205822743745,0,0,-15.0770469487995,23.3505297689879,-17.0117116024992,-34.0431229751277,1.56994882799743,-7.03211392257766,13.1593527290309,0,0,0,-7.80243604999235,-1.64673360312814,0,12.1484526013338,1.53551333412687
ETH,0,0.00151732829616851,0,0,0.00710291387608677,0.0483004833829327,0.0367347418179297,0.313219344726229,0.294911171311357,0.016096325455764,0.186053374336128,0,0.0590484293582858,0,0.0338450777893441,0.0207146150294472,0,0,0,0
XRP,0,-0.00366595942306548,0.24080865264913,0,0,0,0,0.0751533398917764,0,0,0,0,0,0.241091506318277,0.24495952687251,0,-0.0137140591984006,0,0,0.0494039031904169
BCH,0.033448287663715,0,0.407929035814304,0,0,0.29130107680877,0,0.0482824411992884,0,0.00987277103962586,0.0570895757326524,0,0,0,0.139157988696888,0,0,0,0,0
BSV,0.197542055508956,-0.0132415689112186,0.101087966604852,0,0.331365493136083,0,0.186659006222485,0.287934323552901,0,0,-0.00169917893804059,0,0,0,0,0.0528106091000249,0.105167788425237,0,0.139295215951961,-0.0690718500919489
LTC,0,-0.000214957910592995,-0.00000000000000000346944695195361,0.10327863848515,0.117054504245249,0.00633957072008752,0,0.13388409953505,0.29304888236625,0,0.0891896770396619,0,0,0.15269805158758,0,0,0.0103446742307131,0,0,0
BNB,0,-0.00550769091542023,0.26731620962025,0,0.337904239992444,0.0566649061811725,0,0,0,0,0.000483942713145887,0,0.0420202091286761,0.136892636968554,0.116785080791245,0,0,0,0,0
EOS,0,-0.00502100526856542,0.429807130040997,0,0.0985374405173089,0.0699636425412122,0,0,0,0,0,0.21638573424766,0,0,0.126079014457852,0,0.0149342699562129,0,0,0
TAGZ5,0,-0.00604143028523574,0,0,3.25730241699979,-0.316271630689809,0.781672225499799,-3.76944422493634,0,0,0.407117442544217,0.257966964992544,0.00714900479810721,0.250252606310444,0.36390949146956,-0.299605667406758,0,0,0,0.049419818508788
XTZ,0,-0.00597953397997219,0.598648752441198,0,-0.00000000000000000693889390390723,0,0,0.0275774671996025,0,0,0,0.00000000000000000693889390390723,0.452841352754804,0,0,-0.0882859226658569,0,0,-0.132706959488954,0.0121841938969803
XLM,0,0,0,0.517905837507022,0,0.0975196506707184,0,0.109840123944041,0,0,0.107725279022226,0,0,0.0179468318851002,0,0,0.0049847105547311,0,0,0.0244986685205782
LINK,0,-0.00667635741380047,0.196213645848405,0,0.0812454904584905,0.00000000000000000173472347597681,0,0.182446137610088,0,-0.0130485759604121,0.45426282131443,0,0,0.128799115328231,0,0,0,0,0,0.0295451746029719
ADA,0,0.000996967165679262,0,0.0611501394585267,0.0000000000000000138777878078145,0,0.26860872825525,0.0535748740821983,0.214874564728152,0,0.328732461589267,0.000000000000000000867361737988404,0,0,0,0,0,0,0,0
TRX,0,0.00201678696724982,0,0,0.22971852922421,0,0,0.267115205904505,0.0000000000000000138777878078145,0,0.217645719115218,0.193388090985262,0,0.0321139403722367,0,0,0,0,0,0
BV010082.INDEX,0,-0.01144578532322,0,0,0,0.458127304267119,0,-0.0970275622968411,-0.627734702839416,0.215578529498519,-0.79957627794292,1.09616232839686,0,0,0,0,0.111953228034202,0,0.328900904955627,-0.0120106339279952
CVIX.INDEX,0,-0.0058928227418843,0,0,0,0,0,-0.570246781105423,0,-0.218673492475891,0.51686476357957,0,0,0,0,0.346783509248246,0,0,-0.619988751766059,0.275041512499039
DXY.INDEX,0.0531818050245593,0,0,-0.145477134172553,0,-0.0176749917709793,0,0,0,0.00490820179408776,0.0576987950758194,0.0345413476395641,0,0,0,0.00895247695937226,-0.005026594164652,0,-0.0352950475366839,-0.0195012792813318
SPX.INDEX,0,0.00225496277649439,0,0,-0.337264811039158,-0.0618371500935902,0,0,0,0,0,0.238267844186063,0.194725252502245,0,0,0.271712929392332,-0.0473669190078895,0,0,-0.192472229117357
VIX.INDEX,0.0898758510977874,0.0220881704674794,0,0,0.342636196645869,0,0,-1.41481700669384,0,0.207250481362893,-0.397258935783486,0.583608939210626,0.223739818993973,0,0.46318376124262,0.367700843738595,0.278576559831062,0,-1.78007601824385,0
