,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0811806197959389,0.134649589155995,0.380892813962704,-0.0127453401661701,-0.041062388925368,0.0384056083229526,0.131645104981108,0.184437609362553,-0.0400171427081003,0.0290758255394768,0,-0.164534303219403,0,0,-0.0740156456351033
ETH,0,0,0.35754898362292,-0.13032281924625,-0.0556985275016839,0.153456829415111,0.170017256383322,0.183059531848314,0.49901237045224,-0.233104270101515,0.25548175898551,0,-1.07370730076758,0,0,0.171559992713378
XRP,0,0.0567360060557018,0,0,0.00362336761499993,0.0284558737974509,0,0.0608788475609294,0.0276668139962503,-0.041538060050937,0.103885962977712,-0.139855326226256,0.0505742313616719,0,0,-0.0796121825558899
LTC,0.939831315318709,0.0370501473652547,0,0,0.00356720336343238,0,0.0181811090798222,-0.000000000000000000433680868994202,0,-0.0390435337836136,0,0,0,0,0,0
ETC,0,-2.17914556449824,1.46467108219249,0,0,1.92352376351912,0,-0.327853950035668,0.678289266390982,0.865677235822027,1.16658308409399,0,0,0,0,0
DASH,0,0.093982887983671,-0.0446400318219667,0.211898186215314,0.0532117862602544,0,0,0,0,0.275189058020517,-0.130311693628695,-0.347821270844387,0,0,0,-0.290259536520013
XMR,0.860637236263402,-0.140482767607502,-0.708759692312689,0.704484774249135,0.000000000000000000216840434497101,0.339411523479484,0,-0.156136412205283,0.0977152239637372,0.146808075390351,0.112386327285412,0.436860832597325,0.30262599356534,0,0,0.154635796687087
XEM,1.35330923423804,0.0103455894622294,0.247116141841476,0,0.0485427655051702,0.404621154916901,0.0847595669170887,0,0,0.466022275132831,0.132089255228477,0.97346091612587,0,0,-4.23585229288403,-0.00000000000000000693889390390723
DOGE,0,0.00000000000000000346944695195361,0.575576662990028,0.250475518873122,-0.0401596678092341,0.046542369727136,0,-0.122528576798513,0,0.128354863091534,0.0416115237446331,0,0,0,0,0
XLM,1.0833186384485,0,0,0.294690588015042,-0.0516119250874499,0.0549042801984855,0.0000000000000000138777878078145,0,-0.0408511861861467,0,-0.0965600704747506,0.721720986843898,-0.141637143251994,0,0,0.264906703890616
DGB,0.0556721648783903,0.897720654187318,0,0,0.148070818636446,0.17239681795412,-0.0105079028060519,-0.215055072711261,-0.624540040691293,0.805592663316325,0,0.669933869567791,0.697469772778376,1.37385927296306,0,0
BV010082.INDEX,0,0.0134306134642574,-0.556801641453265,0,0.0222945904732209,0.109309489715667,0.011751325004393,0.0572162611013355,-0.064936504236633,-0.0393291614561417,0.0416123147941937,0,0.104717283453844,0.417732537137465,0.306778837347965,-0.0908362577935178
CVIX.INDEX,-0.56622295296254,-0.131067480191382,0.109559761450768,0.0955032420221789,0,0.0251864621291298,0.0897711255589806,0.0724080298675587,0.200184212674403,0.0367194041712916,0.0651456078816217,0.379551549517581,0,-0.650112882990405,0,0.180386011310456
DXY.INDEX,0.0250884311883815,0,0.041953709460273,0,0.00109851022540121,0.0456897976549146,0.000199379106348158,-0.0163517241086252,-0.0123324824937837,0.0103758658389583,-0.0344799439109781,0.164266965884489,0,0,-0.195817519130993,0.00231276712278046
SPX.INDEX,0,0,-0.0714476585744749,-0.00859694422192802,-0.0025491548359973,0,0,-0.00635809413873331,-0.0115729871209149,0.0210817997189862,-0.00371330168649689,0.0672605967156043,-0.0723470814705845,0,0,-0.0719775191463711
VIX.INDEX,0,0.30579319672037,-1.00476744898296,0,-0.0478414774900435,0.164788951357144,0,-0.211852504606187,-0.261314636305275,0.369831260112212,-0.306856176508886,0.601405772712346,0.389889703314298,0,-6.78629745506724,0
