,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0107222650630993,0.17826984761559,0.0362218359296401,0.0291500104877895,0.0265502084727904,0.0783378001181949,0.0254583458681721,0.0773392060523762,0,0,0.113607340217358,0,0,0,0,0,0
ETH,0,0,0.0234788851721686,0,-0.0000000000000000138777878078145,0,0.189635506325461,0.0158450905722203,0.106682055900142,0.152540843721118,0.189129275622556,0,0,0.0233286449806115,0.037825016132091,0,0,0,0,0.140024292857939
XRP,0,0,0,0.11657962364308,0.123187497258574,-0.0702959366962921,0,0,0,0.224938834606327,0.013606081247593,0,0,0,0,0,0,0,0,0
BCH,-0.323483145678416,0,-0.0817071039468431,0,0,0.66129706704916,0.488015801760169,0.102009015123777,-1.10201215052038,0,0.45116865868582,0,0,0.162346094998894,0.226275062672235,0,-0.78728123544764,0,0,0
LTC,0,0.22960404316255,0.0808297644036345,0.0659610199032764,0,-0.113865337790609,-0.143168316024628,0.0203554075089347,0.106556872362393,0,0.730279930884699,0,0.0708345483372395,0.040660577884751,-0.11449821533321,0,0,0,0,0
DASH,0,0,0,0.136652796146828,-0.0464683586066499,0,0.0577051921612009,0,0.30713274344102,0.126202695998685,0,0,0.192831411841445,0.0102694076408749,-0.0222423302532634,0,0,0,0,0
XEM,0,0.297063652753413,0.171997385316099,0.00507931725476099,0.223904473016591,0.568054174754558,0,0.0456750736566421,0,-0.11580954528118,0,0,-0.20891959074294,0.0258174848303004,0.0949420707458777,0,0,0,0,0.107796881152776
NEO,0,0,0.138791100561245,0.0279452140839813,0.185761435567114,-0.00000000000000000693889390390723,0.306639987067272,0,0.2824620692452,0.0971978930384008,0,0,0,0.0265020872046042,0.10286455598547,0,0,0,0,-0.376527194588371
MIOTA,0,0.077489756448241,0,-0.202956034424049,0,0.347678773116286,0.196810894716541,-0.110458279034709,0,0.0563477320108645,0.126010721077411,0,0.0649810062487518,-0.0398143346781151,0.40508869608529,0,-1.08775403711707,0,0,0.167389322709579
XMR,0,0,0.392863228705311,0.0902199467723454,0,0,0.0977009933388569,0.0613236746273661,0.00000000000000000346944695195361,0,0.119629468429014,0,0.213254740952888,0,0,0,0,0,0,-0.0457536490514874
ETC,0,0.121817924031976,0.205230419181237,0,0.707760524308326,0.116633261354492,-0.0714525075978203,0.0698153206617718,0.121505638179741,0.0565948689175172,0,0,0,0,-0.162959167358619,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.187939772148583,0,0.0272521850578031,-0.00000000000000000346944695195361,0.0913293832822616,0.118920492130867,-0.0620509035087692,0.225112312109649,0.167368230280912,-0.000000000000000000433680868994202,0,0,0.135569235119153,0,0,0,0,0,0
BAT,0,0,0.0418782727528118,-0.148428443472201,0.21808674497056,0,0.320730360752131,0.038989092769239,0.0358990455910405,0,0,0,0.292295331278555,0,0,0,0,0,0,-0.0781988307943191
EOS,0,0,0.184222811455195,0.0463013395612098,0.492435494684094,0.070228087456473,-0.125795498630991,0.191014415906053,0.274065547224558,0.139470828387306,0,0,0.100302633687882,0.0707013897415128,0,0,0,0,0,0
BV010082.INDEX,0.0456100125774333,0.0326974581843075,0.00723374160537058,-0.00608204721895297,0,-0.0694089931948786,0.0185789686334655,-0.00550511358505127,-0.0287564403186025,0.00295240644740666,0,0,0.0293150260777507,0.010119515835419,0,0,-0.0970167779340516,0.581662004728597,0,-0.0583224666360583
CVIX.INDEX,0,0,-0.0245514245822595,-0.014667276291608,0.055425665049839,-0.118834330024589,0.100800740967033,0,0.0123485701758067,0.0522124541888547,0,-0.0098474312644643,0,0.0560340577151751,-0.123595678412953,-0.213460571111811,0,0,0,0.0840355571830714
DXY.INDEX,-0.0026419339797772,0,0,0.00371068210579282,0,-0.0349871147837748,0,0.00767178515234202,0.00227448536043145,0.00752637374630297,0,0,0.01371104883847,0,0,0.0255606510571271,0,0,0,-0.00103641823104434
SPX.INDEX,0.00330241519209422,0.00684263104319528,0,0,-0.0128327902264851,-0.0164818588066695,0.0000611404888740327,-0.00240779005139398,0.00180599341043027,-0.00270198899833016,0.0130012069470672,0,-0.00880914678945214,0.00915924350368252,0,0,0,0,0,-0.0439509431613753
VIX.INDEX,0,0.311631996190673,0.0835638085946422,0,0,-0.131959898341643,0.294081387913099,-0.115343878337183,0.181178331802573,0,0,0,0,0.164565297938155,-0.55131826526595,0,1.68477369344417,0,0,0
