,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.154955668047037,0.0801060658304689,0.187592014799342,0.222482069107757,0.123133345094182,0,0.046788791927283,0,0.057591970624335,-0.0729472466920279,0,-0.00248367587207313,0,0,0,0,0,0
ETH,0,0,0.0600181256187144,0.153100298616191,0,0,0.103090568959604,0.0665096017847452,0.268023230703296,0.211138204120875,0,0,0,0.00734402633023973,0.175032718774075,0,0,0,0,0
BCH,0,0,0,0.296876145591206,-0.502572267972968,0,0.815546838247809,0.178116413790263,-0.627767642368697,0.652251709408705,-0.056858124550177,0.661565857510037,0.447260198264485,-1.22113468917024,3.46944695195361e-18,0,0,0,0,-0.0386860559308027
XRP,0,0.433620181400092,0,0,0,0,0.167865151719471,0.0569257671043749,0,0,0,0,0,0.243312079073077,0,0,0,0,0,0
LTC,0.323724662523407,0,0.0451916527214665,0,0,-0.278400311251436,-0.0947683917097304,0.109263468206667,0.0323611324095129,0.126881236211449,0.0374970341252985,0.223435521854945,0.0335751271018511,0.0923996104631209,0.056578551357717,0,0,0,0,0
DASH,0.324634781625363,0,0.0355180438464877,0,-0.168032445172224,0,0.0984935158681145,0.0697175898665162,0.125570927849383,0,0,0.320162701214055,0.128843288521731,0,0,0,0,0,0,0
XEM,0.17233558769432,0.00884790033189706,-0.0294194528937015,0.233711267647923,0,0.426320006869432,0,-0.204078247559993,-0.0726966777616845,0,0.0234501848041554,0,0,0.221762593629544,0.0897605272549333,0,0,0,0,0.117417763046144
XMR,0,0,0.129777309049946,0.196866693537975,0,0.317115335085621,0,0,0.0273378475154937,0,0.130751683903407,0.13229534408213,0,0.189768802436358,-0.13385004678262,0,0,0,0,-0.065359795666607
MIOTA,0.525406697923434,0.150841324921433,-0.2393422171536,0,0,0.488963364042396,0.459953481680498,0.152994113574465,0,0.205806310628482,0.0746165674263225,0,0.0129033940868991,0,-0.272262099649191,0,0,0,0,0.154484376745255
ETC,0,0.393404916728989,0,0,0.475765872622937,0.0184199922990253,0,0.10759158013212,0.0512882066892894,0,0,0,0,-0.0544210005120266,0,0,0,0,0,0
NEO,0,-0.178088308068825,0.0677679696938866,-0.0292560931992272,0.397733713129952,-0.25599180399109,0.299128199029438,0.149780564602043,0.433728919697858,-0.0930699443565979,0,0.145334489324924,0.161847880551376,0,-0.152530514630028,0,1.37104378514999,0,0,-0.597213680240386
ZEC,0,0.0301723692888383,0,0,0.135949297098652,0.213861864329953,0,0.0639167532691951,0.202539433045669,0,0.0111659353387014,0,0,0.120674163840076,-8.67361737988404e-19,0,0,0,0,0.031844811139842
EOS,0,0,0,0,0.490544886204956,0,0,0.194866178009457,0.312366297830436,0.02048860972355,0.176952410027928,0.0767483779726273,0,0.0935361518112784,0,0,0,0,0,0
XLM,0,0.131351384524242,0,0.133559700831768,0,-0.0332640514920021,0,0.402457976320328,0,0,-0.0238804596402454,0,0,0,0.27932346403067,0,0,0,0,0
BAT,0,0.120461592474034,0,0,0,0,0.125646777253333,0,0.0310990993479885,0,0.144109570676718,0.216159019283511,0.0974750514235278,0.286838683864048,0,0,0,0,0,-0.181070868469949
BV010082.Index,0,0.0435532036539836,-0.0150532674255801,-0.0327985489841695,0.0204667526473058,-0.0574282194873084,0.0310827710455106,0.0420730403785761,-0.00614923451186218,-0.00763631182832754,-0.0225214963364195,0.0815963247447726,-0.0262460630015858,-0.0511412201023766,0.0428740541436967,0,0,0.80569317748134,0,-0.0700815929213865
CVIX.Index,0.0789388237330519,-0.101823311114455,-0.0364002751038838,0.143790721033949,0.110759542693911,0,0.0474928203395672,0,0.0322140025774943,0,0,-0.0545712793209208,-0.062788945286998,-0.0742009291592932,0.00233836300392869,0,0,0,0,0.0861940849847773
DXY.Curncy,0,0,0.00158154700262384,0,0.00723211841964383,0,-3.16276757535096e-05,0,0.00491124233653508,5.42101086242752e-20,0.00510577135936947,-0.00444664128483735,0,-0.00401895907212102,0,0,0,0,0,-0.0013894022605393
SPX.Index,0,0,0.000225043603245543,0.00455055123864309,-0.00174963043178714,-0.0131563098185308,-0.00228121082515318,-0.00851996565492893,0.00302957680536871,0,0,0,2.71050543121376e-20,-0.000890094003546334,0.00608814647472246,0,0,0,0,-0.0480794060532727
VIX.Index,-0.0304675498273252,0.118059989688166,0.0137298472389541,0,-0.282989239850721,-0.399925095850053,0.345167629324341,0,0.0783951668465725,0,-0.0815600334535807,0,-0.172666029910398,3.46944695195361e-18,0.167543600452439,0,2.36366179997027,0,-1.17395104917378,0
