,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,ADA,ZEC,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.329087656518538,0,0,0.0750647166594401,0.0626854094122801,0.047635750473553,0,0.0144701603411032,-0.173227863173313,0.101938187691164,0,0,0,0.14249995335108,0,0,0,0,-0.117241295475826
ETH,0.347989868789846,0,0.127603801378744,0,0.0872917492290644,0,0,0.0136370020776712,0.105804736200539,0.188086809755715,0.0593150584385601,0.0370625514601497,0,0,0,0,0,0,0,0
XRP,0,0.73147961420655,0,-0.144654963389861,-0.0918815735968678,0.0541411426465445,0,0.126527287503701,0.0809600650890895,0,0,-0.0904381324322313,0,0,0.171946366065233,0,0,0,0,0
BCH,0,0,-0.138068364379188,0,0,-0.369861000803084,0.0520167661893567,0.138934811483428,0.355498392846735,0,0.456560757698682,-0.0218044710468109,-0.0896519307372308,0.0521255739542574,0.110723506989836,0,0,0,0,0
LTC,0,0,0.353705474295824,-0.112641836820455,0,0,0.191350567301122,0,0.0123316304940827,0,0.596662657327374,-0.0545281881796602,0,0,0,0,0,0,0,0
DASH,0.135174520937102,0,0.285493469411079,0.153056565338764,-0.110506791213118,0,0,0,0.159429960070005,0.232094516292061,-0.00000000000000000346944695195361,0,0.00652430781278021,0.0275070813769279,0,0,0,0,0,0
XEM,0,0.610078445894357,-0.109727734805913,0.235066117970018,0.116661592558456,0,0,0.0286405251880462,0.126994155456477,0.0500744568381187,-0.0668321082063589,-0.0475800560414153,0,0.0396203955054826,0.0845758952587295,0,0,0,0,0
NEO,0,0.216693718008563,0.0948547467992652,0.543527097412269,0.10326221161021,0,0,0,0.0744258585810272,0,-0.13232602591732,0,-0.0303321747639247,0.191121884504153,0.174155424501588,0,0,0,0,-0.536169841536103
XMR,0,0,0.285067279754744,0.0961711978274689,0,0,0.0744494939317794,0.118527761284936,0,0,0.12357859119952,0.0684811185303172,0.253491774644061,0,0,0,0,0,0,0
MIOTA,0,0,0.0220347133773,0,-0.153915918941964,0,0.269992697443421,-0.169959754021079,0,0,0,0,0.255909949252293,0.14847131581008,0.421045000515907,0,0,0,0,0.267689496645644
ETC,0,0.130853563203061,0.124947576150561,0,0.669062847922568,0,-0.0330476404818746,0.00930411971986922,0.0471447676828652,0.0463430154557429,0,0,0.115489533313522,0.0814134666341823,0,0,0,0,0,0
ADA,0.625602986231163,-0.448468363310095,0,0,0,0,0.439107385250647,0.0611924882265181,-0.237307287176011,0.115284422931465,-0.141417085743048,0,0,-0.139425891760711,0,0,1.96141782448071,0,0,0
ZEC,0,0.270337990579728,0,0.164833219128661,0,0.378705630739404,0.0568068073598213,-0.112671751750896,0.0669813392063031,0.133606041896182,0,0,0,0.0834731576122446,0.144203525933323,0,0,0,0,0
XLM,0,0,0.65873366208,0.300487632126743,0,0,0,0.189420239722203,0.169891532656566,0.681677797758677,0.211055677716734,0.0474158558879856,0,0,-0.54017252935879,0,0,0,0,-1.23020316896725
EOS,0,0.58319514463687,0.110412746185981,0,0.344037092387476,0,-0.303903539356881,0.228734967891275,0.121054742210437,0.0992185077433391,0,-0.0943403244578767,0.153134979095196,0.129702723964559,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0167795380722443,0,-0.04361226626957,-0.101342432838407,0,0.0309935294295147,-0.0328278608336407,0.0221199327481258,0.0387377752063667,-0.0100042424308218,0,0.00300921978700406,0.0427798398151779,0,0,0,0,-0.0858808491746937
CVIX.INDEX,0,0.0351081521364362,0,0.0984239400773938,0,-0.168479966041284,0.146778382768251,-0.0126652137604226,0,-0.000000000000000000867361737988404,-0.113103638180505,0,0.0105772640931433,0,-0.0401607727098596,0,0,0,0,0.0372084528232543
DXY.INDEX,0,0,0,0,0,-0.0341813703319287,0,0.0104444637330885,0.00713598266879994,0.00279823840168011,0.00548162623951143,-0.014348484614822,0.00534945435715973,0.0017229811254209,0,0.000598345697328835,-0.00908725767970886,0,0,-0.00273307005226156
SPX.INDEX,0,0,0,-0.00161580138117773,0,0,0.00684776917680671,0,-0.00159427144099448,0.00818080635719047,0,0,-0.0199379654054343,0.000950254643542232,0,0,0,0,0,-0.0332903411629929
VIX.INDEX,0,0.168113307378849,0,0.2110648408952,0,-0.328277451323281,0,-0.0506881858105546,0,0,-0.13659949745229,0.061754681508847,0.249634934098594,0.0567421795314201,-0.201891972388665,0,0.830757408307298,0,0,0
