,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,TRX,DASH,MIOTA,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.148451311210211,0,0.0771003739992744,0.262741041429329,0,0.144782786665226,0,0.0407271296386514,0.0765917876139656,0.0108759688953705,0,0,0,0,0,0,0.0465968968105064
ETH,0,0,0.154756826468409,0.162408247532034,0.133767131973244,-0.0191261899479509,0,0,0.0755683987268686,0.10697611696866,0.160499717112293,0.077319895780664,0,0.0840748579599195,0,0,0.0502281447230235,0,0,0.077071255443989
XRP,0,0.02040897478748,0,0,0.328729549060003,0.0700329579410238,0.0622170820109269,-0.133634203862827,0.0616314588125975,0.0991742461843463,0,0,0.226827291666307,0,0,0,-0.193652394109962,0,0,0.0921551093146442
BCH,0.215105731094399,0,0,0,0,-0.0204341013852011,0.348675716670373,0.136038741189664,0.136783423695467,0.0795321547875583,0.152338701378099,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.531316926556462,0.108339714472451,0,0,0.248267361677807,0.24947692176638,-0.0538022446995268,0.18619757263998,0.120275766815346,0,0,0,0,0.0528896611012235
XLM,0.151017147291175,0,0,0,0,0,0,0.293286874488543,0.233769046869866,0,0.192729159905407,0.0832580792444458,-0.0398036278759015,0.17445502446956,0,0,0,0,0,0
LTC,0.0796212832028109,0,0,0.345584011435909,0.520663196875793,0,0,0.0431624209061497,0,0.0850544585650998,0,0,0.138860076599882,-0.252011088332729,0,0,0,0,0,0.0821071144711941
ADA,0,0,0,0.35338428825654,0,0.304029898855037,0,0,0,0,0.0765610816415243,0.198512890643332,0,0,0,0,0,0,0,-0.0861016743416624
XMR,0.456585178133197,0,0,0,0,0.111549008118536,0.61376318675485,-5.55111512312578e-17,0,0,-0.0757920405063394,0,0.00864214496389672,0.141940370612069,0.0246043723301769,0,0,0,0,0
ETC,0,0.582166745086458,0,0.0880399623247581,0.0526745035485149,0,0,0,0,0,0,-0.296885083987854,0.333185853879849,0,0.0735030340786775,0,0.440977720719905,0,0,-0.188661488597605
TRX,0,0.439356387836865,0,0.00934266116482922,0.339228645180608,0.0842376842669827,0,0.35221796478883,0,-0.140153554647059,0,0,0,0.220452486059123,-0.299777208917629,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.190384762272077,0,0.224201799427608,0.0258949761751242,0,0.121182228681746,0.342606274718743,0,0,0,0,0,0
MIOTA,0,0,0.519894166838487,0,-6.93889390390723e-18,0.361728158943901,0,0,0,0,0.0507066240794801,0,0,0.424897145541467,0,0,0,0,0,0.167678539923229
NEO,0,0.14826021377691,-0.0380142948254856,0,0,-0.0882768236576424,0,0.0962228858038705,-0.0661046504485746,-0.104568597267938,0.234909612491933,0.150347092754204,0.441598022575824,0,0.307807799103182,0,0,0,0,0.0981067837834926
XEM,0,0.44359682219746,0,0,0,0.364744621907803,0,0.0581652614323091,-0.00474112691768594,0,0,0.236429210316785,0,0,0,0,0,0,0,0.0267740096835696
BV010082.Index,0,0,0.0390291848666002,0,0,0,0,0,0.0328273230542207,0,0,0,-0.0363470318466388,0.0143989149111497,0.00559038961112903,0,-0.148526759991962,0,0,-0.0236245551958797
CVIX.Index,0,0,-0.1023993044192,0,0,0.084114738348876,0.0663765585879881,0,0.227902856247978,0.0374301289291095,0.0373793863762775,-0.185544865084179,-0.164438409801726,0.178653329033258,-0.0620397391440845,-0.812912850029489,0,0.353159207715864,0,0.0721651398016189
DXY.Curncy,0,-0.0789609703610364,0.0142609557014863,0,0.000169016232090695,0,0.0295771249896285,-0.0230171110466761,0.0304180146941031,0.0247477995139929,0.0113178123670345,0,-0.0259320492300995,0.0221391213246052,0,0.0515170674562154,0.158438194316151,0,0,-0.000289386651649105
SPX.Index,0,0,0,0,-0.0171368663407591,0,0,0.00925527440686593,0.00609320612459422,0,0,0.00177810915578303,-0.0123545976667859,-2.16840434497101e-19,0.00136269958504352,0,0.0384683225744468,-0.0888293186938232,0,-0.0664903575960137
VIX.Index,0,0.125771355204802,-0.859809912523884,0,0,-0.112905632477987,0,-0.163223117697587,0.066278446988721,0.00170037787037049,0,-0.0332985030926717,0.0149689442302024,0,0.705865717503739,0,0.0355409616001105,0,-1.97397725240553,0
