,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.123175462843766,0.201284158307297,0.131806789781959,0,-0.0116964092812337,0.0438162180604685,0.163093724156616,0,0.00718975800932505,0,0,-0.0851203742858308,0.102789280596225,0,0,0,0,0
ETH,0,0,0.0131076876993122,-0.0552091059348191,-0.0273555594910409,0,0.366979874377154,0.179646904473834,0.0304942480809636,0.0689901256899983,-0.0527845405867291,0.0855246640111552,0.291209732838217,0,0.0775724158668111,0,0,0,0,0
XRP,0,0.120846865565085,0,0.121779637853727,0,0.451004205249952,-0.306647333371421,0,0.0455272583818802,0.0470210732197115,0,0,0.0803958828383507,0.339040556143066,-0.0436068868989574,0,0,0,0,0.13958799503816
LTC,0.278877838846735,-0.0415804472732618,0,0,0,-0.10304981587602,0.237124160679178,-0.0303451496747098,0.027546767901784,0,0.121947162630571,0.0207381089094232,0.155939849001159,0.032932305315751,0.012507004471281,0,-0.0232521968329279,0,0,0
XEM,0.117383244726433,0,0.347224308645286,0.246681889157991,0,0,0,-0.073259186880173,0.202834402698148,0.105083278470508,0,-0.0538505484186257,0,0,0.0574115477226934,0,0,0,0,-0.0786266454855227
DASH,0,0.188670239930239,0.109942121752666,0.36941313509763,-0.0460178227860661,0,0,0,0.344084297134424,0.0435386459410759,-0.0242930842411207,0,-0.163013790515924,-0.189815370319964,0.159712994250248,0,0,0,0,0
ETC,0,0.166822336799789,0,0.166292075486339,0,0.0956862250735327,0,0.0840282700325413,0.251904491543843,0.0368024765259126,0,0.0498130807614864,0,-0.267255461321857,-0.00346714827098359,0,0,0,0,0
MIOTA,0.704483224493759,0,0.141759730060092,-0.183053944915774,0,0.264838300394678,0.313969725244867,0,0,0.0430122458628735,0.0472922417581522,0.409957951418094,0.142391046835816,0.0708568866528326,0,0,0,0,0,-0.374787298785151
XMR,0.0921139043240647,0,0.0215790281078876,0.0602851760508108,0.0709716105076768,0.401238715001236,0,0,0,1.0842021724855e-19,-0.00837203970385978,3.46944695195361e-18,-4.33680868994202e-19,0.21067157540274,0.0299061990251711,0,0,0,0,0
EOS,0,0.278917072733983,0.04534181018069,-0.56122172909069,0.213731545144239,-0.198778476635516,0.572353173106022,0,0,0,0.123226401429226,0.0822377086129586,0,0.197781406655383,0.167909831296053,0,0,0,0,0.0589495926986499
NEO,0,0.457671281742353,-1.66647033666129,0.210568005459039,0.530307553379443,0.764823432395858,0,0,0,0.0891521188581024,0,0,0,0,0.00217861535580617,0,-1.52572571993569,0,0,6.93889390390723e-18
ZEC,0,0.219684844980142,0,0,0,0.0233389211527547,0,0.0910110314935484,1.73472347597681e-18,0.0300085883575722,0.0718677724349973,0,0.0589373973220357,0.206251780439399,0.0158062236847784,0,0,0,0,0
DOGE,0,0,0,0.0535622205115758,0.446401800387161,1.0842021724855e-19,0.184524319443635,0.0164276993213999,0.0907372426911445,-0.0645994790198244,0.0187718347717403,0,0,0,0.116149902469757,0,0,0,0,0
XLM,0,0,0.788194658383159,0.202377397015521,0,0,-0.0622352529812448,0,0.182262400875376,0.0809146475652621,0.0267805949427703,0,0,0,0.108444985082819,0,0,0,0,-0.228695335549651
DGB,0,-0.407937941529686,0.140423058878503,0,0,-0.302210568087828,0,0.400060747402242,0.226862038011714,0.198507326598379,0.0569647452674027,-0.661648329894394,0.588550811584091,0.565932596103389,0,0,0,0,0,0.433821480646759
BV010082.Index,-0.130499399093142,0,0,0.0356211855046977,-0.0241128801451705,0.0347726620919081,-0.0220165654225071,0.0133015447736992,0.0125023109789509,0,-0.0081670342367604,0.0220153473770531,0,0,0.0209798644635283,0,0,0,0,0.0590071726006954
CVIX.Index,-0.098965303786959,0,0.0795947819353446,0.0143020689969833,-0.0636561382472759,-0.0541985876749874,0.0244434989828573,0.0408397841555311,0.0798962706184543,0.0312653598942061,-0.0213414883439578,-0.104779279917895,0.116168946779534,0,-0.013664937430457,-0.000737363841842355,0,0,0,0
DXY.Curncy,0,0,0,0.00208537055662089,0.00668901232422163,0,0.00593880647428935,0,0,0,-0.00738877498524584,0.0118307957124763,-0.00273452063198116,-0.012225730968601,-0.000446937189396782,0,-0.0114298212644759,0,0,-0.0172529804575558
SPX.Index,0,0.0092958424268369,0.0105655804971001,0,-0.00312238870762526,0.00376173501598978,-0.00311178851717262,-0.00645952013101298,0,0.00184715561888613,-0.00173904380489678,0,0.00639628486275507,-0.00773124118751822,0.00200156621087836,0.0186165888524468,0,0,0,-0.0663541728440617
VIX.Index,0.135392388366328,0.309034140902974,0.0497161795850666,-0.409938752633253,0,0,0.0507826337730103,-0.17007331486238,0.096889687448767,0.0628816776688814,-3.46944695195361e-18,-3.46944695195361e-18,0.082384237362266,0,0,0,0,0,0,0
