,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.33421309217784,0.146986873756724,-0.0440383178226987,0.339007535347405,0.104433775669545,0.00000000000000000173472347597681,0.0214914233518421,-0.082417907376446,0.0653899811991399,0.117338521476877,0,0,0,0,0
ETH,0,0,0,0,0.202729363006044,-0.08809422691466,0.629934342654043,0.102837014687602,0,0,0.0282964243925244,0.059099575165046,0.0573613177457153,0,0,0,0,-0.122884679253276
XRP,0,0,0,0,0.0678412203620795,-0.135175719376266,0.148635722822339,0.07964968781633,0.000747173313088377,0.14321360373213,0.0486271363849576,0,0,0.240075669754556,-0.228039984488006,0,0,0.194357123946577
LTC,0.459002182920458,0.0918959448206341,0,0,0,-0.05263779971903,0,0.189317303810462,0.170385920907244,0,0.125039017097182,0.0947365754607064,0,0,0,0,0,0.202389387402819
XMR,0.562063107460069,0.0421318102302257,-0.0901193131088943,0,0,0,0,0,0.158808548200901,0,0.00890143044166345,0.0458084163595272,-0.169994636690556,0,0.292205390818018,0,0,0
ETC,-0.00000000000000000693889390390723,0.423850766974988,0,0,0,0,0.076980329743122,0.09091201956679,0.258748989156082,0.157165995732704,-0.0200655120331877,0.136306457276708,0.137262807656699,0,0.564140149765512,0,0,0.0952507729443587
DASH,0.814585675806629,0,-0.00000000000000000173472347597681,-0.19701296013133,0.176602791462436,0.159684894136942,0,0.12019490627432,0,0.141476198777541,0.158038378319231,-0.0707624484486958,0,0,0,0,0,0.0388290595264429
XEM,-0.265826929178705,-0.110205000071646,0.16229376751292,0.166968437208053,-0.132332014923274,0.0831308328225067,0.394963449988337,0,0.179656851889956,-0.00219521347414775,0.0264645242006945,0,0,0,0,0,0,0
ZEC,0,0.177002460779658,0,0.35180235541416,0.0843937133809147,0,0.234636679142113,0,0,0,0.0241284731083589,0.22333420630734,0.366570184032072,0,0,0,0,0.0681440404882954
DOGE,0.498773470620974,0,0,0,-0.0925015399717999,0.0271035206930657,-0.00000000000000000346944695195361,-0.0930121671596495,0.0291690854153647,0,-0.0168557655570607,0.0872734930913226,0,0.0761446870684987,0,0,0,-0.0801134528997769
XLM,-0.122402108429671,0.247066491711314,0,-0.403454513003474,0.310036468584905,-0.0557139548298264,0.274002353414891,0.204573535503454,0,0,0,0.23956834280005,0.371972080085369,-0.347525368827039,0,0,-2.08850767409389,0.056004594248317
NEO,0.578717934419899,0,0.66174512740467,-0.322024284319624,0.137849669900142,0,-0.105371884741436,0.197288919720972,-0.095963274341591,0,0,0,0,-0.296631844406911,0,0,0,-0.0000000000000000000271050543121376
DGB,1.16395378588328,0,0,-0.830558352413915,-0.217312231481985,0.183858520371296,0,0,0.0257824310036002,0,0,0.184070299475873,0,0,0,0,0,0
BV010082.INDEX,0,0,0.0283385764194028,0,0.0424995067793933,0.0139544394458266,0,-0.149389499090326,-0.0035952698525915,0,0,-0.0649942677186903,-0.0477781803979459,0,-0.206223121443701,0,0,0
CVIX.INDEX,-0.101365045626999,0.0970802984168141,0.0969813329715088,0.152825337522943,0.0413284295204218,0.0922938801185934,-0.0213445877203523,-0.223026077700287,-0.00735325095930654,0.134275315485046,-0.0683876583647015,-0.0250630499120922,-0.080410745204891,0,0,0.559400455546769,0,0
DXY.INDEX,0,0.0019359767490773,-0.0707945815925529,0.0126447826776853,0.00238074176642538,-0.0146850024175058,0.0342093575120417,-0.0168135608917936,0.00525291214599371,0,-0.0105255278897084,0,-0.0045466796301453,0.0443533884310894,0.06339041393766,0,0,-0.0325111864544906
SPX.INDEX,0,0.00120799366555851,0.00924796647084023,-0.029493857801862,0.00104550135698043,-0.011906785838756,0.0193577748298466,0.0129510716414635,0.0022321566822195,0,-0.00194329347328789,0.0189697966040697,0.00529878850512041,0,0,0,0,-0.0608941001684579
VIX.INDEX,0,-0.669962722876022,0.87800192662046,-0.0439672172876099,0.151114881280034,-0.312480410373685,0.364982043492462,-0.437071763769293,0,0,-0.0846611843911547,0.121155273018377,0.170999318906681,0.252729721876443,0.403658925229922,0,-1.16755815383953,0
