,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0883089429978613,-0.0433607239375589,-0.0447411071974805,0.437305201203307,-0.0230874772434975,0.0585793499470701,-0.15573510633448,0.0760998184056726,-0.25507284172015,0.100535179568693,0.112893555145032,0.120241742983503,-0.0764328471907655,0,0,0,0,-0.19799856524476
ETH,0,0,0.00742448613931993,0.185578557513396,0,0.0647226416134768,0.0793809348972362,0.0496155360546448,0,0.0489564817634599,0.137316519865049,0.0346744897198702,8.67361737988404e-19,0.0942189557294342,0,0,0,0,0,-0.0725013451208643
BCH,0,0,0,0,0,-1.36495252528405,-0.100531757717037,0.667549960754941,0.134739063661319,0.320314559075553,0,-0.0855027580144692,0.329707454618081,0,0,0,0,0,0,-0.532397651630553
XRP,0,0.315274422293747,-0.108684828391518,0,0,0.0874896834482502,0.401824423075615,0.0261232895729544,0.00770358785193972,0.0497943657110805,0,0.137270849421882,0,-0.116741914997459,0.0276114358478058,0,0,0,0,0
DASH,-0.48455678429418,0,0.113344706596166,0,0,0.649605825487295,0.523108803845367,-0.0200863796024567,0.198823034656617,-0.438267578710812,-0.922018166330033,0,0.578624198158901,0.0185617208478701,-0.031362367647584,0,0,0,0,0
LTC,0.115778109458732,0,-0.107144118421318,0.234320171161649,0,0,0.102516490138892,0,0,0.19711902031108,0.0813576204157897,0,0,-0.0365498440606688,-0.0253600488273837,0,0,0,0,0
XMR,0.150365007828942,0.236202394186009,-0.0342794154018832,0,0.245366626240251,-0.0704030302902352,0,0.165910322724471,0.0249321577196614,0,0,-0.00160244906259844,0,0.144922025897148,-8.67361737988404e-19,0,0,0,0,-0.335885260666198
NEO,-0.365015640166872,0,0.121037915602952,0.0290193130283209,-0.308308923352497,0.228163282605829,0.153976179627046,0,-0.225833675519868,-0.172549932881865,-0.0416731335921915,-0.134216706753,0.791397829054629,0.123043118488244,0.154066742734589,0,0,0,0,0
MIOTA,0,0,-0.0852672740075159,0,0,-0.335442787166667,0.38795663132171,0.0586155118704465,0,-0.108385691121139,0.735201124290985,0.238753436981845,0.172379787703096,0.103222392583678,0.0414006497136494,0,0,0,0,0
ETC,-0.0937562065791891,0,0.198038782996303,0.238686976964857,-0.413170188639838,0,0,0,0.10659695866611,0,0,0.0397543340407366,0,0.125044503127517,0.0245933717656499,0,0,0,0,0.130350737620825
XEM,0,0.252814582615739,0,-0.0444810825907665,0.0188031343297836,0.0821423935202971,0,0.0226275650868518,0.177753847940283,0.00839506564610606,0,0,0,0.1369130306341,0.0947166514354011,0,0,0,0,-0.19844645248682
EOS,0.711306615866838,0.292526072206932,0.0797227451341243,0.253050596216683,0.195795669970682,0,-0.364750914292581,0.148092006535836,-0.0547870771220443,-0.0325852848439227,0,0,0.224050369946781,0,0.111281025513799,1.27761791743862,0,0,0,0.149990490630627
ZEC,0,0,0,-0.242367836809556,0.264151838043662,0.0304698990219608,0.247943683812134,-0.0196849003510864,0,0,0.197493209485216,0.0905051976332229,0,0,0.0378226853936575,0,0.0488936268208174,0,0,0.0774753925761896
ADA,0,0.0359378144872489,0,0,0.446149770429789,0.63728750386066,0,0.147194688612145,0.535672993619323,0.0348059230045475,0.727311103826957,-0.0505572047111967,-0.88709500371838,0,0,0,1.18201910710755,0,0,0.0210563745384873
XLM,0,0.670969625423875,0,0.222311591427533,4.33680868994202e-19,0,0,0.1120919850704,0.420731826501811,0,0,0,0,0,0,0,0,0,0,-0.314527925712968
BV010082.Index,0.038044407724165,0,-0.028955823288437,0,0.01521144584546,-0.11182007397808,0,0.0250994253908221,0.0297009927272318,0.0205630524577895,0,0.0172279852917469,0,-0.0282424615937911,0.000637459842471692,0,0,0,0,-0.00150101844040322
CVIX.Index,0,0,0.0269299920814683,-0.100491984563012,-0.0522885234821894,0,0,-5.42101086242752e-20,0,0.0026615454428094,0.0463062974482039,0.00677445078876252,0,0.0449985477529581,0.0138152229172621,0,0,0,0,0.102599148910366
DXY.Curncy,-0.00811613457113749,-0.00911178096076185,-0.025444278356752,-0.00786000533881696,0,0,0.011668505267804,0.0123814636309546,-0.0144723187594986,0.0105592205543027,0,-0.00176390340008809,0.0132542244999481,-0.0222093443779249,0.00201272908860715,0,-0.0734142376711772,0,0,-0.00396703569280552
SPX.Index,0,0,0,0,0,0,0,0,0.00246516653319484,0,0.00822410022055544,-0.00635717149113665,-0.0153149804502784,0,0.00094250312028431,0,-0.0581518338142823,0,0,-0.0252050156283083
VIX.Index,-0.405579095354486,0,-0.447028529226022,0,0.152767617799381,0.467144064595236,-0.312241794362307,0.111371090750914,0.2266108435768,0.0910847898413359,-0.0225893670826759,-0.0109623483970231,0.0797603894406734,0,0.0534298978941763,0,0,0,0,0
