,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.14845131121021,0,0.0771003739992744,0.262741041429329,0,0.144782786665226,0.0407271296386515,0.0108759688953704,0,0.0765917876139657,0,0,0,0,0,0,0.0465968968105062
ETH,0,0,0.138213721705481,0.0781716284189556,0.384708416296145,-0.0439016870914452,0,0,0.0132223585079215,0,0,0.149704378417516,0.178757277038467,0.058005981437615,-0.0448015934494926,0,0.140386632873894,0,0,0.0537276119999989
XRP,0,0,0,0,0.301853559167224,0.0533955890857667,0.135235353641495,-0.16148161584426,0.0448332844643403,0,0.203232478913301,0.0881224995307973,0,0,0.0867147109187931,0,-0.150456023427549,0,0,0.0857380718382202
BCH,0.277096497386237,0,0,0,0.00000000000000000346944695195361,0,0.203411902287614,0.0904308310057601,0.203649705399737,0.14595772807696,0,0.114467371826393,0,0,0,0,0,0,0,-0.0190707995618623
EOS,0,0,0,0,0,0,0.501171659137002,0.166680897775667,0,0.187783155501437,-0.00000000000000000173472347597681,0,0.260572845583872,0.16608642894859,0.0880395522736978,0,0,0,0,0.0574256043361064
XLM,0.100909003275978,0,0,0,0,0,0,0.291214184918619,0.220011546043324,0.121335139634159,-0.0267656861780505,-0.0000000000000000138777878078145,0.295240746956793,0.169788163241012,0,0,0,0,0,0
LTC,0,0,0.0808890457559587,0.319828845969247,0.13375594204342,0.0375643921039582,0,0.104071172993283,-0.00000000000000000346944695195361,0,0,0.191571545994665,0,0,0.154896005659591,0,0,0,0,0.102217288706331
ADA,0,0,0,0.186972700552083,0,0.371902453510223,0.00455755090611655,0,0,0,0,0,0.332978048389945,0,0,0,0,0,0,-0.121251909106792
XMR,0.297387147196888,0,0,0.413201317811398,0,0.0521611592954878,0.181058062132147,0,0,-0.143338490344523,0.0446238158204528,0,0,0.105849897225093,0.244168729458924,0,0,0,0,0
TRX,0,0.578366727869712,0,0.0352302204207333,0.215590924620843,0.118675387910398,0,0.230944555667476,0,0,0,-0.117490761715964,0,0.220558823707501,-0.215797807417989,0,0,0,0,-0.00234288694209587
MIOTA,0,0,0.533400203599351,0,0,0.391228229811519,0,-0.087868496796758,0,0.059696039397463,0,0,-0.00000000000000000693889390390723,0.473370431855181,0,0,0,0,0,0.170993131012383
ETC,0.104274269267834,0.575492837839014,0,0,0,0,0,0,-0.0000000000000000277555756156289,0,0.395168579096831,0,-0.230970060646197,0.0392003449167273,0,0,0.365626650371582,0,0,-0.179352552140843
DASH,0,0.0723703607785495,0,0,0,0,0,0.142116426781984,0,0,0.118794625507036,0.222797125196736,0,0.356840868171527,0,0,-0.0700648625347015,0,0,0.0210086557554539
NEO,0,0.205523891315318,0,0,0,-0.0708969387585158,0,0.101370059499237,-0.0697647748199792,0.217312509839937,0.432803063166266,-0.130911364538045,0.131264285802853,0,0.265505668643218,0,0,0,0,0.0836602907232013
XEM,0,0.467683738228085,0,0,0,0.271517547507443,0,0.197550728887424,0,0,0,0,0.268423692076988,0,0,0,-0.113696145280362,0,0,0.0867887980977984
BV010082.INDEX,0.0350844049510368,0,0.0303509994089847,0,0,-0.0168548559331726,0,0,0.030961492553588,0,0,-0.0306766283994172,-0.0659036683516404,0.0390784346756248,0,0,-0.248471935396256,0,0,-0.0108576422705991
CVIX.INDEX,0,0,-0.117057440871753,0,0,0.0961661866730314,0.0545691639883497,0,0.190797239837832,0.0588749017437697,-0.123810985852026,0.0565272914009935,-0.223376671579496,0.160224762804392,-0.0529202297910613,-1.08628582136172,0,0.525809189723032,0,0.0683905581827484
DXY.INDEX,0,-0.0685437163378811,0.0310139858809074,0,0.00177711845462318,0,0.00930804951151644,-0.0251074673496907,0.0289300722598705,0,-0.0196320855894954,0.0265080077577188,0,0.0171633934181226,0,0.0833045379103414,0.166548447657081,0,0,-0.0020991671949637
SPX.INDEX,0,0,-0.00604256421578552,0,-0.0181934508825706,0,0,0.0107357220167057,0.00897713420902254,0,-0.0116349418904015,-0.000913542013099183,0.00335915800323505,0,0.00162873862230335,0,0.0426680588685188,-0.0894984521915009,0,-0.0667250559485886
VIX.INDEX,0,0.108234716789624,-0.7910379815653,0,0,-0.0916700789723549,0,-0.108085132312641,0.0444902742550454,0,0.0143431353293733,0.000000000000000000867361737988404,-0.149998370580302,0,0.670590262638259,0,0,0,-1.73434908988946,0
