,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.428007942564142,0.106633699827966,0.191060728555561,0.0680354385678561,-0.130392141060511,-0.0325423225787192,0.0698441224200349,0.0701865660548757,0.188367644195603,-0.353251059823963,-0.387324006424351,0,0,-0.0638902806399569
XRP,0.397665461966965,0,-0.18897979723221,-0.0883197975675005,0.702423695341404,0,0.346195768372813,-0.206060478261564,0.000773841668117058,-0.0640868924913836,0.0505646719004369,0,0,0,-0.184948063265844
LTC,0.490083166021459,0,0,-0.0441118790717232,0.707504138820376,-0.157709911384252,0.250987891116469,-0.234385219156484,0.0314045705701998,-0.00718679746756264,-0.306915863494351,0.0627952988769435,0,0,0
ETH,0.997006087085978,0.522663033817353,-0.908042846507496,0,0,0.990509216523251,0,-0.562342557274887,-0.0365627689713055,-0.370902832872557,0,0.390056122370697,2.37106393539103,0,-0.246118477861289
DOGE,0,0,0.784555586207841,-0.0139753537685619,0,0.0167068991658102,0,0.117801942820265,-0.0479342544570178,0,0,0,0,0,0
DASH,0,-0.0985848316203179,0.562621209402518,0.023443107837883,0.255882144979273,0,-0.299413707350207,0.0653915630389595,0.0285889790441284,0.0130290191367486,0,0.0889192236894569,0,0,-0.0995878861041904
XLM,0,-0.231806892090136,0,0.0763578705203994,0,0,0,0.237974374887765,-0.00461692997861078,0.119863583183472,0,0,0,0,-0.204552771997249
XMR,0.277273892048384,0,0,-0.226485498767863,0.0834930787766181,0.553568734967321,0.215652869688137,0,0,-0.087501617765731,-0.16662293325563,-0.184558136840851,0,0,-0.399963106260582
DGB,-1.75897299720711,1.36378589019585,-0.783410802860693,0.413801373114206,0,0.409215164549116,1.57142791046373,1.0579281817259,0,0.898128649985314,-1.45489910773289,2.55336911274025,-5.4064323032873,0,-0.594669904748046
XEM,-0.0000000000000000277555756156289,-0.254642625713501,0,-0.206603698217959,0.99145661222119,1.10938735555632,0,0,0.0411159792325036,0,1.11025918486114,-0.0902137513055633,0,0,0.639382669513669
BV010082.INDEX,-0.147138943452905,0.178274783943338,0,0.00543616351792242,0.0768317764768069,0.0730526530481519,0.0441421557918861,0.0604031741289656,-0.0400945914604403,0.01286563495501,0,0,0.591919738090809,0,0.00000000000000000693889390390723
CVIX.INDEX,0.157268298819274,-0.0215979147541433,0,-0.00162546895273286,-0.151475298541823,0,-0.346234068589708,-0.247961571049561,0.000147452747374176,0.080856620356653,0,0,0.342086191443813,0.756535547826423,0.0959079069832834
DXY.INDEX,0,-0.0585520396323524,0.0226638729338952,0.00607014644332991,0,-0.00502983521181654,0,0.0457281893353815,-0.0140257799823501,0.0180412405744737,0.0636841241226772,0.016457594816419,0,0,-0.031500159377441
SPX.INDEX,-0.0665957269937865,0.037069825934771,0.0486341822294263,-0.00767672864287489,-0.0506189630416434,0.0330834616084379,0.0448418525209873,0.0139123386606657,0.00500462989536054,-0.0123207756387411,0,0.0403841668225671,0,0,-0.0860065953902805
VIX.INDEX,0,-0.288054835367495,0,0.111851495400331,0.147732718394511,-0.0141555983642918,-0.0000000000000000138777878078145,0,0.00536866917786317,0,0,0,-2.3303952890615,-2.84254204500209,0
