,BTC,ETH,XRP,BCH,ADA,NEO,XLM,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.105329210928779,0,0.117436817291053,0.0763249059664688,0,0.129866563942477,-0.0219578812056399,0.0600151113311062,0,0.256028248061391,-0.01937357453464,-0.00000000000000000693889390390723,0,0,0,0,-0.114956297315396
ETH,0,0,0.0190170807723309,0,0,0.129984431992881,0,0.257851952130958,0.0618893068299447,0,0,0.172802346217358,0,-0.00583219667848659,0.077068121473563,0,0,0,0,-0.0012345653983536
XRP,-0.19816414455035,0,0,0,-0.0360023808076095,0,0.288319415871794,0.0117463228777781,0.343023901295123,0.195150056757926,0,0.245171128385141,0,0.103417031148591,0.0483469639208776,0,0,0,0,0.224133651193403
BCH,0,0,-0.073908213948727,0,0,0.182008276499208,0.0415746315567063,0.101692010133584,0.19137618209337,0,0,0.363545558064569,0.116257929518626,-0.0122059679462573,0.0788369100843368,0,0,0,0,0
ADA,0,0,0.194059669817106,0,0,0.23403257902242,0.216063361421098,0.0520513813362581,0,0.112656245524359,0,0,0,0.0556126632337198,0.0951264132695109,0,0,0,0,0
NEO,0.125938338285696,0.452479739036617,0,0,-0.0749352669319265,0,0.14691475601589,0,0.0000000000000000138777878078145,0,-0.176632326020488,0.204805264678715,0,-0.0154668883847997,0.341624245423151,0,0,0,0,0
XLM,0.127902288875174,0,0.239025241393353,-0.0000000000000000138777878078145,0.240946258186631,0.102367467182038,0,0.0982258104853395,0.00365330762618096,0.0255468950172141,0.0446441308705827,0,0.301821625699266,-0.191479472746605,0,0,0,0,0,0
LTC,0.101263139893986,0.135718436790597,0,0,0,0,0,0,0,0.0051485418150563,0.176368873903153,0,0,0.0684224899516915,0.043740877956301,0,0,0,0,0
EOS,0,0.100736316962315,0.0504564386431545,0.273390890644739,-0.00352556492291211,0,0.154811190571843,0.292695191509469,0,0.0617969546935881,0,0.0771262848262878,0,0.0889263941862835,0,0,0,0,0,0
XEM,0,0,0.317461042008148,0.105522052916094,0.0107621799004739,0.078954497003299,0,-0.30111574124329,-0.000000000000000000216840434497101,0,0.256737200216554,0,0,0,0.214334424644909,0,0,0,0,0
MIOTA,0.354979633607131,-0.298177931542874,-0.134327576917138,0,-0.12996132670454,0,0.182096569823956,0,0.329886198711813,0.270915909689608,0,0.0849811676099408,0,-0.074101735406894,0.439849832150544,0,0,0,0,0
DASH,0,0,0.071164321373392,0.122468864638854,0,0,0.00463169412971969,0.172400203107561,0.14290953615688,0,0.0322075754181837,0,0.103335427229221,-0.0506635631899648,0.0590594553152607,0,0,0,0,0
XMR,0.0861230362177478,0,0,0.159330882779137,0.0104338772417432,0.0970963156889024,0.0812756506663611,0.0606357808898772,0.0475272087648925,-0.0321071602727185,0,0.0825916814286869,0,0.0507683190688041,0.260863815246089,0,0,0,0,0
TRX,1.44079060351881,0.0761711064420638,0.147338785630215,0,0.214372044740756,0,0,-0.732421751212451,0.275214220457902,-0.813272229474102,0.367031143304418,0,0,0,0.0557703377593475,0,0,0,0,0
ETC,0,0.307374067799521,0.00309929929809712,0.23468298954759,0.212965657618362,0,-0.0878161026030236,0.0273907546474001,0,-0.028275293206962,0.126904516195063,-0.11732089337703,0.360846291641862,0.0629788342925281,0,0,0,0,0,0
BV010082.INDEX,-0.0483859963877372,-0.000783937232339625,0,0,-0.0195030884285965,-0.0360589872812343,-0.000000000000000000433680868994202,0.0240206844006211,-0.00862541992981323,-0.00243295528465075,0.0268340691880326,0,0.0390318293350913,0.00424208871968019,0,0,0,0,0,0
CVIX.INDEX,0,0,0,0,0.0325496999868505,0,-0.00275050936965471,-0.0193976750488888,0,0.0161884770010965,0,-0.0407576693849757,0,-0.00976569671771563,-0.0542860182451751,0,0,0,0,-0.00449956429365169
DXY.INDEX,0,0,0.00353472038120748,0,0.000133395254916186,0,-0.0102810441266355,0,0,0,0.00689390076126144,0,0,0.00405766241845951,-0.0202063636379538,0,-0.0424470586028619,0,0,-0.0272498198702738
SPX.INDEX,0,0.0046371004639766,0.00149046634296887,0,0.0038296782658518,0.00465520422522607,-0.00728652185304977,0.00292524175223466,0.00298774051945176,0,0,0.002100253498666,0,-0.00112857890897154,0,0,0,0,0,-0.0363746609487783
VIX.INDEX,-0.0268673422579705,-0.163476949079814,0,0.0464653605207194,-0.0180846305614345,0,-0.123153568396802,-0.0754628917736816,-0.111736466874738,-0.0296341938223914,0.0919408625069272,0,0.236233068691498,-0.047615844024979,0.0271447115200711,0,0,0,0,0
