,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,6.93889390390723e-18,-0.143239468210923,0,0.272183518995227,0.0990256248902383,0.178368952122154,0,0.0831068273178034,0,0.0528348053850172,-0.0398576464583088,-0.0125466045869708,0,0,0,0,0,0,0
ETH,0,0,0,0.186148321736138,0,0,0,0.095868788809503,0.161115379459976,0.177893021373121,0,0.106002074396232,0,0.0187506413476942,0.203281104835134,0,-0.179081956495244,0,0,0.101110189901444
BCH,0,0,0,0.256385631481439,-0.475186420693734,0.937518895350506,0,0.276199938219652,-0.616157114283868,0.437009534439465,-0.033915144404657,0.542654682520274,-1.23958229826574,0.455291059117859,0.0123558787112172,0,0,0,0,-0.129448995604963
XRP,0,0.531669732466157,0.0609351547455663,0,-0.0505356393015431,0,0,0.0899402956014425,-0.118349869831623,0,0.0661447214586727,-0.000488081097297462,0.222091040937768,0,0,0,0,0,0,0
LTC,0.219900667947787,0,0.0982099294096782,0.0135701821298911,0,-0.0891962740456775,-0.18178550204543,0.0273082385508716,0.134279108134776,0.216872605065205,0.0429867249800683,0,0.0694613000442846,0.0507269903869483,0,0,0,0,0,-0.0355459281403439
XEM,0.179066108084668,0,-0.0484158259850327,0,-0.0260699484966294,0,0.110825238819917,0,0,0,0,0,0.163538030177554,0.137001507730104,0.319617430067763,0,0,0,0,0
DASH,0.296885719553288,0,0.0542267129632131,-8.67361737988404e-19,-0.175434092518639,0.120549300045402,0,0.0889079146345811,0.115422395332835,0,0.0142169191091806,0.33241502488478,-0.0197092585343085,0.118331239379503,0,0,0,0,0,0
XMR,0,0,0.12703593648387,0.179297146232182,0,0,0.306080574047984,0,0.0307784732808647,0,0.127221408305184,0.119176497657214,0.208916635728221,0,-0.127130165460346,0,0,0,0,-0.0564710065058405
MIOTA,0,0.253869716419488,-0.127370234016946,0.0750642893535109,0.0990557133688182,0.0298348989782563,0.499189840116084,0,0,0,0.0694960367962346,0.088515357285487,0.292665152547331,0.147072469451154,0,0,0,0,0,0.104807460590919
ETC,0.0659589565439308,0.354144526314738,-0.00451784388059141,0,0.332077592034755,0,0.131627473738165,0,0,0,0.0217718858580312,0,-0.131234386541346,0.0276430968115604,0,0,0,0,0,0
NEO,0,-0.140064111706326,0.0292795670758884,0,0.118262080561698,0.156127602725054,0,0.0923693755436273,0.298728703437655,0.0208133633108694,0,0,0,0.395703904402714,-0.1175410352096,0,0,0,0,-0.0585732075287603
ZEC,0,0.0939216114758959,0,0,0.0900318647278627,3.46944695195361e-18,0.193908392608462,0.0453683936353716,0.180242522224767,0,0,0,0.118595359986448,0,0.0202275223452226,0,0,0,0,0
XLM,0,0.277124532536827,0,0,0,0.174200100552374,0,0.223611342019258,0.133176346185195,0,0,0,0,0.119539498624785,0.147497202173725,0,0,0,0,0
EOS,0.339686577811119,0,0.0560161945020795,0,-0.46860033573224,0,-0.127658527675357,0,0.25093134884195,0.418894391637785,0.231823798873729,0.239312358516715,0.451269736731021,0,0,0,0,0,0,0
BAT,0,0.120461592474034,0,0,0,0.125646777253333,0,0,0.0310990993479886,0,0.144109570676718,0.216159019283511,0.286838683864048,0.0974750514235279,0,0,0,0,0,-0.181070868469949
BV010082.Index,-0.0282035368157141,0,-0.0196562642792454,0,0,0,0,0,-0.0559709902067251,0,-0.0162445956655024,0.0780258148474534,0,-0.0115171006889529,0.0413230598333173,0,0,0,0,0
CVIX.Index,0.0544284751261401,-0.124046214860101,-0.0257496204814039,0.135201950028124,0.0115724909052595,1.0842021724855e-19,0,-0.0024640716772908,0.0273260310353455,0.126315935378273,0.026162597138057,-0.0536273383078209,-0.0550831818425492,0,0,-0.25846589127098,0,0,0,0.103978894437615
DXY.Curncy,0.00375184897632444,-0.0121591867626655,0.000270233724266948,0,0.0239281690109326,0.00217707336149805,0,0.0116930873659015,0.0133021916976486,0,-0.00501372186132169,-0.0235767032322599,-0.00767211058076851,0.00135842975861039,0.00354556981181321,0,-0.0158561213455216,0,0,0
SPX.Index,0.00507736393383251,0.00584536674400874,0.00371832299857593,0,0.00342388552025395,-0.0034278884028748,-0.0134796036068959,-0.0113216294833948,0.00455503862205925,-0.00798536210245271,0.00354142251800527,0,0.00833244190166625,0,0,0,0,0,0,-0.053529607915651
VIX.Index,0.000510438092720937,0.148798302958096,0,-0.251876866032345,-0.00170308164409447,0.347105981738035,-0.415957097484807,0.261578042068799,0.11725181068377,0,-0.224104271685787,0,0.0281219654389221,-0.188663701004093,0.0525097139584465,0,2.08197709481834,0,-2.46768899714262,0
