,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00000000000000000010842021724855,-0.0135059327125601,-0.0284157261582496,-0.00985655141651661,0.241452047434335,0.00828065053324182,0,0,0.0541297167046016,0.0772446541524936,0.0189725571305285,0,0,0,0,0,0,0,0.00697097101494309
ETH,0,0,0,0.0265541670420135,0,0.312414373327782,0.128409747067425,0.0495905527757481,0,0.0808887245157892,0.229825516126076,0,0,0.339682654394954,0,0,0,0,0,0.00768324980618514
XRP,0,0,0,0.00185569012900464,0,1.18317150399589,0,0.29938605756729,-0.0243483215388615,-0.0304369011547739,0.01928735146167,0.341467044861402,-0.768655530391801,0,0,0,0.903388055879857,0,0,-0.0746692700632191
BCH,0,0,0.0727855812873099,0,0,0.289605953765378,0.289575329487354,0.0878983803870381,0,0.255862938487109,0,0,0,0,0,0,0,0,0,0.0463273836644558
XLM,0,0.161615349080137,0.180205233475253,0.0108592961473323,0,0,0,0.132848364799362,0,0.0380212330783432,0.0898184469896879,0,0,0.199242863523217,0,0,0,0,0,0.00558430909942133
EOS,0.266948314533482,0.439431444392164,-0.0319965522993239,0.0743806443783255,0.0773741648443212,0,0,0.00000000000000000693889390390723,0,0.0536034090879546,0,0,0,0.243570890713699,0,0,0,0,0,0.00431415699099887
LTC,0,0.173075617460189,-0.0309124670384941,0.167178245645693,0.0987893899166323,0,0,0,0,0.0725655649306682,0.230079628249381,0.0828569279601728,0,0.0939725902620666,0.0781961932080994,0,0,0,0,0.0114294099640875
ADA,0,0.224832079355602,0.0468395167652765,0.189456940307709,0.352772822362452,-0.268080958420342,0.113888520195845,0,0,0,0,0,0,0.171565539517004,0.320248901277321,-0.111561041039466,0,0,0,0.0863838509007339
XMR,0,0.215288031795148,0,0.114793303140515,0,0.180816949508346,0,0,0,0,0,0.191975632318729,0,0,0,0,0,0,0,0.0600007999723642
TRX,0,0,0,0,0,0,0,0.525006044271142,0,0,0,0,0.623780285844235,0,0,0,0,0,0,-0.0437458926352187
DASH,0,0.35543677644089,0,0.0132710789468047,-0.0217396316057512,0,0,0.273633983980745,0,0,0,0,0,0,0,0,0,0,0,0.00680866874067076
MIOTA,0,0,0.0610124332161829,0.0256646214275474,0.0273426712361566,0,0.574192526628,0,0,0.0818527369912262,-0.163356607651377,0,0,0.399347104731899,0,0,0,0,0,-0.0965680788340237
BNB,0,0.202087122985277,0.0162709449604651,0.00527525058988869,0,0.00187896481233562,0.404571319691484,-0.0951624421048101,0,0,0,0,0,0,0.0814078396663237,0,0,0,0,-0.0567665810921236
NEO,0,0.12173588339751,-0.0816497938760085,0.103098557686367,0,0,0,0.465820193068427,0,0.00000000000000000173472347597681,0,0.136879014067828,0,0,0,0,0,0,0,-0.0324299157045941
ETC,0,0.136417569950173,-0.105786555792606,0.031364720994375,-0.130992512108234,0.156857066402934,0.0588329230973875,0.528310009810455,-0.0442861317912659,-0.102197852816755,0,0,0.435540699869025,0,0,-0.198426040947551,0,0,0,-0.0464024129810297
BV010082.INDEX,0,0,0.0703228813474303,-0.0503635465470769,0,0,0,0,0.0473662297152431,0,-0.00616493752149666,-0.0887959260502783,0.118479256586332,-0.136675694703918,0,0,0,0,0.750916483302038,-0.000974337236986326
CVIX.INDEX,0.215139847792381,0,0.120568821717603,-0.179311586283126,-0.288098906145028,-0.00000000000000000346944695195361,-0.225535638698479,0,0,0,0.0276511020035764,0.245440468472295,0,0.123560332639826,0.144121948485189,-0.374983161746138,0,0,0,0.0200707538458908
DXY.INDEX,0,0,-0.00145791897388558,-0.0409912062063922,-0.0351583263629753,0.0494292252393121,-0.00247704132314712,0,0,-0.0304534444706389,0,0.0243392411626723,0,0,0.0309448930433903,0.0733612046891273,0.0640001861121029,0,0,0.00607665890534907
SPX.INDEX,0,-0.0904501832160003,-0.036025242205233,-0.0521808908196115,0,0,-0.0240666654784459,0.0591094479532805,0,0,0,0.162539629146037,0,0,0,0.165667794128635,0,0,0,-0.106189378415754
VIX.INDEX,0,0,-0.115187402230897,0.480889459747103,0,0,0,0.22171280752385,0,0,0,1.39657097422264,0,-2.11529451547368,0,0.938173639288091,0.425522843617158,0,-5.13846797006484,0
