,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,ZEC,EOS,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0373061135000033,0.0374080271725849,0.269600366551071,0.0338643876744455,0.0504196901679605,-0.0858597454145815,0,0.0748158729482283,0.0492254693541143,0.053209987973614,0.00943925495963372,0,0.0387016906463235,0.0452940936406363,0,0,0,0,0.198076589704723
ETH,0,0,0,0,0.212570666567478,0.1445673759747,0,0.00143414218026055,0.033657581768338,0.0846824584456015,0,0,0,0.0841080423670028,0.0288932663234797,0,0,0,0,0
XRP,0.231666974993025,-0.314246146874493,0,0,0,0.388534086749094,-0.201885745895776,-0.0777276529274675,0.0941856010258169,0,0.0972194890379531,-0.0430177146988557,0.371277050341858,0.197577663308352,-0.0550625599267636,0,0,0,0,0.203928167403109
LTC,0.282189428990535,-0.0551012813759564,-0.162358498492175,0,0,0,0.27781593683554,0,0.0266051938129496,-0.033112591605218,0,0.174601738874625,0,-0.00711305270694853,0.0416403573395171,0,0,0,0,0
ETC,0,0.29844406298662,-0.117127444310082,0.240742465869411,0,0.287431654470375,-0.145677479567213,0,0.0751627704459624,0,0.0419907779110104,0,-0.0256538728108734,0.105884442917467,-0.0432830437432208,0,0,0,0,0
DASH,0,0.14948515966914,0.248858671707073,0,0.252712020587266,0,-0.172172540976369,0,0.329140910912527,0,0,0.0388931021211459,0,0.0366041082505349,-0.0561485141476652,0,0,0,0,0.229898626415374
XEM,0,0.10102096059671,0.0746846872779286,0.239214104592605,0,-0.0553344461139691,0,-0.139001368243273,0,0,0.142305242812082,0.0416672276167611,0.197952439202121,0.262849650490152,-0.0293908270504158,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.337504466231404,0.0732876806100392,0.140274171018742,0.282490968834521,0,0.0874717171495553,0,0,0,0,0
XMR,0,0,0,0.187973002824515,-0.107676936638781,0.510923487558726,0.0614395633587244,0,0,0.0355664731777308,0,-0.181601035082187,0.194326746206088,0.0488254248411852,0.0184577306003849,0,0,0,0,0
ZEC,0,0.33123117702558,0,0,0,0,0,0.0779076792014898,0.249354295282688,0,0.0271040098117793,0.0332979845681715,0.0587615249767448,0.152629825775357,0.000789355065678702,0,0,0,0,0
EOS,0,0.22596396241751,0,-0.227921892608492,0,0,0,0,0,0.182339798088694,0,0.169605868965208,0,0,0.102166561999041,0,0,0,0,0
NEO,-0.4509348683286,0.731542322117836,0,0.737235147062185,0.859627383768592,0.374118580406432,0.66793859677382,-0.670387677001867,-0.141551242847664,0,-6.21558557554526e-05,0,0,-0.683903820845069,0.329368238280772,0,-3.60935253779177,0,0,0
XLM,0,0,0.650809095886825,0,0,0.24842391668115,0.0469432325678495,0.276497419791454,0.336080705324352,-0.197330624149544,0.0839164043877649,0,0,-0.134917892570541,0.0445152301080035,0,0,0,0,0
DOGE,0,0.153234603191177,0,0.213565125774551,0.0928341118144303,0,0.407184052672317,-0.0201470157938547,-0.0248117179826292,0.0834338974537266,-0.0604958516522015,0,0,0,0.0585683262105878,0,0,0,0,-0.185526161575463
DGB,0,-0.075268793981511,0,0,-0.151233344444816,-0.105614450318377,-0.232954421019955,0.155231281699656,0,-0.805589135892211,0.230830563471723,0.138320997960449,0.775400510396739,0.856303068521995,0,0,0.680857622327974,0,0,0
BV010082.Index,0,0.030226191211404,0.00412589482380119,0,-0.032795615354204,0,-0.0344693600805851,0.00363191005380313,0,0.0206424960085064,0.00507704640319138,0.0123925807392526,0,0.00869406406650283,0.0115367791035043,0,0,0,0,0
CVIX.Index,0,0,0.0523000236295296,0.0345967251389452,0.0133581242390085,-0.160351985718981,0.0323176309443338,0,0.0510316125900389,-0.0633817811163258,0.029255784834831,0.00472718235178918,-0.0828634676894847,0.0775942434967402,-0.00418666929235934,0,0,0,0,0
DXY.Curncy,0.00820287478563445,0.00768838382229858,0.00279816236880395,0,0.00943841180080519,0.0443385449419745,0,-0.0084560034736343,-0.0315704669204793,0.00102889524924073,0.00168611862082963,-0.00816750092350562,0,-0.02655682250847,-7.85621700610361e-05,0,0,0,0,-0.0314204572804202
SPX.Index,0,0.00855530888146045,0.00383764803346971,0,-0.000885556433306864,0.00946181798945791,0,-0.00334012082410044,0,0.000704961350830893,0,-0.00281169694297794,1.0842021724855e-19,-0.00482434553843141,-0.00251739350217189,0,0,0,0,-0.0583481791673544
VIX.Index,0,0.058196743721257,0.237058090079051,-0.154096419450355,0.365178609498362,0.276215753269816,0.501606138757312,-0.0331712299976326,-0.0195041800457622,-0.0905356573239365,0.0211093064224129,-0.175545583305989,-0.397190490174464,-0.343326962380631,-0.0382686563268375,0,0,0,0,0
