,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.134278690327017,0.0333758132961656,0,0.0466068978424042,0.0749559818245321,0.0379314052439181,0,0.183882953191123,0,0.0754591372363241,0.102206668198085,0,0,0,0,0,0.0246202730891873
ETH,0,0,0.287779236348992,0.0747664767714991,0,-0.0206331052231042,0,0,0.0912430294894179,0.28270077196446,0.0684484340758941,0.0332143780785908,0,0.128551963018079,0,0,0.0850054221181779,0,0,0.0530975399188578
XRP,-0.0743172045459862,0.382301366122403,0,0.0915837629150697,0,0,0,0,0.0961765359410441,0.0742017245679624,0,0,0,0.0363981858012025,0.0923655302094135,0,0,0,0,0
BCH,0.233868960844265,0,0,0,0,0,0.109479350223237,0.0382679713086107,0.1143389289344,0.341298700944469,0.161547448040883,0,0.000000000000000000867361737988404,0.0622323148015329,0,0,0,0,0,-0.000184919485410867
EOS,0.478394487624221,0,0,0,0,0,0.209933311611477,0,0,0.277228092709072,0,0,0,0.0341419996842553,0.447897556278138,0,0,0,0,0.0614995337262963
XLM,0,0,0,0,0.146054684462168,0,0,0.264582260464254,0,0.213881786803853,0.211593988851011,0.0976782080820442,0.133855810211852,0,0,0,0,0,0,0
LTC,0,0,0.0684987775028144,0.371910754316917,0.0207731594669688,0,0,0,0,0,0,0.0257425016209401,0,0.122439964735345,0.253544163643635,0,0,0,0,0
ADA,-0.270794582720233,0,0,0,-0.00369340194215618,0.203057827147639,0.12000068664022,0,0,0.268952939424589,0,0.160584959174257,0.0273715294021744,0.00955068254024639,0.300623669205026,0,0,0,0,-0.00000000000000000173472347597681
MIOTA,0,-0.0675555095855602,0,-0.061621207172461,0.0330850679694645,0.286918328205411,0.555087721270883,0,0,0.184537320759469,-0.132459824846658,0.671320675894481,-0.508429002114042,0.0640072582843388,0,0,0,0,0,0.113439414437282
TRX,0,0.249636452647985,0.222112866250059,0.255669522842604,0.0597342549046808,0,0,0,-0.0822348973326072,0,0.198825983954602,0,0,0,0.165772645669897,0,0,0,0,0
XMR,0,0,0,0.147896131849363,0.137496911406379,0,0.471954076066355,0.0000000000000000138777878078145,0,0,0,0.162463456923946,0,0.106401437559837,0.0791664033959332,0,0,0,0,0
NEO,0,0.0896861378413084,0,0,0.0370518435802033,-0.0813271428459159,0.142484987791629,0,0.431891195733179,0,0,0,0.0725293529909413,-0.227912347025287,0.493630677143395,0,0.0407773664583467,0,0,0.0548862514437276
DASH,0,0,-0.330405656968718,0.539172348933755,-0.109335323399231,0.153046188683484,0,0.053315490754877,0,-0.0437292178296883,0,0.388427473731315,0,0,0,0,-0.311564992087359,0,0,-0.038654190738196
ETC,0.200935161187998,0.166855936869061,0.00953425243137414,0.0000000000000000277555756156289,0.239999609725344,0.0607672402197716,0,0,0.286403390173777,0,0,0,-0.0864568271089494,0,0.0636365062184247,-0.689763376178169,0.46657755521356,0,0,-0.177278494342077
XEM,0,0,0,0,0,0.256149745992239,0,0.0165799681916787,0,0.0829872939866443,0,0.225388664197057,0.260962373515649,0.0296638921371808,0,0,0,0,0,0
BV010082.INDEX,0,0,-0.4763260379181,0,0.091129573148123,0.0787945513860428,0,-0.242853997087619,0,0.218771361670121,0.130674314679562,0,0.0880553591705683,-0.0582626692500528,0.0589737675480718,0,0,-0.137734070214478,0,-0.165092272491626
CVIX.INDEX,0,0.0154656832337406,0,0,0,0.108664463655133,0.00000000000000000346944695195361,-0.0565223925222516,-0.151325123005618,-0.107920945808089,0.2160399106299,0.21669716905173,-0.204644642722356,0.0367312306791036,-0.00000000000000000346944695195361,0,0,0,0,0.0715536641336545
DXY.INDEX,0,-0.0349948116652785,0,0,0,0.00752174625353258,0,-0.000508368709937631,-0.0318991564357299,-0.000000000000000000433680868994202,0.0340770450264514,0.0286400669270458,0,0.0297224079210586,-0.0248616102686892,0,0.146217482402698,0,0,0.00403112658908988
SPX.INDEX,0,0,0,0,0,0,0,0.0109991433759237,-0.0315722504837185,0,0.00523385069108655,0.0112729006852066,0,0,0,0,0,0,0,-0.0636849763900911
VIX.INDEX,0.291658006051248,0,0,0,-0.369631830820219,-0.1665259822717,0,0.0390235304156119,-0.241817999850974,0,0.188919067323947,-0.00000000000000000693889390390723,0,-0.193975437635287,0.545631034494115,0,0.232549187392436,0,-3.52359657665392,0
