,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.206528657487909,0,0,0,0,0.0514141364062196,0.0423287473049569,0.0827130564089748,0.14346435080583,0,0,0.0142056861150748,0.01723009021358,0.0447990119347379,0,0,0,0,0
ETH,0,0,0.335889737098697,0,0.121608003848242,0,0,0.0707836189109008,0.039523629686469,0.0339371833993129,0,0,0,0.137105497244466,0.178366111190784,0,0,0,0,0.0293812717542344
XRP,0,0.150890619906256,0,0,0,0,0.173565959939998,0.141040375113791,0.0276150141055185,0,0.128522586810361,0,0.254374046922706,0,0.0128402024225285,0,0,0,0,0
BCH,0,0.154655592621659,0.389219789279015,0,0,0,0,0.103904199389706,0.257867591589747,-0.107211163788269,0,0,0,0.0694287299232236,0,0,0,0,0,0
EOS,0,-0.782185543965258,1.12692605472978,0.692395546260628,0,0,-0.214533181215177,0.157875812296973,-0.0368501243586869,-0.408626604079613,0.629848295807854,-0.318355585741318,0.0311375179029394,-0.12311535003326,0.590414265858946,0,0,0,0,0
LTC,0,0.122270069836294,0.0906794176801624,0,-0.000000000000000000433680868994202,0,0,0.117040784010588,0,0,0.134786197372874,0.16208743843593,0.0226289783379121,0.0931090608587445,0.0550082427921853,0,0,0,0,0
XLM,0,0.187021425387164,0.124659498025518,0,0.00672122782712396,0,0,0.225330081751768,0,0.00712427609708298,0.0866587189610847,0,0.226861925382831,0,0.0663753045584113,0,0,0,0,-0.0523552884321196
ADA,0,0.0115680422636776,0.278716413526609,0.000000000000000000433680868994202,0,0,0,0,0.106254178624858,0.212431276862965,0.197581652484924,0,0.00729997054042854,0,0.109409908267515,0,0,0,0,0.13562107886984
MIOTA,0,0,0,0.019567631093344,0,0,0.584532872372138,0.271052127830922,0,0,0.038913394773236,0,0,0,0,0,0,0,0,0.136229099363227
TRX,0,0,0.219305020343806,0.159170428327623,0.205983840251641,0,0.113021337122086,0,-0.140658080512753,0,0,0.140938758541476,0.0476408540737893,0.316421644364481,0,0,0,0,0,0
NEO,0,0,0,0,0.108167089467622,0.273076438891152,0,0.0788989923284913,0.177571468782972,0.165889187091708,0,0.232294219884513,0,0,0,0,0,0,0,0
DASH,0.0910537255513349,0,0,0.105722534419564,0,0.139347022208305,0,0,0.0785927863520604,0,0.177375977274202,0,0.0822600810381014,0.0584774038236501,0.0971764156530079,0,0,0,0,-0.0251960427313638
XMR,0,0,0.304585899102183,0.145204859784448,0,-0.0315833420545343,0,0.0318036025475415,0,0.161862073481744,-0.0911254964113393,0.247508752716456,0,0.180202255274547,0.0156001249932525,0,-0.115890706296963,0,0,0.0756329224518399
XEM,0,0,0.213941403263357,0,0,0.223114365414891,0.222625085432499,0.0169892327057204,-0.0904067920033342,0.167918813731143,0.0841202414056352,0,0,0,0.197761243940104,0,0.135672575122877,0,0,-0.027727951902996
BNB,0,0.193455321412785,0,0.183602582242288,-0.119693542153184,0.272927612663818,0.104117818796937,0,0,0.135781912774253,0,0,0.16012159354003,-0.220992632974096,0,0,0,0,0,0
BV010082.INDEX,0.275477644609068,0.0485108810687309,0,0,-0.12783196232593,0,0,0.0861570524061294,0,-0.0331572486132011,0,0,0.193863643067656,-0.274085692211443,-0.05977463449363,0,0,0,0,-0.265455074396293
CVIX.INDEX,0,0,-0.00582028791331188,-0.000000000000000000867361737988404,0.059285634095885,0.120288634026661,0.0000000000000000000542101086242752,-0.129502068111633,0.13398313209015,0,0.0644936259039847,-0.32237256783362,0,0.0608719345604563,0,0.207397252274271,0,0,0,0.107239815582338
DXY.INDEX,0,0,0.0275506127366458,0.0148254925887152,0,-0.00514775957320711,-0.0172754886917098,0.00758859376091376,-0.00777487003104743,0.0113464491425969,0,-0.00890405313797993,0,0,-0.0071447441508467,-0.0660256191796378,0,0,0,0
SPX.INDEX,0,0,0.0368816944341484,0,-0.0245818177074527,-0.000623459765595894,0,0,-0.0250175136811046,0.0129071291575595,0.0344565677037008,0,0,-0.0406530179158641,0.0132274783368009,-0.00922976690616226,0,0,0,-0.0845982584952798
VIX.INDEX,0,0,0.510845220621654,0,-0.285648450628691,0,-0.153333059200623,0.133227820548018,0,-0.00561228780550749,0,0,-0.0690874628401292,0,-0.0988145816165998,-0.986166784371658,-0.0851452185409308,0,-1.3039746557992,0
