,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00102280025621199,0,0.51201293759925,-0.0276123290151642,0,0.0660990714011444,0.14053804661197,0.0454903276955168,-0.0271794009903557,0.052329270523991,0,-0.0319285303390975,0,0,0
ETH,1.10510098056206,0,0.429667451025369,-0.321195187446943,-0.328572231792174,0.540072434467853,-0.09709283219813,-1.54161885779044,0.353248653684988,0,0.491620180091013,0,0,0,2.93421440891665,-0.20863899490053
XRP,0,0.0379128469861434,0,0.127775927871698,0.00899668885795255,0.0741485808126147,0.0562556843089245,0,0,-0.0286699311502043,0.0666563154280918,-0.15902676498093,0.240204475973058,0,0,-0.123644665552378
LTC,1.39837132418775,-0.111962287622356,0,0,0,0.329651659186066,-0.140965477089271,0,0,0.109458385068378,0,-0.578326143072094,-0.103800638740714,0,0,-0.062718840104792
ETC,0,-1.55915951729584,0,0,0,1.33146856015427,-0.191427664737158,-2.07689688477897,0,0.198695038834208,0.780785223738333,0,0,0,0,-0.692034297802931
DASH,0.112739335571686,0.240693820536134,-0.197034912798787,0.139914272730081,0.0532465103431462,0,-0.00000000000000000346944695195361,0.0887717186481007,-0.238752538751981,0.248714465198293,-0.217641972760957,-0.957419178591015,0.39178504497551,0,0,-0.173302206325554
XEM,1.38335441145244,0.00889857307580703,0,-0.194281360201622,0.0652856545531367,0.515329595377483,0,-0.0000000000000000138777878078145,0,0.626355414865911,0.212843134552456,0.457923111404097,0,0,-3.31732135939477,0.0104574581713627
XMR,1.43379314107917,-0.256903468919222,0,-0.527052746249351,-0.104914138171566,0.0754565764289569,-0.082520967765721,0,0,0.0312389028234668,0.193195333479365,0.740796213204477,-0.0122178409935998,0,0,0
DOGE,0.232299051559321,0,0.36822895251935,0.392805913280544,0,0.257795412709654,0.0318395268481873,0.0956917704458506,0,0,-0.0531219572947292,0,0,0,0,0.151654596202411
XLM,0.542567147484205,-0.190571325933891,0,0,-0.0612113985055238,-0.00116329692556028,0.171354186442255,0,0,0,-0.0964041433197461,0,-0.349591608962332,-0.838972715564172,1.76723461879426,0.337568056393613
DGB,0,0.623290291350947,-0.177855492062395,0.111921199167801,0.129837491602749,-0.299304893177221,0.0482260681287972,0.152810271402098,-0.475049195444569,0.330980162624637,0,-0.924562253216175,0.501586323123445,0,-3.81901166437715,-0.583217526361322
BV010082.INDEX,0,0.0730733090387008,0,-0.101723313177625,0.0379448576832346,0.0835809041618473,0.0478463167556857,0,-0.133914262731926,0,0,0,0,0,0,-0.0954566655779071
CVIX.INDEX,0,-0.137459440799574,0.196350791855495,-0.062854445768306,0.00749357501130418,0.351253572565543,-0.0162636321290491,0.0136803743884118,-0.0387752869291815,0.0461331194974635,0.0594775106477354,0.144519887598786,0,-0.478500817102905,1.47544292333159,0.317065261681406
DXY.INDEX,0,0.00265020227527386,0.0423041821406885,-0.0307497764456628,0.00243996964748881,0.0409459877304636,0,0,-0.00897178709993114,0.0212372829170293,-0.0381921512847418,0.103642327301564,0.00545448642070313,0,0,0.026934023562428
SPX.INDEX,0,-0.0130500954417974,0,0,0,0.0519216386640617,-0.0106341043812126,0,-0.0511808912439548,0.0266383699490582,-0.00207482269502038,0.060715837702611,-0.0734966707119687,0,0,-0.0631790868576349
VIX.INDEX,0,0.076680716966089,-0.615035512369691,-0.0558351685306399,0.112584260827321,0.146696852670071,-0.103798631495117,-0.165636154402451,-0.624564914648009,0.510736479810511,-0.237262094168329,0,1.02147221231189,0,-0.482639469541646,0
