,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00831023963757813,0,0,0.330281233863588,0,-0.0477570041412487,0,0.0886269087368352,0.12147453928395,-0.360758393226951,0.144160284323848,0,0,0.214631368570392,0,0,0,0,-0.0428540061064944
ETH,0.0512439843342488,0,-0.0289305823403563,0.143131154289024,0.166707206378727,0.262764049598761,0.0279792548024485,0,0.0816985350121811,0.124893168003369,0.0291697927449124,0,0.0411948962158978,0.0310080617181205,0.0554727788674849,0,0,0,0,0
BCH,0.0954461094751485,0,0,-0.055131745260976,0,-0.315778140110589,0.142149941627837,0.0716571211881203,0.269392527102829,0.511177894702102,-0.211187543856362,-0.224129069019584,-0.0698565430578118,0.0561030402010861,0.332764248700485,0,0.415969205441945,0,0,0
XRP,0,0.579763852452611,-0.151019317568167,0,0.00172794879744854,0.0980744022887101,0.0779100627423659,-0.250084140840125,0.491629374389367,-0.0645501612071474,0.0383798074560656,0,-0.061099401073013,0.0325676123712265,0.151133250855679,0,0.134942464343393,0,0,0
LTC,0.281780680032903,0,-0.0194810055062951,0.393725037963553,0,0,-0.0337559439534822,0.222195445346496,0.123549656805309,0.200156464822907,0.136980203599079,0,-0.129045657851457,0.00974027288416206,0,0,0,0,0,0
DASH,0,0.327027308563971,0,0,0.0781803614958116,0,-0.0131575874758524,0.0756365605399811,0.324107209639425,-0.0934335393277416,0,-0.0575694467228685,0.0384339795131616,0.00971665775920307,0.147244619991114,0,0,0,0,0
NEO,0,0.146659571884757,0.0798529486778533,0.108368893625611,0.0989566052674836,0.333743244980687,0,0,0,0.0421501398935941,-0.271261745338537,0.884863162484672,0,0.177789836610848,-0.139038746387637,0,0,0,0,-0.496129810718565
XEM,0,0,0,-0.00371705094067256,0.151390476572686,0.260743751107007,0.102070547590301,0,0.275928354631917,0.106474559448895,0.113918666351846,0.077840016295947,0.0437476730134584,0,-0.0496314169078879,0,0,0,0,0
XMR,0.247242938491774,0.0616522704796514,0,0.097692615407945,0,0,0.0898780765065574,0.00000000000000000693889390390723,0,0.284974905628666,-0.0289390645126166,0.136511753238081,0.0283628515735165,0,0,0,0,0,0,0
ETC,0,0.212695814989897,0.289126202674878,0,0.565198488460032,0,0,-0.108779537127869,-0.0127079657844965,0,0.147401356532949,0.0384679503101673,0.0795317992757174,0.0763407625647033,0,0,-0.082094401092185,0,0,0
MIOTA,-0.472460541753429,0,0,0,-0.0000000000000000277555756156289,0,-0.205198685742067,0.553510428911338,0,0.0823512853681043,0,0.414954083842743,0.0733150275136926,0.065762955980375,0.391973640967648,0,0,0,0,0
ZEC,0,0,0.0947736464138378,0,0,0.21782634181481,-0.056542480493958,0.275005071569876,0,0.148137674327201,0.125480434251679,0,0.0276495701881283,0.0448732029717009,0.132506302444489,0,0,0,0,0.138325120565055
ADA,0,0,-0.126230288170206,0,0,0,0.161829268373458,0.486168525366915,-0.103642509510928,-0.201433246672397,0.320970931693837,0,0,-0.159141691142408,-0.27112699269376,0,1.48276901430651,0,0,-0.0000000000000000277555756156289
XLM,0,0,0.589633699067338,0.736278194405855,-0.400219837905488,0,0.321955800128548,-0.116444327194484,0.0949735651788038,0.0111858040352581,0.753641913002337,0,0,0,0,0,0,0,0,0
EOS,0.225480289760576,0,0.142378456601875,0,0,0,0,0,-0.537286497891388,0,0,0.947826759614254,0,0,0,0,0,0,0,0.0303045061602741
BV010082.INDEX,0,0.0365293916704354,-0.0264232547536299,0,-0.0303928209567708,-0.116503252711068,0.0315144402728489,0,-0.0120574514406257,0.0239446082459783,0.00858883580600087,0,-0.0176478072423322,0.00319469506456989,0.0549013406481738,0,0,0,0,-0.0517856403770056
CVIX.INDEX,-0.0761486973308726,0,0.0675555954597569,-0.0441927946834295,0,-0.209950818206351,-0.0185018636855207,0.0762389785980006,0.0131852338113454,0.0640734151528696,0,-0.0217697296480754,0.0655564369771396,0,0,-0.0147594049824216,0,0,0,0.08892508445181
DXY.INDEX,0,0,0.00712639587731773,-0.00172181142653055,0,-0.0282053757670864,0.00692541265644432,-0.00456739923810613,0,0.00357119599264843,0,0.0151702440912524,-0.00697107857548647,0,-0.00615371296578791,0.0714839444175905,0,0,0,0
SPX.INDEX,-0.0013761400722556,0,0.00245056471545625,-0.000981615892652602,0,0.00695132086744093,0.00282574911155807,0.00358555708550592,0,0,0.00698027920417351,-0.0302197618399589,0.00104315266689468,0.00144538089117582,-0.0000000000000000000033881317890172,0.0200729338865667,-0.021714668973261,0,0,-0.0330091188316327
VIX.INDEX,0,0,-0.378397404080745,0.142251845184335,0.254794897142546,-0.247548759619868,0.059606703501544,0,-0.189067446541461,0.0982664713338064,0.0730334104307795,0.300957644928096,0,0.0615440173338004,-0.22293902003533,0,1.28311299546137,0,0,0
