,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,DOGE,NEO,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186291931111524,0,0,0.096421336568782,0,0.10014706164365,0,0,0,0,0.0580545520796586,0,0,0,0,0,0
ETH,0,0,-0.0586512583417072,0.0577800764176106,0,-0.0592338320815987,0,0,0.188390750337254,-0.0875763031005681,-0.0266895637307162,0.131415038569567,0.0457007915337745,-0.00309499462989657,0.142920974775247,0,0,0,0,0.127624559005007
XRP,0,-0.24344965985208,0,-0.0797903762839434,-0.427414881297736,-0.0111614575199662,0.507731984236203,0.129299160267009,0.202626492126569,0,0.282722833512913,-0.123752613779003,0.102703664900648,-0.0386065785481434,0.158956170569289,0,0.381709558366184,0,0,0
LTC,0.528996529641,-0.0229604665353533,-0.0039984250976267,0,0,0.17661133720785,0.170163388299074,0,0.230033352018299,-0.107444414123114,0.00203118777376464,0.123412322592084,0.220529417951808,0,0,0,0,0,0,0.0735345685969199
ETC,0,0.256878621314711,-0.128932922296219,0.151568061605578,0,0,0.130617810457469,0,0.133031358868937,0.0829258281508371,0.0239142851594926,0,0.032505725123079,-0.0428983987872376,0,0,0,0,0,0
XEM,0,-0.0219633487840371,0.15815138049717,0.0629549417926538,-0.0715359881306473,0,-0.00000000000000000173472347597681,0,0.0072689842158115,0.226189563068797,0.118544044135743,0.0159826583114042,0.183830526335255,-0.0309104162079562,0,0,0,0,0,-0.339683335448838
DASH,0.161968761397463,0.0234314227033934,0.0160014917943371,0,0.0810100984078366,0.0804183718751844,0,0,0.282250858604266,0.300576702621004,0.0627475080272648,0.0247336408891183,0.00247135009743545,0,0,0,0,0,0,0.0835032104659394
MIOTA,0.350920968731577,0.214405565797396,0.134370870266463,0,0.132177926185289,0.262936979272142,0.128587370584384,0,0.000000000000000000216840434497101,0,0.0175231843428516,0,-0.0863434496911412,0.119253815959755,-0.877924163548935,0,0,0,0,-0.102908501957441
XMR,0,0,-0.138174566449028,0.335688482049329,-0.286198087820233,0.250768258525268,0.618446547297122,0,0,0.0774968928834089,0.0585659456784025,-0.0654191546445799,-0.0833853930932774,0.0855179539290277,0,0,0,0,0,0
ZEC,0,0.0644205740109197,0.0422755181469507,0.00817786444137117,0,0,0.178521036532055,0,0.029581887279934,0,-0.0508935726840891,0.216407613445864,0.0504913023422119,-0.0156037529355734,0,0,0,0,0,0
XLM,-0.498320645101439,0,0.230372684531787,0,0.0756853054059242,-0.0834170294295477,0.527125288850295,0,0.372086612159081,-0.30900981471805,0,0.552507906166393,0.159465688865399,0.0387618884749822,0,0,0,0,0,0.0325196914793411
DOGE,0,0,0,0.101210928329252,0.143833048658415,0.286525642566501,0,0,0,0.269060368532027,0.156394775876866,0,0.0943211396596044,0.0461174571675995,0,0,0,0,0,0.0614804697520585
NEO,0,0.566833986663384,0.48600883461938,0.658759355907729,0.527486999390851,0.0328352977885854,0.163568940064681,0,0,0.315004980122155,-0.142039961092987,-0.132773174764783,0,0,0,0,0,0,0,0
DGB,0.259230457755455,-0.419597280571828,0.575482691948729,0,0,-0.104714408597742,0,0,0.627056359558402,-0.280383147152697,-0.403359558738833,0.553655020682414,0.148520206566883,0,0.392094779776619,0,0,0,0,-0.179155956930201
BAT,-0.423732900232875,0.125004757559702,0.144394433566526,-0.0497026110633607,-0.0978858421714698,0.169882018993748,0,0.681431616080896,-0.047037400470719,0,-0.00537602491149488,0.0855665399441191,0,0.0520672846229684,0,0,0,0,0,0
BV010082.INDEX,-0.11000162663944,0,0,0.0154676108798663,0.00135617018296713,-0.0359135655155632,0,0,0.0123429641344907,0.0496267523782544,0.0277733223117321,0,0,0,0.0083761880258823,0,0,0,0,0.00216357544348995
CVIX.INDEX,0,0,0.0896961665702502,0.0807954775865011,-0.271817432108743,-0.461545818932355,0.091207951855148,0,0.086506633587578,0.0837140498345787,0,0.0440863338774952,0.0776975938150414,0.0254117498486884,0,0,0,0,0,-0.0650484081040001
DXY.INDEX,0,0.0232180692028679,0.0108480049119725,0.00264622451715419,0.0161837980304318,-0.0129818876751745,0.00611824751139758,0,0,0,0.00630886209347328,-0.00685382418761623,-0.0104037334232502,-0.00255368090152663,0.000865633906528081,0.00753524625942599,-0.004509076487597,0,0,0.00954847227802109
SPX.INDEX,0,0.00406036736802138,0.00218601551062115,-0.000649721126686761,0,-0.00680323463902379,0,0,0.00158783175619245,0,0,0,-0.000833530903441239,0.0040783087321971,0,0.0325077773970649,0,0,0,-0.0294849468333844
VIX.INDEX,0,-0.00000000000000000346944695195361,-0.0231755753653259,-0.141661840298047,0.195290825402049,-0.324219525983309,0.0527865121271687,-0.162850369536895,0.00000000000000000346944695195361,0.00111156399712942,0.262110642384125,0,0,-0.1280405959896,0.13733732797576,-2.90862455388093,-0.85268487374921,0,0,0
