,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00245430250255993,0,0,0.532178616491228,-3.46944695195361e-18,0,0.0826322456052193,0,0.167679089582218,0,6.93889390390723e-18,0,0,0,0,0,0,0,0
INNBCL,0,0,16.3016953657645,0,0,0,4.42221021216479,-32.5121497962989,-5.4675050534726,2.62253742886913,4.24237590365617,0,0.205358019233927,18.1215385232686,-8.94079066808079,-7.73262930402197,0.3438501540928,0,16.2777902680074,0.839461421169506
ETH,0,0.000248520771267239,0,0,0.181021427602638,0.0489907637663686,0.103776455569435,0.0389542851516279,0.0580421450209619,0.20582440506702,0.0480159934822911,0.068175472506857,0,0.0255830619005807,0.236334421174877,0,0,0,0,0.00651400654032255
XRP,0,-0.00137069547339653,0.154852462926389,0,0,0,0,0.278561479871307,0,0,0,0.00831239021821643,0,0.320792201884019,0,0,-0.015063310900778,0,0,0.0114241795622688
BCH,0.12740581112433,-0.000633717679954155,0.360500177633703,0.124662906955959,0,0.27310871053296,0,0.0649714605282811,0,0.0680233550240106,0.0162112694092788,0,0,0,0,0,0,0,0,0
BSV,0.129618479130461,-0.0107686663795345,0.00402761774032789,0,0.378142570539716,0,0,0,0.171485341792225,0,0,0,0.0121446963046686,0,0.400035758256627,0.0378035134457965,0.107697792698585,0,0.0452565858042971,-0.053100021623962
LTC,0,0.00110042574427081,0,0.0388680199791083,0,0.213118602030116,0,0,0.473312817748455,0,0,-0.0296115950188557,0,0.19584195207528,0,0,0.0673910749938428,0,0,-0.0378129228560186
BNB,0.041998112709671,-0.00499328175863734,0.318881037730305,0,0.430691146144142,0,0,0,0,0.0639374995078,0,0.0760007899597651,0,0,0,0,0,0,0,0
EOS,0,-0.00206705616437378,0.303952416034386,0,0,0.1955783759364,0.254549094751589,0,0,0,0,-0.0278608274555034,0.0509876530222712,0.147401493554265,0.0297305922081296,0,-0.0129900251261663,0,0,0
XTZ,0,-0.00044115618727275,0.161537141888189,0,-3.46944695195361e-18,0.236311663635532,0,0.0898150890168326,0,0,0,0.482892066469251,0,0,0,0,0,0,0,0
TAGZ5,0,-0.013327441665678,0.661781337743211,0,0.614649214621708,0,0,-1.11019593910202,0,0.36909017658243,0,0.467587839133603,0,0,0,-0.470987871178891,0.0962172638413958,0,0,0.00587384251313291
LINK,0,-0.00667586629039247,0.196220741283298,0,0.0812416891478655,-1.73472347597681e-18,0,0.182438724232339,0,0.454254790655948,-0.0130477559343188,0,0,0.128814638511299,0,0,0,0,0,0.0295511623270976
XLM,0,-0.000288696565072328,0,0.235134519226294,0.234300899117501,0.046040240708636,0.0892256259931592,0.122369955765458,0,0.0587492483917822,0,0,0,0,0,0,0.00809005417190019,0,0,0
ADA,0,-0.00277313403608057,0.159064360975526,0,0,0,0.578918286482782,0.166436869613634,0,0.0803089364030078,0,0.00815585585606645,0,0,0,0,-0.00417729190039493,0,0,0
XMR,0.0563873174306943,0.000384522310119959,0.163165183615638,0,6.93889390390723e-18,0.0796433968856854,0,0.133290049611215,0.29494241399443,0.124212545681316,0,-4.33680868994202e-19,0.0308841459547759,0,0,0,0,0,0,0
BV010082.Index,0,0,0.134540147884755,0,0,0.296972524339179,0,-1.01050342767802,-0.195655165560591,-0.812186154998325,0.0862158635730454,0.591118476515944,1.03161840820994,0,0,0,0.109184780056406,0,0.0648092572358687,0.000817218494613683
CVIX.Index,0,-0.00516604353643996,0,-0.442782467052725,0,0,0.232413198379081,-0.185216865693471,0,0.457188781970154,-0.185255806868182,0,0,0,0,0.362129536631653,0,0,-0.652616380434435,0.357546534470699
DXY.Curncy,0.0510016134556013,-0.000286392938671533,0,-0.18084541319651,0.0404514231943029,0,0,0.0249590420160464,0,0.0464296609478039,0,-0.0276926894002476,0.030842702727812,0.00471344895928135,0,0.0101420739594045,-0.0129511461792467,0,-0.0142560842081644,-0.00950512312161476
SPX.Index,0,0.00147196381951638,0,0,0,-0.139536500785106,0,0,0,0,0,0.16269798104707,0,0,-0.0571024381177693,0.241865908388195,0,0,0,-0.206003080979566
VIX.Index,0.0272176056405794,0.0405213815190561,0,0,0,0,0,-0.769879509258311,0,0,0.125691677638684,0,0.587939614918827,0,0,0.264256340291749,0.190466332518075,0,-1.67483581677356,0
