,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0809026811440558,0,0.175768429500664,0.00880582133598519,0,0,0,0.185783605195051,0.0637720614945396,-1.73472347597681e-18,0,0.0556593622043633,0.0334419667186177,0,0,0,0,0,0.0694871102715814
ETH,0.034103423102328,0,0.212065142530525,0.193458399326721,0,0.308974436612651,0.0626243736135245,-0.0385145560007349,0,0,0,0,0.0897711082938114,0.105410698620505,-0.127936020757864,0,0,0,0,0
XRP,0,0.136875987063651,0,0,0.165764171679807,0,0,0.186073983406825,0,0.0810029690446428,0.11317155095666,0,0,0.103673455352896,0.0371644410838855,0,0,0,0,-0.157178503593688
BCH,0,0.324572759835837,0.099485935780489,0,0,0.294631287054784,-0.0361644023470079,0.191092229754971,0,0,0.126488431043902,0,0.0930341652662581,0.0286711321588453,0,0,0,0,0,0
EOS,0.283137524105936,0,0,0.158827570968156,0,0,-0.139906468821777,-0.0562997726485108,0,0,0.27298384364109,0,0,0.0149796082998536,0.281058236200509,0,0,0,0,-0.174405090877293
LTC,0,0.174073931152985,0,0.218125437794198,0,0,0,-3.46944695195361e-18,0.210066804983585,0.0637461054682263,0,0.0959856061314332,0,0.0737166766442812,0,0,0,0,0,0.0195119373971505
ADA,0,0.533311352334848,0,-0.237020787358981,0.140368206336618,0,0,1.38777878078145e-17,0.288778257507379,0.105710039381404,0.134298640961906,0,-0.053234610846481,0.190587568639538,0.0357332379994181,0,-0.0274420283567276,0,0,-0.0208692656234868
XLM,0,0,0,0.230183190503022,0,0,0.20707120243752,0,0.253104562341172,0.0469689881446554,0,0,0.05572021661405,0.213922310138839,0,0,0,0,0,-0.0452964271069255
MIOTA,0.0256546794477969,0,0,0.207566909523176,0.0153158841559729,0,0.142392086325236,0,0,0.303467501780438,0.0497974573485779,0,0.114558005075172,0.108337308131262,0,0,0,0,0,0
NEO,0,0,0,0,0.0178744831739565,0,0.0915583437145501,0,0.112238536664895,0,0.189709744206745,0,0,-0.014639600729115,0.382039008978441,0,-0.330791232546417,0,0,0
XMR,0.809869415750125,0.0192598663881696,0,0,0,0.369186608187706,0,0.284023435295377,0.0934816111867057,0.110856909891339,0,0.033369518108824,0.0634737338345834,-0.322960765395438,-0.157360279572487,0,0,0,0,0
DASH,0.380392066676567,0.154331749257909,0,0.045248075803463,0,0,0.0857418192825766,0,0.0967804404387489,0,0.0361566405416573,0,0.0643249622477275,0.0392193844755512,0,0,0,0,0,0.0690744328130219
TRX,0.06922218675123,0,-0.675448935534654,0.268043214872325,0.217206785480665,0,-0.744385554923275,-0.652667060739956,0.500258560591182,0,0.441509836822925,1.11775383210704,0,0.374303984467707,0,0,-0.660654123229031,0,0,-0.181044584621149
XEM,-0.256464128599183,0.639621178203869,-0.197875274061086,-0.241038675269392,-0.0511897433380015,0,0.284006087446411,0.417265925819473,0,0.113555269186237,0,0,0.207534568370298,0,0.0469723092809709,-0.410180479123574,0,0,0,0
ETC,0,0,0.515359474359474,0,0.109741375210538,0,0,0.108889991807552,-4.33680868994202e-19,0.137934216036653,-0.16471771734217,1.38777878078145e-17,0.131329164234031,0.138765641851803,0,0,0,0,0,-0.0564233897496014
BV010082.Index,0,0,0,0,0.0118340063331246,0,0,0.0642532992549543,0,0,-0.0107504656344828,0.10157919602315,-0.0221896977699801,-0.0637047444845175,-0.00290317119374671,0,0.113769888356616,0,0,-0.0597270191678571
CVIX.Index,0,-0.108218912987808,0.0293755028426899,-0.108276390982148,-0.0840555145805271,0.00713364769045557,0.105029487422431,0.14102984842527,0,-0.0465162155148675,-0.0998353968810217,0.296491152451551,0.0534263757682666,-0.249982998577891,-2.16840434497101e-19,0,0,0,0,-0.00958453959776863
DXY.Curncy,0,0,0.0256895558773559,-0.0102580956391591,-0.00505148979577921,0.0156661607462859,0.000420810671995469,-0.0308737446410594,0,0,0,0.0270795310264193,-0.00232638877896392,-0.00707391808209884,0,0.0585460328180983,0,0,0,0
SPX.Index,0,-0.0618043448947525,0.00159451316186767,0.023479363490774,0.0217358585241403,0.0391371955160738,0,-0.0291477129639162,0,0,0,0,-0.0220821925086882,0,0.0116585094247888,0,0,0,0,-0.107013063489757
VIX.Index,0,-0.354990119228018,0.0536358984952146,0.243555487398922,0,0,0.262837811213357,-0.463993688902056,-0.0646757077434623,1.38777878078145e-17,0,0.167821126231924,0.172529543232716,0.0277079064836035,0.0514258836255086,-0.441159707478886,0,0,-3.92270954765162,0
