,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.212647775151263,0,0.326301647334746,0.232069170471028,0,0.121026716839382,-0.0748875392280479,0.26471364716493,-0.0209790030536989,-0.024479760263776,0.159919117822152,0,0.140641585890091,0,0,0
ETH,0.155232826518559,0,0.0413749924086028,0,0,0.197802153974372,0.113513599398816,0,0.0577271809908518,0,0,0,0.193835477972683,0,0.00452222312202758,0,0,0
DASH,0.52977935954812,0.296206969095369,0,-0.207406573382961,0,0.396799439143923,0.0885448691596837,0.135046542490472,0.0887633951592679,-0.0217222646599356,0.150085133797731,0.184182836171177,0,0,0,0,0,0.0979535362729837
XRP,0.158217829678488,0.025080512030786,-0.00747742495285024,0,-0.0369511827608356,0,-0.107826027338159,0.0604274802204311,0,0.516665869642281,0.0185567393291015,0,0.0197768527672764,0.238165309195513,-0.0493144724330425,0,0,0.0580496017307608
LTC,0.627682981828081,0.107024265367249,-0.140182485082904,0,0,-0.0898920021500284,0.119422841253619,0.13351757807017,0.106580654435545,0,0.130546563590732,0.0506004399670305,-0.0498771697717139,0,-0.258631201905277,0,0,0.0198069928760337
XMR,0.184043960047239,0.121432382476952,0.284316693562131,0,0.0156719278930705,0,0.0693693316971619,0.101054579461432,-0.298418600172787,0,0.255092875248608,0,0,0.295534184310142,0.69009750791332,0,0,0
ETC,0,0.462082485175108,0.216662132943052,-0.102293958624913,0.732084238900302,-0.0742902594915543,0,0,0.0815859821336535,0,0.0985091164301433,0.234738392500566,0.0814398624304678,0,0,0,0,-0.124844679078447
XEM,0,0.14858562215416,0,0.0369712390143768,-0.0663773078452719,0.000000000000000000867361737988404,0,0,0.237879891962803,-0.21931835937086,0.106016989955195,0.401836121466224,-0.29665858516547,0.915780680203374,0,0,0,0
ZEC,0.21558110623233,0.207804950634693,0.24097425246777,-0.580797507583613,0.0451468844486943,-0.119542698303213,0,0.021191919384563,0,1.07442027352116,-0.031216888634874,0,0,0,0,0,-1.40036292274774,0.139919837529274
DOGE,0.275005372005569,0,-0.0402781083778395,0.28693483352398,0,0,0,0.01326261146278,0.242593503202587,0,0,-0.0660464714235287,0,0,-0.217415695047421,0,0,0
XLM,0,0,-0.120298773397198,0,0.380347990435779,0.18908685537254,0,0,-0.0893971192234332,0,0,0.0975733589729666,0.000000000000000000216840434497101,-0.0828823571515823,0,0,0,-0.0661751239347209
NEO,0,-0.316342211341314,0,-0.210223168313047,0.28802259267159,0,0.146969268234321,-0.10921509436139,0.310265759325201,0,0,0,0.194686578702078,0,0,0,0,0
DGB,0.728092882350945,0,-0.064856407881901,0.387543598863517,-1.34611671978094,0,-0.0436048374107319,0.181240983731761,0.222740239355165,0.801371183827041,0.00000000000000000693889390390723,0.469250760267836,0,-1.08940217183199,-0.590345491484569,0,0,-0.164014752096632
BV010082.INDEX,0,0.134438225571254,0.0497802401995401,0,-0.0251999800628244,0,0,-0.0701210865854429,0.0612391344595256,0,0,-0.00773101607456494,0,0,0,0,0,0
CVIX.INDEX,0.097569845858826,0.173117444024296,-0.0218400514851839,0.140577574880631,0,0.00666574290834378,0,-0.159289318090896,-0.0250698840489289,0.0277184225932097,-0.0609716417954537,-0.0910930715448073,0,0,0,0,0,0.0181887011081327
DXY.INDEX,0,0.0233898415050946,0.00126954276283311,-0.0531218111221232,0.0275327735897436,0,0,-0.0212729257703929,0,0,0.00607437507933643,-0.00378442635548868,-0.0106284410907304,0.17313968967645,0.0548792530421304,0,0,-0.0215012676158327
SPX.INDEX,-0.00931308218353264,0,0.00831178850752344,-0.00113963307059598,0,-0.00464545230605122,-0.00238722643568994,0.00264568776761273,0.00567739685314103,0,0.0100761991310834,-0.00662976803507701,0,0.0486194039048553,0,0,0,-0.0581568356749006
VIX.INDEX,-0.0378148945773844,-0.0696547957366887,0.233964572098269,0,0.224924623734272,0.0531454481737428,-0.491970246555715,-0.241441637153584,0,0.279923327562215,0.0566603976174523,0.199183943553954,-0.161469723485681,0.160954063962582,0.104893101129447,0,-4.10829567221428,0
