,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00245430250255994,0,0,0.532178616491229,-3.46944695195361e-18,0,0,0.0826322456052191,0.167679089582218,0,0,0,0,0,0,0,0,0,0
INNBCL,0,0,9.80877295354242,9.91574083782638,1.59140448287558,-7.02923913219132,6.06066467892057,-8.86251890706471,-25.0911489127328,0,3.99982270814083,14.2447109922974,4.48332754912352,0,-4.95191199419518,-4.17324779718073,0,0,11.9274752463881,0
ETH,0,0.00025227520127351,0,0.067526864662539,0.151047766658693,0.0266355267169256,0.0714746482637533,0.147893662605862,0,0.202845663220231,0.0515028047709276,0,0.0813791571708491,0.0160270617503931,0.216117042636797,0,0,0,0,0
XRP,0,-0.00508770475810245,0.191819222256406,0,0,0,0,0,0.221724202369324,0,0,0.0113288803310343,0,0.31494183967731,0.0222871604377472,0,-0.01509788843625,0,0,0.0455542504027896
BCH,0.154037801787148,-0.00241522033308003,0.30427133542983,0.198210041816206,0,0.278448834503878,0,0,0.0522799538626392,0.0592069753021598,0.0189644117740037,0,0,0,0,0,0,0,0,0
BSV,0.123903853691777,-0.0101585881933351,0.0568784960252251,0,0.437100157859351,0,0,0.091852719310141,0,0,0,0.0198422863853146,0,0,0.372840743256002,0.0273776983675715,0.100907072335963,0,0,-0.0778631799177379
LTC,0,0.00221952667382736,0,0.101967978736513,0,0.172001706178802,0,0.437873494975327,0.117344514058463,0,-0.00985030825389228,0,-0.0684318975304355,0.158241490750349,0,0,0.0791551915939749,0,0,-0.0495376315449953
EOS,0,-0.00114470900897854,0.29455203934399,0,0.0543336920844915,0.179032891058258,0.221348014093045,0,0,0,0,0.0769563054076082,-0.0354813999455118,0.152492081748538,0.00863418909464095,0,-0.00996721301740834,0,0,-0.00916176893127016
BNB,0.0419981127096711,-0.00499328175863733,0.318881037730305,0,0.430691146144142,0,0,0,0,0.0639374995077999,0,0,0.0760007899597652,0,0,0,0,0,0,0
XTZ,0,0,0.102261841058852,0,0,0.10863144587978,0,0,0.433259013862562,0,0.01360538049276,0,0.354026410878108,0,0,0,0,0,0,0
TAGZ5,0,-0.00735370688249592,0,0,1.49313022378949,-0.0572760769506343,0,0,-1.68467413857347,1.04402050785148,0,0.185130972228887,0,0,0.00251384680397447,-0.361697562438077,0.0951360833502163,0,0,0
XLM,0,0.00118995500587539,0.0029255864031017,0.137262190528639,0.197805492092901,0.0510157252929409,0.0347852576540463,0,0.255267961774719,2.16840434497101e-19,0,0,0,0.0860448459554076,0,0,0.0134785648595159,0,0,0.00280851423925966
LINK,0,-0.00667663860651267,0.196233705032774,0,0.0812367970381737,0,0,0,0.182427790209286,0.454271596294014,-0.0130449524825146,0,0,0.128793761842036,0,0,0,0,0,0.0295431840644469
ADA,0,-0.00161655677147561,0,0,0.107255806506143,0,0.555656812582326,0,0.167758789121029,0.115692384187953,0,0,0,0,0.0369452124692412,0,0,0,0,0
XMR,0.148353683560657,0,0.237334427025288,0,0,0,0,0.100897710897601,0.23851463961116,0.0389452187816503,0,0.150560603313267,0.00808364754393209,0,0,0,-0.00444359036781703,0,0,0
BV010082.Index,0,-0.00990722123026771,0.376559976284165,0,0,0.438348771690528,0.0776286617535148,-0.986082607914456,-0.722496289323414,-0.906065999353755,0.0419787407737574,1.31362682424566,0.507459235098525,0,0,0,0.056106615278226,0,0,-0.0407406781649081
CVIX.Index,0,-0.00615481908329481,0,0,0,0.000512048345126789,0.101128453396875,0,-0.61504473156981,0.495543584117079,-0.22552632100732,0,0,0,0,0.336710818350479,0,0,-0.57446811255666,0.265648968356033
DXY.Curncy,0.058256402623237,-0.000431417562413835,0,-0.114436206040957,0,0,0,0,0.038518581908414,0.0460700417937125,0.00147327106489578,0,-0.0206623234720765,0,0,0.00766421282207382,-0.0171893561611305,0,-0.00816107432595885,-0.0102009891505704
SPX.Index,0,0.00167608491867866,0,0.153436163928485,-0.403011320611184,-0.0717321595640021,0.047176292013781,0,0,0,-0.0200025629065742,0.247073070666154,0.197886429526382,0,-0.077159510631097,0.273767784239562,-0.0658861805996805,0,0,-0.177925821579223
VIX.Index,0,0.0380010183889677,0,0,0.075620345504215,0,0,0,-1.04315128541346,0,0.138496258194122,0.542551515244048,0,0,0.278955847104715,0.272536357646815,0.226339139259877,0,-1.65189230740188,0
