,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0275495600808807,0.145401592352585,0.121304859196429,0,0,0,0.0824918968465642,0.116587352033467,0,0.155408757177287,0.0627535933734874,0,0,0,0,0,0,0.0353784541127187
ETH,0,0,0.15359805547419,0.198562357772514,0.216975973180716,0,0.051553087609129,0,0,-0.100837680613539,0.114849791549334,0,0.0455230127055402,0.11225207474915,0,0,0,0,0,0.0426078742577652
XRP,0,0.24244324945758,0,0,0,0.174843380792904,0,0,0.116925651756451,0,0.0396470610040534,0,0,0.178374718097836,0,0,0,0,0,-0.0669915539100495
BCH,0,0.535014022481841,0,0,0.208682828944,0.0145047480750774,0,0.0289685886603143,0.462817167508323,-0.240579424050732,0,0,0.0418237787037831,0.0467667992557352,0,0,0,0,0,-0.105237987154883
LTC,0,0.166481590593157,0,0.20016608815478,0,0,0,0,0.0802621228830845,0.218317085245273,0,0.0833630090278926,0,0.0757812941160606,0,0,0,0,0,0.0225365269798607
EOS,0.0554209536418638,0.0336452510828152,0.220502904435249,0,0,0,0,-0.0987936121574749,0.214658195403077,0,0.24400320261249,0,-0.0503070790946296,0.0215067075383988,0.329951453016407,0,-0.274938166432236,0,0,-0.0348711988814222
ADA,0,0.660281822612412,0.0172218394292921,0,0,0.153419073893847,0,0.169413524314504,0.021633980324596,0.12519437017777,0,0,-0.0381841595624017,0.0757414420966992,0,0,0,0,0,-0.0381767036632105
XLM,0,0,0,0.0887794955716965,-0.0975235293105157,0,0.28486729287736,0,0.0866798700495657,0.360658515023011,0,0.0340679565279098,0.0753781305357363,0.18096124649853,0,0,0,0,0,-0.0152792611699852
NEO,0.293793194472183,0.54269937603283,0,0.035937203981019,0,-0.0679004438831236,0.1625747823022,0,0,0.0344197274909328,0,0,-0.102714659258045,0.0199526840594425,0.300236007658587,0,-0.0830939429064742,0,0,-0.0607066740207039
MIOTA,0.106674690862612,0,0.0979989235939176,0.0121524372043377,0,0.0845536052953777,0,0.0542668838321305,0.306176482781062,0,0.103323737479837,0,0.0799462783819655,0.0548991703446469,0.0736272622078363,0,0,0,0,-0.0413850752555184
XMR,0.968743081530942,0,0,0,0.113474696728577,0,0,0.0726765899682166,0.0793768884327964,0.0975818777975745,0,0,0.102726468892468,-0.192853302166495,0,0,0,0,0,0
DASH,0.322802081128014,0.121475971568799,0,0.08019518114664,0.027523457305731,0,0.110631958299735,0,0.0203899148838119,0.0777416698149184,0,0,0.0727180548231835,0.0289740349990305,0.00367730678885198,0,0,0,0,0.0731477219349043
TRX,0,0,0,0.161228495082389,0,0.658868856091048,-0.832639461742887,-0.0594789904207787,0,0.379104477542537,0,0.572934460875698,0,0,-1.73472347597681e-18,0,0,0,0,0.123926825715297
XEM,0,0.543854006682302,-0.0884144568567031,-0.348054531575532,0,-0.148931245060941,0.331263248065354,0.174505319175923,0.352700523451417,-0.0311703025380978,0,0,0.197886373700983,0,0.0727780481540765,0,0,0,0,0
ETC,-0.146650481553877,0,0.184685068100929,0.184772144284964,0,0.362160281472226,-0.00310716830886922,0.290934592929876,0.136640053808098,0,-0.131916230379118,0,0.101061446041138,0,0,0,0,0,0,0.0745389528092258
BV010082.Index,0,0,-0.0237321905846941,-0.0248651577565644,0.0409004006871349,0,0,0.110690783308606,0.0106138201708793,0,-0.0320382283035082,0.116085724352745,-0.00774338556058707,-0.103255336036612,0,0,0.213784056643621,0,0,-0.050378837819546
CVIX.Index,0,0,0,-0.154298664536165,0.0924001488386276,-0.0745001124250806,0.103447900927899,0.0348450261789811,0,-0.0476411227016346,0,0.213766284734854,0.0404649763706899,-0.216489213678134,0,0,0,0,0,0.0180454668568004
DXY.Curncy,0,0,0.033637078051919,-0.0122468816473654,-0.00562089281724582,0,0,-0.00552119507805737,0,0,-0.0275156367813134,0.0220900204796065,-0.00994375855276538,-0.00396731328106569,0.00707249807550048,0.040038447547093,0,0,0,0.00734235621957765
SPX.Index,0,-0.0590347542393518,0,0,0,0,-0.0344293846139866,0,0.00547644903363114,-0.00674025128526684,0.0338795473049705,0,-0.0339852970134391,0.0206749947959052,0.00967022114804801,0,0,0,0,-0.0881570298763955
VIX.Index,-0.379954636722692,0,-0.0254713611391292,0,0,0.220806441318077,0,0,0,-0.352549717329964,0,0,0.149778958814529,0.000539900981293108,0.158673490405993,-0.917216357906158,0,0,-4.91271999693135,0
