,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0131350347753911,0.0516971009276725,0.913362493786585,-0.0977057618836106,0.0625391555231448,0,0.214429439521312,-0.0127488558238712,0.0387468840253303,0.080039100829558,-0.133081403538173,0,0,0.0723425186976338
XRP,0.347741390104115,0,0.105227012931806,0,-0.0610782604218363,-0.0425838874679537,0.691126561566468,-0.637511983864016,-0.000000000000000000867361737988404,0.146920021935649,-0.943685585024233,-0.149380027901198,0,1.4752314602425,-0.0418553308343914
ETH,0,-0.0559352112252872,0,0.197009938127417,-0.147124322806977,0.0361683733681053,-0.0694564230149287,0,0,0.0774749828464286,0,0,0,0,0.166720834372006
LTC,0.801880224486208,-0.0106708909440925,0.0262885252538826,0,0.0865726192336497,-0.0598588923400479,0,-0.0420597461680283,-0.002225978898644,-0.0307092991472075,0,0,0,0,-0.0319114343333818
DOGE,-1.12616422398131,-0.00000000000000000173472347597681,0.0666551244407438,1.95462408542821,0,0.176665492203246,0.702144770971093,0.506486496060836,-0.10761316494267,-0.319263727773718,0.788481333069435,1.11982354684794,0,0,-0.024232314128066
DASH,0.393944249739976,0.299348078697469,-0.395926585254917,0,0,0,-0.333708913695508,-0.38541761217194,-0.094975193198786,0.0554409518351906,0.100440753054424,0,0,0,-0.0243500439751336
XLM,0,0,0.127395261532637,-0.214595946775034,0.366582138151069,-0.0139384256218692,0,-0.020919534697623,0.148361500910111,0.121481124296969,-0.721313224893504,1.1740688705054,0,0,-0.274107395649021
XMR,0.726992121287715,-0.094268008811922,-0.109797881279778,0,0.0245275285194054,-0.0858232288140796,0,0,-0.0846855701091615,0,0.972484784926061,0,0,0,0
XEM,0,0,0.209301556528924,0,0.0802272582428742,0,0.315916310571899,-0.0184235721312968,0,0.00000000000000000346944695195361,0,-3.39965826585826,0,0,0
DGB,1.04983527945236,-0.0266950071522784,-0.215669961673475,0,-0.636489402130469,0.136827680433712,0.28640714748041,0,0.173463444875868,0,0,0,0,0,0.154719341751575
BV010082.INDEX,0.00163514043612674,0,0.000000000000000000867361737988404,0.0731721132402165,0.029088793968617,0.00898532874834499,0.0297126182321618,-0.0023853344733085,0.021308603204286,-0.0639471661078546,0,-0.371660759222337,0,0.209788450764769,0.0168268395014835
CVIX.INDEX,0,-0.129992510239741,-0.0744520620484544,0.126928766589394,0.0204368607475953,-0.0630206457663774,-0.0604014498833893,-0.0310739380671882,-0.0347817510417021,-0.0234947263734372,-0.0216773015939068,0,0.563401296084119,0,0.121612913445564
DXY.INDEX,0,0.00283076032724541,0,-0.0265970623004069,0.0153820695340743,0,-0.0539863213096701,0.0348288327058631,0.00504306514888146,0,0,0.111485818204204,0,0,-0.0417243644648563
SPX.INDEX,0,0.040844806068204,-0.0472876619433082,0,-0.0128071549731285,0,0,0,0,0.00364529932809123,0.0281003996679977,0,0,0,-0.11984941022467
VIX.INDEX,0,0.115615247489028,0.00464477633961436,-0.159936798447872,-0.254169186917248,0.0220974764702521,0.410746845922881,0,-0.129390295794292,0.244077328570787,0,0.0885893485137256,0,-4.98543238259635,0
