,BTC,ETH,XRP,BCH,EOS,LTC,BNB,BSV,XLM,TRX,ADA,XMR,DASH,MIOTA,ATOM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,-0.0682494173742142,0.164864955389505,0.0091268206317535,0.072729624604562,0,0,0,0,-0.0137925370186823,0.439777369449432,0.0647696115964208,0,-0.0687682853074374,0,0,0,0,0.106652207208805
ETH,0.339937733266263,0,0.258677012568311,0.009212031328784,0,0,0.00828528417981686,0.0380212153951487,0,0,0.112853664683241,0.113616816726588,0,0,0.0380812748086692,0,-0.0303985652462286,0,0,0
XRP,0.145320459034301,0,0,0,0.0758275750470377,0.117322397785417,0,0.0201359761839058,0,0.196299981339503,0,0.18035843466353,0.0177687269570863,0.21148259816919,0.0306410098198341,0,0,0,0,0.0161682197795833
BCH,0.681184423448651,0,0,0,0.120559421389581,0.22237193149214,0,0.0897601348651286,0,0,0.166621007606478,0,0,-0.132081482623434,0.0118521763105539,0,-0.0651431993425832,0,0,0.00000000000000000173472347597681
EOS,0.145078767634539,0.199354323997542,0.254247760567413,0.24342562203235,0,0,0,0.0342310259123617,0,0,-0.0132615889771507,0,0,0.0992316003898168,0.020622792913179,0.545646967581586,0,0,0,0
LTC,0.192011297850453,0,0,0.114234452740109,0.256937226836085,0,0,0.04563874301403,0,0,0.231749918533524,0.131733028144067,0,0,0,0,0,0,0,0
BNB,-0.405703141589146,-0.0350497251019453,0,0,-0.0907909927608204,0,0,0.110096728651436,0,-0.132684120956644,0.170054022233117,0.46713302877362,0.296845408937038,0.02194057108018,0.0227489689924633,0,-0.141422148404131,0,0,0
BSV,0.522290288656391,0,-0.744946805352125,-0.686497689019252,0.168894124324113,0.165333850531325,0,0,0,0,0.559426317765015,-0.196809980436189,0.976513410724177,0.373909253868905,0.0707871875465748,0,-0.540664413309343,0,0,0.136709051844822
XLM,0,0.215728142450523,0.459928675709991,0.107199140287157,0.027433580444732,0,-0.0839942599422032,0,0,0.0726822037213058,0,0,0.0365958468315515,0,0.0699226191443465,0,0,0,0,0
TRX,0,0,0.0175380643686714,0,0.0950370073334486,0.111845262467952,0,-0.0289193931541985,0.387957415647202,0,0,0.296018846042048,0,0.128125760709916,0,0,0,0,0,0.206641850191072
ADA,0,0,0.426809576447626,0.226198180053509,0,0.199832476833908,0.0486240126411551,0.0028660719813272,0.0281279093882004,0.111404122504104,0,0,0,0.0240245662906541,0,0,-0.0633258709010321,0,0,-0.00707787944771024
XMR,0.39647845412556,0.15798814777614,0.0875984256976818,-0.064906365278017,-0.0622408280678456,0,0.0658759788241899,0.0387552690012785,0,0.250082452874247,0,0,0.362376552337229,0,-0.00744654478175705,0.0613650320641217,-0.27743206521201,0,0,-0.0326079981093838
DASH,0,0.177431130774942,0,0.131167128594787,0,0,0,0,0.193849258112776,0.0260621462996465,0,0,0,0.196156732508912,0.0122905066244923,0,0.0567351013523267,0,0,0.00673793888615816
MIOTA,0.0785104194189298,-0.121261179281682,0.277409182796628,0.00000000000000000173472347597681,0.141268684656005,-0.209576452877889,0.242669146300916,0.0587706043552541,0,0,0.00000000000000000693889390390723,0.541857938004913,0,0,-0.0217430075132232,0,0,0,0,-0.0794411323670357
ATOM,0,0,0,0.223774532121238,0,0,0.128160449464572,0.307942839750194,1.24673083757542,0.451462652942255,-1.36561348080165,0.760429221877138,0,-0.348643101969507,0,-0.137846257598788,2.16999401084667,0,0,0
BV010082.INDEX,0,-0.0600486818102359,0.216752631374457,0,0.0348369097381357,0,0,0,0,-0.241236769617306,-0.0885062177850556,0,0,0.139615130205677,0.0718907334682037,0,0,0,0,-0.158606746771574
CVIX.INDEX,0.854143301878592,0,0,-0.381025231207638,-0.698061899369019,0.723928538878367,-0.182953165712717,0.0292374885001264,0.107164469460206,0,0,-0.807425223155666,0.515472560628564,-0.0473117474378531,-0.0116694728946473,0,0,0,0,0.146913760043469
DXY.INDEX,0,0.0244947521775638,0.00749824552831715,0.003730728500279,0.0118900931637984,-0.00882457980671879,0,0.00101366295753054,0,-0.0073902158481319,0,-0.00673704483309555,-0.042333757327676,0.00362348989590815,0.00798442373160323,0,-0.00539552879848115,0,0,0.00386126810397198
SPX.INDEX,-0.00340448107164699,0,-0.0225664417342681,0,0.0299646910364004,0,0,-0.00595367354347046,-0.016509155338984,0,-0.00760821359534722,-0.0151850284925067,0,0.0126901199568755,-0.0090000040836877,0.0337426405026144,0,0,0,-0.0579283480420734
VIX.INDEX,0,-0.267982650050142,0.104697382623571,-0.0115568812756338,0,0,0,0,-0.137072678193159,0.430376218860954,0,-0.83890550522233,0.0000000000000000138777878078145,0.355219088638278,0.0979755471397916,0,0.274062555902553,0,-5.87576972395523,0
