,BTC,ETH,XRP,BCH,LTC,EOS,BNB,ADA,XLM,TRX,BSV,XMR,DASH,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.17332084551706,0,0.0854181145857551,0.0414405260342812,0.0782572916637091,0,0.0262650024190449,0.0821088202467872,0,0,0,0.0135531284265274,0,0.0112640091313505,0,0,0,0,0
ETH,0,0,0.395569690888463,0,0.104323865640872,0.18777736799655,0,0,0.0400379591663615,0,0,0.0357067381763558,0,0.247469354187667,0.111929459678619,0,0,0,0,0
XRP,0,0.186204349338411,0,0,0,0.026602466183934,0.0199235746989077,0.0165499755836805,0.14070582800768,0.102897274224458,4.33680868994202e-19,0,0,0.18910202294446,0.0212313826656427,0,0.0562812660199076,0,0,-0.0248459915346559
BCH,0,0.0488245844241444,0,0,-5.42101086242752e-20,0.375457521523507,-0.0240960670405659,0.0584506396634155,0.11892655164872,0,0.315464473212233,0,0,0.087577118114338,0,0,0,0,0,-0.0125193290837082
LTC,0,0.402576468500253,0,0.170252561338122,0,0.00288748372086509,0.263401841669258,0.245987059720452,0.035425257723161,0.362266056225573,0,-0.311130638903185,-0.249118321751373,0.487285160064038,-0.142927143676931,0,-0.0868412979345658,0,0,-0.0613615780517403
EOS,0,0,0,0.156577989411367,0.293182238138983,0,0,0,0.199280512376123,0,-0.135191822144958,0.241330867888146,0,0.117567103921375,0.315502733233739,0,0.0344674962727392,0,0,0
BNB,0,0.23233755949071,0,-0.240137316501948,0.323530470552064,0.080162596814023,0,0,0,0.0192206710083053,0,0.00840582432582841,0,-0.0573352260104971,0,0,-0.267401841478709,0,0,-0.105059305214043
ADA,0,0.0528116837044403,0,0.207822836302385,0.23189390827641,0,0,0,0.0316560700425388,0,0.127177457804202,0,-0.176568884773361,0.265683416851997,0.144932900418727,0,0,0,0,0
XLM,0,0,0.0549566315046344,0,0.181906522730955,0.117225509766543,-0.00213930725926259,0,0,0,0.0216791273044513,0,0.226159966703149,0.0866819154327558,0,0,0,0,0,0
TRX,0,0,0.255069876986669,-4.33680868994202e-19,0,0.0102160634657887,-0.0728747147813977,0,1.38777878078145e-17,0,0.174993034219371,0.29945407330197,0,0,0.0678758654745132,0.292229697226012,0,0,0,0.173775442533187
BSV,0,0,0.308394546693588,0.169897591116435,0.123301955635213,0,-0.112398515820292,0,-0.0405025029709852,0.137994831728347,0,0,0.097484069993247,0,0.180038466800171,0,0,0,0,0
XMR,0,0,0,-0.140114541309163,0,0,0.126447009538678,0.0755039512699134,0.212173640956035,0.238993543335156,0.196354080524674,0,0,0.0452378079733409,0.126057020912538,0,0,0,0,-0.0345124190391663
DASH,0,0.00877881768079568,0,0,0.134911556057145,0,3.46944695195361e-18,0.104778660369704,0.161375125481052,0,0,0.298264868336262,0,0,0,0,0,0,0,0.0113140515385437
MIOTA,0,0.31079534816215,0.119709084957646,-0.12816828193599,0.150911870103574,-0.0649581913560284,0,0.148273288242989,0.0829731131928401,0.121828197996244,0,0,0.0843145857862799,0,0.0644823510314003,0,-0.0834725586201493,0,0,-0.111087469079553
NEO,0,0,0,0,0.0908023508589701,0.152421907895253,0.142960625755851,0.377272727566271,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.143934742832124,0,0.0788421516125181,-0.154794723397167,0.0124082384865146,0,0.261469140257086,0.139892942792784,0.163901032766901,0.0130596346865916,0,0,-0.216912446128358,0,0,0
CVIX.Index,0,0,0,-0.224826220577562,0.22659957421033,0.0968053377085745,-0.0921743700432948,-0.0272934587065204,0,-0.0692747164229153,-0.118026012157804,-0.157890407869148,0,-0.0598711704916058,0.095286484401717,-0.689693198255862,0,2.51155620390426,-0.00806929175974315,0
DXY.Curncy,0,0,0,0,0,-0.00430290361050036,0.0108326498244602,-0.00686736628356235,0,0.0339952150048646,0.0133610961711952,0,0.0217401659252703,-0.0533189208628302,0,0,0.0173083391098233,0,0,0.00925971271704453
SPX.Index,0,0,0,0.00944900995828832,-0.019146079563075,0,0.00179231909059064,-0.0322419736758244,0,0,0,0.0227419015191088,0,-0.00455546667996306,0.0329925711975788,0,-0.0204694354344076,0,0,-0.0771320505540918
VIX.Index,0,0,0.00965331447325445,0.169543284644169,0,-0.538058709444988,0.125825319584683,-0.0935987878521981,0,0.304313078453252,0,0,0,0,0.300151232025571,-0.0590727570521663,0,0,-5.71747888565973,0
