,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0742574600266325,0,0.0375185020513438,0,0,0.0900192104593922,0.0808830562414396,0.439558788913259,0.0262996998607699,0,0,0,0,0,-0.00644840399148178
XRP,0,0,0.171916571096211,0.0674659780117498,0,0,0.0796811028798156,0,-0.0589976888022532,0.00617857733345036,0,0.100991390549079,0,0.0923812860576172,0.186589607419135,0.0670749012914863,0,0,0,0.0674327836736387
ETH,0,0.205515009165332,0,0,0.163407455906263,0,0,0.191938549914296,0.0211522162270949,0,0.120828883737174,0.0438497413829752,0.0336466285799884,0.170009213969369,0,0,0,0,0,0.0061469663185087
BCH,0,0,0.123807967963877,0,0,0,0,0,0.161317065916984,1.01314372092851,0.179811707075839,0.248209602608789,-0.210678917638156,-0.225788226308754,0,0,0,0,0,-0.39078575955379
EOS,0,0.10203671832536,0.0735002448879733,0.0912215812132819,0,0.0379476060011179,0.346865861367903,-0.60940005211996,0,0.75451594632006,0,0.0731935788434558,-0.530614442339957,0.230155658062324,0.248792640374751,0,0,0,0,0.0422475640271491
XLM,0.439844074319709,0.0682060891098899,0,0.00937018972111094,0,0,0,0,0,0.255123255454081,0.0856564123869226,0.0779807595656076,0.0430591027606428,0,0.180858861611465,0,0.0214052301244015,0,0,0.0417578109412094
LTC,0,0,0,0,0.241822050861941,0,0,0.0416586059165697,0.0193502941179892,0.0376647437458177,0,0.199286629415823,0.288596896539075,0,0,0,0,0,0,-0.0533506486631933
TRX,0.361691957328151,0.0619419521431749,0,0,0,0,-0.123651436798139,0,0.0253060433460421,0.350336535259078,0.10751558413393,0.0523737561622796,0,0.0739907841541289,0.0268639143172712,0,0,0,0,0
BSV,0,-1.78287230196552,0,1.08868569729565,0.384242046731859,-3.08916390787504,-0.825307217238833,0,0,0.334364295347818,0.41289097353394,0.700545977701878,0,0.432571763425427,1.6341174484057,0,0.129583221776553,0,0,-0.0807188969912448
ADA,0,0,0.0299712276604304,0.119419391220386,0.28562012294885,0,0,0.212426823474166,0,0,0.103449131659373,0,0.162846033222453,0,0,0,0,0,0,0
MIOTA,0,0,0,0.0568056383860784,0.0309893293363092,0.690140264234348,0.087898586234719,0,0.0415893597863349,0,0,0.351084292126295,0,0,0,0,1.10164620439323,0,0,0.0312222302232704
BNB,0,0,0,0.0241229497093745,0.139553013466741,0,0.0271036777382612,0,-0.0688723200278538,0.341667290216574,0,0,0,0.059385994917609,0.385229443679644,0,-0.606886661244818,0,0,0.0896570814929107
XMR,0.182704988321006,0,0.0960579901061683,0,0,0.00179657548997983,0.060778310957152,-0.0000000000000000138777878078145,0.0225157658137327,0.313033989393513,0,0,0,0.0248000443907674,0.284320904081127,0,0,0,0,0
DASH,0,0,0,0,0.00000000000000000693889390390723,0.236934059724249,0.231223241625384,-0.209610918984717,-0.00366263859653086,0,0.221273145931553,0.129163403307947,0.465144524404177,0,0.00000000000000000693889390390723,0,0,0,0,-0.0247259323249602
NEO,0,0,-0.0000000000000000000542101086242752,0,0,0,0.162790358104063,0.184837575968912,0,0,0,0.21879958824251,0.391715212992523,0.00396180910003704,0,0,0,0,0,0
BV010082.INDEX,0,0,0,-0.0552289660680416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375117286254385
CVIX.INDEX,0.0608140500870416,0,0.182497429596741,-0.00521271008223686,-0.112305373526328,0,0,-0.442841790916372,0.0283859649383349,0.107201586033636,0.127650693838917,-0.0110996954099117,0,0.0668532517502454,-0.112364777451697,0,0,0,0,0.111041432236491
DXY.INDEX,0,0,0,-0.00186134369165867,0,0,0,-0.0444286796541726,0.00723281507772567,0.0284856592321172,0,-0.00165752740467789,0,0.00749892246172368,0,0.071769519644165,-0.00861105134639167,0,0,0.0113769550322776
SPX.INDEX,0,0,-0.0142570244119514,0,0,0,0,0,0.0154250756098082,0,-0.0180799477462062,0,0,-0.0294071833975517,0,0.0316408533362551,0,0,0,-0.121461710318871
VIX.INDEX,0,-0.348315470897175,0,-0.0979020066077918,0.467118088060976,0,0,0,0.107544835066289,0,0,0.351364125240794,-0.523241390110556,0.254312186832058,0,0,0,0,-3.47939852373813,0
