,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,BSV,ADA,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0198583247101844,0,0.0446071494674053,0.0752571540134249,0.149987652469161,0,0,0.0631883423923618,0,0.063005189395991,0.0543955862730683,0.0219124583486817,0.0956813413891019,0.00271475463804309,0,0,0,0,0
ETH,0,0,0.193185309168367,-0.00000000000000000693889390390723,0,0.405631351538758,0,0.0820792726783538,0,0.061000539085134,0,-0.0646088328942595,0.22863305439245,0,0.168952501413768,0,0,0,0,0
XRP,0,0.0858011979822032,0,0,0,0.300458030201684,0.0384414146062206,0,0.0993005377687549,0.00613530028790491,0.177464417352418,0,0,0,-0.00757387484316989,0,0.0969433800975659,0,0,0
EOS,0,0.00118087420754197,0,0,0.0968671440784819,0.330889245224848,0,0,0.292507302255496,0,0.296058930745244,-0.000000000000000000433680868994202,0,0,0.178904756978,0,0,0,0,0
LTC,0,0.179125717775957,0,0.110653681327978,0,0.339338932254491,0.000000000000000000867361737988404,0.103580786755249,0,0,0.244068131586171,0.259715726489784,0,-0.165880251180238,-0.185101174827593,0,0.450399708876751,0,0,0.133524116844543
BCH,0,0,0.359579662328049,0.198324485103021,0.21630869818007,0,0.0347661110334032,0.0824834119847652,0,0.19543672892464,0,0,0,0,0.0649321652818618,0,0,0,0,0.121846728298492
XLM,0,0.0458672566157002,0.291242360673,0,0,0.000000000000000000867361737988404,0,0,0.0722471264413111,0.0238507632096927,0.267253211641239,0,0.23855925707835,0,0.0392830562128151,0,0,0,0,-0.0821736354537162
TRX,0,0,0.204898298380365,0,-0.0977514199241452,0,0,0,0.121569577720381,-0.151522950806916,0.348653338123826,-0.11491205374789,0.565014555228701,0,0.133675846155804,0.226309594014317,0,0,0,0.0546398774899137
BNB,0,0,-0.136741841497288,0.0527777460367762,0.121498807803836,0,0.218198148323547,0.584285133037322,0,0,0,0,0,0,0.193656636213527,0,-0.138456245663281,0,0,0.0341553607058989
BSV,0,0,0,0,0,0.554257146113686,0.219882832149691,0.0493336160491411,0.0301261861038068,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.142114446760667,0.243358881400215,0.0772909165459163,0.152685823212623,0,0,0.0459909846615133,0.0732623380597158,0.125679389294952,0,0,0.235808896616406,0,0,0,0,0,0,0
XMR,0,0.137679573075136,0,-0.106057459204062,0.146049331378856,0,0,0.152334883482884,0,0.191776499198542,0.125239528414579,0,0.0026360725853716,0.151803326798536,0.166552995188821,-0.24066971718051,0.0364565846721724,0,0,-0.00572429728735981
MIOTA,0,0.170767985186886,0.11864594443567,0.367834244974133,-0.0172308464585078,0,0.203617807641368,0,-0.100885195678752,0,0.0625727135067056,0.0118287928612201,0,0.126105414901775,0,0,-0.0939841413598134,0,0,-0.0238885451253614
DASH,0.222386483341275,0,0,-0.0872915268023546,0,0,0.160223701826356,-0.0477997431140174,0,0.0941196109531485,0.326275141147937,0.164620493378588,0.204478796314469,0,-0.0313938461255784,0.0249799598918857,0.0167736002117803,0,0,0.0297383876852122
MKR,0,0.850962779583807,-0.29473570209064,0.429574953548007,-0.152036496265717,-0.351044362823511,0.00000000000000000693889390390723,-0.168838687066112,-0.0786569849390222,0.352521866256707,0,0.211896412807566,0,0,0,0.442781254759035,0,0,0,-0.0467220662088238
BV010082.INDEX,0,-0.871080937996336,0.425737886194478,0,0.0818238775278883,0.0713378419746358,-0.157887358007196,-0.0560448743466367,-0.0221247220382749,0.0473516031210067,0,0,0.253883809237777,0,0.344296894681995,0,0.0884214631597382,0,0.0573623889950702,0
CVIX.INDEX,-0.53974834456716,0.455175879688825,0,-0.258746946980737,0.124785115016937,-0.0967961253904363,0.361268534894289,-0.410598417875731,-0.155954203648224,-0.0782640082568728,0,-0.0488390320581328,0,0.572068858191072,-0.11681551151145,0,0,0,-0.245981938430839,-0.169651976240751
DXY.INDEX,0,0.000000000000000000433680868994202,0.00598611625896705,0.000484104449659176,0,-0.000171452012813315,0,-0.0490391490390292,0,-0.000209706616391638,0,0.0370887228993577,0,0.00755711677950713,0,0.0620625695683104,0,0,-0.0911754923973214,0.0201747553133057
SPX.INDEX,0,-0.0564830146818033,0.0545553350678909,0.0313486392943301,-0.0406700466093054,-0.0258367944551739,0,0.0205953901530272,0.00656817608545588,0,0,0,0.0720655767391787,-0.0460137600607914,-0.00672441045984606,0.179073525808095,-0.0462158312046981,0,0,-0.0968230849058326
VIX.INDEX,0,-0.240183203135056,0,0.127941293326805,-0.0826070341883101,0,0,-0.152237107123765,0.392485973431054,-0.177694172531708,0,0,0.22882014877418,-0.0871756666668467,0.107908415066885,0,-0.389380964836147,0,-2.96191795461585,0
