,BTC,ETH,XRP,BCH,LTC,NEO,XEM,MIOTA,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.142877289154152,0.263149176257576,0,0.0801167161732923,0.0550925386346142,0.206579805066596,0,0.0289578926003377,0,0,0,0,0,0,0,0,0
ETH,0,0,0.172143512436231,0,0,1.73472347597681e-18,0,0.12871532917812,0,0.289630533651363,0,0.0568300436534403,0.0400658779377573,0.185957278650768,0,0,0,0,0,0
XRP,0.0960659756301977,0.26324599270689,0,-0.0381016569527977,0,-0.0218359263416368,0.202962656876285,0.0429412864038373,0.160748450080646,0,0.14888054736559,0.0131161240569893,0,0,0.0626282387082805,0,0,0,0,0
BCH,-0.0952419151800976,0,0.920986070618127,0,-0.501006701493126,0.0718351576435211,0.439579709596157,-0.339460731344104,-0.192298604505387,0,0.703525699076394,0.133175051356723,0.893292976361901,-0.00623471416149701,-1.56169638253951,0,0,0,0,0
LTC,0.264342083056476,-0.100845764518358,0,0,0,0.0674339360155169,0,0.077633623336316,0,0.271325295777007,0,-0.040120907251243,0.0780184522059918,-0.0686677467267771,0.0783534617464145,0,-0.38213540726357,0,0,0
NEO,0,0.462888864422289,-1.91020637422828,-0.159032631776271,0,0,0.616631469846472,0,1.33199759399159,0,0,0.0232410727983091,0.311251214813381,0,0,0,0,0,0,0
XEM,0.112201670595719,0.0412661278961902,0.251102259093106,0.0231556465300935,0,0.0296862332819082,0,0,-0.0716235287803616,0,0.0908601225069322,0.121602028526642,-0.0803105212950579,0,0.255761242283893,0,0,0,0,0.147998034877578
MIOTA,1.06216239467938,0,0.949228660679987,0,-0.133026066929777,0,0.0802957491724021,0,0,0,0,-0.0226419865113807,0,-0.5212200404326,0.52564813136236,0,0,0,0,0.145008305822741
DASH,0.0472017962100688,0.135481828218207,0,0,0.0678243054773796,0.0447870939984162,0.171484856680095,0,0,0.129475082808588,0.304463352355329,0,0,1.73472347597681e-18,-0.00964873752803087,0,0,0,0,0.112518579227696
ETC,0.0880303173473382,0.200627497032549,0,0,0.0870093467176334,8.67361737988404e-19,0,0.105743268229512,0.077417418698363,0,0.251188888823106,0.0263468314874685,0,3.46944695195361e-18,-0.137192958247009,0,0,0,0,0
XMR,0,0,0,0,0.140837561427637,-0.0167977466062559,0.134351933040338,0,0.452177018971927,0,0,0,0,0.0360473305722727,0.261704824134098,0,0,0,0,0
EOS,0,0.439138330272937,0,-0.0930323220095402,-0.457400909912181,0.114454209282459,0,0,-0.275731398936935,0.581348686829843,0,0,0.250199892658521,0,0.229065821587668,0,0,0,0,0
ZEC,0,0.0777057179779803,0,0.0215156685701134,0,-0.000235150517620373,0,0.231533197643929,0,0.0885987242148579,0,0.0495375465325794,0,0,0.157195890481904,0,0,0,0,0.0663717703637988
BAT,0,0.54628256878909,0,0.0135491137443845,-0.246114079417078,-0.0166147892890348,0,0.00196380598874161,0,0,0,-0.0139175206030733,0,0,0.511633102938223,0,0,0,0,-0.073961827913913
XLM,-0.301572949700913,-0.0484938674081519,0.130787536545879,-0.032603350307714,0.119570544706534,0.0397253290480529,0.188938714842367,0.037359523105604,0,0.079376410307454,0.43772729278887,0.0654134413632527,0.370653370765525,0.109161696616058,0,0,0,0,0,0
BV010082.Index,-0.10682691021915,0,0,-0.00292843590845529,0.0217860708358801,-0.00890365658336036,-0.0225314422967817,0.0197609236980401,0,0,0.0457817290841918,0,0.0265683242658536,0.0154153029566171,-0.0313786973819278,0,0,0,0,0.0226481603122217
CVIX.Index,-0.0973161213026665,0.0365554231736293,0.0656795581597068,0.00134096214214006,-0.0204406178034247,0.030687737707809,0.021835759046559,0.0364261497918788,-0.0671919325125542,0,0.148333508367301,0.0191040728865952,-0.114511983765576,-0.0216284546958881,-0.108453592629183,0,0,0,0,-0.0434677914565441
DXY.Curncy,0.0304208879876602,-0.0130911826017907,0,-0.00155700211799429,0.00886691054302489,-0.00978605140362103,0,0,0,0,0,0,0.0120263817010184,0.00118296308164454,-0.0153829785421079,0,-0.0439269882324584,0,0,-0.0244491279527103
SPX.Index,2.16840434497101e-19,0.0072920584330583,0,0,0,-0.00214442188649868,0.00305261846660053,-0.00301301829750509,0.0051063555706094,-0.000925400564565363,0,0.000984753781181182,0.00492767749874309,0,-0.00842093011220344,0.0428022467733681,0,0,0,-0.0649234311505901
VIX.Index,0.245481522747022,1.73472347597681e-18,0.023028281527992,0,-0.169198094852413,-0.0819919593588226,0.0427151719816502,-0.0342690911393041,-0.0233296884524237,0.183678277237071,0,0.059621318430793,0,0.160356212869242,-0.255329989168797,0,0,0,-4.89827554668145,0
