,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0376290401058843,-0.145672461598772,0.643164877298467,0.0740272578722999,0.0239153699585592,0.0309732051574505,0.0962609864171588,-0.0189325275049964,-0.0741676525321041,0,0.0672796041924345,0,0,0.0466744926405445
ETH,1.83995001437848,0,0.771514906400217,-1.49683866928028,-0.308076728798921,1.96740637099033,0.609544334834337,-0.888049856336099,-0.684847490864172,0.183389837732066,-0.0000000000000000277555756156289,-0.579671755374579,0,0,0.306310785791362
XRP,0,-0.0729609732370373,0,0,0.010986036736418,0.113445080651581,0.150511005908892,-0.0217099659084787,0.0799996108495155,-0.0888436067766399,0,0.210179274215964,0,0,-0.0237664667900412
LTC,1.13384314113365,-0.19498206886125,-0.439822543602704,0,-0.141615116866868,0,0.17499179254442,-0.245796681973565,0.269841539820802,0.110975487561971,-0.382495759679626,0,0,0,-0.0602530205544181
XEM,0.339596591299106,-0.242391110553667,0,0.796488439622796,0,0,0,0.184922405232921,0.322422465067845,0.367016279853233,1.91520776648865,0.0161786765698897,0,0,0.52156964785444
DASH,0,0,0.20833098243522,0.0520397221112104,-0.0339105967644153,0,0,0.00628051999666342,0.163103774195722,0.213364929232117,-0.45314211549076,0.0138256241942542,0,0,-0.0764117909725926
DOGE,0.333438047992964,0.0223473878173362,0,0.21434330420459,-0.149774079812226,0.108253877928198,0,0.136613702680649,0.330425114832004,0.0901723094526311,0,-0.364331214386702,0,0,0.0896595510626493
XMR,0.75989001418239,0.119098788303379,0.104101751060202,0,-0.101883212769662,0.221682969782023,0.2997099543608,0,0,0,0,0,0,0,0.0718750856596688
XLM,0.0407985451184153,0.198714972480504,-0.0302242695847622,0.255207242001268,0.164759282844841,-0.166488554300515,-0.0863237173268707,0.155157470014986,0,-0.26012406732271,0.00711422047512816,-0.116850187965037,0,2.03261342621685,0.299373785445183
DGB,-0.68572393409602,0.30329644553119,0.0378088711920446,0.39688404619865,0.170239216139397,0,0,0.299277492973879,-0.564105708935306,0,0,0,0,0,0.135927466259688
BV010082.INDEX,0,0.0753206818195071,-0.13476050416847,0,0.0108127929768053,0,-0.0343067385412915,-0.271848900379951,0.0860734898308227,0,0,-0.0309367530877423,1.82990041611295,0,-0.20501338337408
CVIX.INDEX,0.572627746585005,-0.200183954791966,0.246777242547557,-0.543027746781718,-0.00390398153410797,0.370710181625669,0,-0.218550701396763,0.0370288262295865,0.0807975323546236,0.271419929527059,0,0,0,0.153058835200909
DXY.INDEX,0,0.00627499287270284,0.010959668114694,0,0.00815230602625257,0.0488632069193881,0,-0.0134936020820089,0,0.00858235491232262,0.146860103658777,0.0300694150907984,0,0,0
SPX.INDEX,0,-0.00175069846472137,0,-0.00693325830802667,-0.011719092248342,0.0451328266570153,-0.0350196467948694,0,0.0375209586422532,0,0.00000000000000000010842021724855,-0.0720551143865977,0,0,-0.0733774329816652
VIX.INDEX,0.179634492583128,0.308793976976898,-0.77006632333545,0,-0.187947860254414,-0.117804594621979,-0.564587585857249,0.33263562646393,0.594373022168838,-0.296909264375994,-0.333582562485559,0.848484839769505,-1.16094300408617,-3.82648674711432,0
