,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.233134934639163,0,0.0534445753851796,-0.0612925859403541,0.223884457147426,0.268642988190496,0.126820138172118,-0.160589722243736,0,0.175266723029431,-0.378080405298558,0.065952892900133,0,0,0,0,0
ETH,0.457274780899241,0,0.0191318365489412,-0.0502815774287802,-0.0293969246393059,0.886304706107039,0.284055854801532,-0.100091950783605,-0.221603736415105,0,0.0767890018058776,-0.0709257546302496,-0.0290905044880265,0.304980850088566,0,0,0,0
XRP,-0.160949539930138,0,0,-0.33203228096337,0,0,0.12459096208309,-0.0667735308855641,0,-0.230565096416943,1.32564978599761,0.3087997811257,-0.639533970937069,0,0.790486433464781,0,0,0
DASH,-0.175676849680825,0.0731533333867159,-0.101477672069701,0,0,0,-3.46944695195361e-18,0.0934592871345495,0.0693072252798109,0,0,0,0.0593021522097919,0,0.756764148567817,0,0,-0.32646861705032
LTC,-0.337346048090309,0,-0.0970916929557863,0.118049684038396,0,0.0264927938069734,0.138558334899762,0,0.0127364720128488,0.449144694085911,0.256267555948385,-0.143240434991057,-0.0334881466576331,0,0,0,0,0
XMR,0.199852436162477,0.560051541854844,0.181981307645606,-0.155091984457513,0.0906208810587951,0,-0.00339731763658333,0.130267847439671,0.235435226970338,-0.456769881398303,-0.0591053101613322,0,0.164377641231443,0,-0.641483294141049,0,0,0
ETC,0.267548666365065,0.075654936218877,-0.00810044252143785,0.136525632430478,0.485336390381169,0.361517143594024,0,4.33680868994202e-19,0.165755314570933,0.0307626620414217,0,-0.121115455268844,0,-0.46497401147534,-0.140381914984629,0,0,0.24380489500794
XEM,0,0.353105543154618,-0.0512616601347713,0.118683723757067,0,0.303076724952576,-0.522563856107442,0,0,-0.290674816631159,-0.0207428852563875,0.0915752848961412,0.388273015981958,0,0,0,0,-0.198492899518302
ZEC,0.146650869443945,0,0.0517808997424959,0.259630741372055,-0.0148587300088978,0,0.0424215949906788,0.023670621980737,0,0.379086677951437,-0.213273508717818,-0.0653544894781272,-0.121071932093054,0,0.253788240204948,-3.8877580872284,0,0.23910177153582
DOGE,0.184404491867413,0.250348408716834,-0.148566193442576,-0.0157665444535597,0.319844883582277,-0.0838573942188257,-0.394074830538647,-0.0927335025087938,0.404050487630924,0,0.598157097329128,0.0718518660317885,0.0785203325030417,-0.323293519105482,0,0,0,0.396754861631707
XLM,0,0.0999493130949903,0.291126452273843,0.128035985121797,0,0,0,-0.142249664860389,0,0,0,0.151796017146153,0,0,0,0,0,-0.474063428675644
NEO,-0.399262307400413,-0.240288196340502,-0.046881084657343,0.0233379617767789,-0.29368597588539,-0.119809709962654,0.209403740146052,0.115611233900644,0.205996095839341,0.135134463964669,0.193051019854095,0,0.174641516893401,-0.154322600165595,-0.34256196776044,-1.68174781863196,0,0.476228953930059
DGB,0,0.176611259271749,-0.0630755715622356,0,0,-0.26822197209554,-0.0656324684955083,0.208814431771148,0,0.236542941048328,0,0.0232332970917859,0,0,0.10190029025541,0,0,-0.635409481204081
BV010082.Index,0.0597148966551658,0,-0.0104196347582735,0.0446259907773996,0,-0.0519993159381944,-0.06749636624977,-0.0965151538956754,0,0.0507623355026611,0,-2.16840434497101e-19,0.123231828862596,0,0.221084968123846,0,0,0.0140822844268843
CVIX.Index,0,0,0,-0.0643177448808628,0.0692940562142478,0,-3.46944695195361e-18,-0.0501131854810609,0.15908516028868,0.0415991037062286,0,0,0.0952391975892005,0,0,0,0,0.397043767487392
DXY.Curncy,0.0183398783853541,0,0.00133284827427728,-0.00668975336787731,0.00578541132691187,0,0.0111997601415788,0,0,0,0,-0.0106307301070899,0,0.121930040654257,0.0255539134883299,0,0,0.0175121757615162
SPX.Index,0.0203801036218608,0,-0.0132638299059483,-0.00836061366426636,0,0,0,-0.000153985702036058,0,0,0.023544787632966,-0.0423505805985244,0,0,0,0,0,-0.0281798227081821
VIX.Index,0.167789479651671,0.195386313402997,0.0770767075907831,0,-0.0966377720118741,-0.414672013538463,-0.00174213242728515,0,0,0.0706536770108463,-0.163371937444428,0.168809760123612,-0.0752877930742048,-0.432881472164227,0.405422978413929,0,0,0
