,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.168828038346679,0,0.0336798340457983,0.0506397708118208,0.0778616278267627,0.0220893992374606,0.0739789483502402,0.0220563572423021,0,0,0,0.0805449513842376,0.0159621164273943,0,0,0,0,0,0
ETH,0,0,0.122857628159042,0.206998869863383,0.0925972766375062,0.239167673417958,0,0.133582920182947,0.0286513607945397,0,0.062943662436143,0,0.139873673003352,0,0,0,0,0,0,0
XRP,0,0,0,0.0180659353320326,0.183109353131363,0.109598482544445,0,0.155333492605734,0.0642192994233373,0.0769408641704861,1.73472347597681e-18,0,0,0,0.0625955066600553,0,0,0,0,-0.0289673109059455
LTC,0,0.348441797873443,0,0,0.210726723397644,0.0384185941180501,0.109627587564996,0,0.25608804007248,0.163805795302562,0,0,0.260727582324287,-0.191783667913034,-0.236085329501608,0,0,0,0,0.0118950191779256
EOS,0,0,-0.0286158511449538,0.326666265195029,0,0.303584779937069,0.0413636024726692,0,0,0,-0.0309184979608441,0,0.180558440389622,0.0652226138715793,0.247375798113349,0,0,0,0,0
BCH,0.0864632269043186,0.108039101273234,0.344216206532207,0,0.286966234714827,0,0,0.133102199470796,0,0,0.178015396830226,0,0.103341660408833,0,-0.0989313749687665,0,0,0,0,0.0245170614693091
BNB,0,0,-0.243496915538763,0,0.122641931958112,0,0,0.21840786089028,0,0.508331862110149,0,0.51731737807967,0,0,0.0117826609818172,0,-0.220756240029184,0,0,0
XLM,0,0,0.272160310537972,0.184000985534554,0,0.0726731082273332,0.0773181724148565,0,0.0540477960709054,0,0.069348973129293,0,0.215717470113448,0.0118049018294705,3.46944695195361e-18,0,0,0,0,-0.0924489196700539
ADA,0,0,0,0.15403236596728,0,0.348684654065186,0,0,0,0.123253115232909,0.0902326414007251,0.123694542123131,0.208595999968518,0,0,0,0,0,0,-0.00328409368860833
TRX,0,0,0.0424865404287869,-0.00278786862609466,0.126339701448245,0.110122893112806,-0.0476316117747641,0.112133160471499,0,0,0.312263212979335,0,0,0,0.0704301100506675,0.375927639602111,0.285420028792077,0,0,0.108668875668465
BSV,0,0.158548626553482,0.584113339585698,0,-0.0781123517808349,0.212207681276692,0,0,0,0.0446915463028488,0,-0.0684401555764246,0,0.20413092349209,0.173598388887209,0,0.202889943637876,0,0,-0.0815750150493877
XMR,0,0,0,-1.73472347597681e-18,0,0.194007843020222,0.0746983526383733,0.0735431800416979,0,0.0890554097907962,0.282670682244248,0,0,0.0455182879946477,0.115337469711872,-0.237506701448606,0.0741235529470397,0,0,-0.055903144528116
MIOTA,0,0.333049489432386,0,0.0484993233871755,0.00881752769654404,0,0.0211385835033537,0.0744088021595192,0.170639048186221,0,0.05935867542124,0,0,0.00886446042002502,0,0,-0.0747546673831945,0,0,-0.0336703718866875
DASH,0,0.204364474585463,0,0,0.00656075697614527,0,0.0616621857797778,0.18529224562859,0.156929191113824,0,0,0,0,0,0.00644233007296863,0,0,0,0,0
MKR,0,0,-0.639492571984952,0,0.11674084818431,0.503574308933327,-0.0607791804418198,-0.246639395128001,-0.0936835993620861,-0.131559561376809,0.567072855119224,0.387139324871674,0,0,0,0.116294232897486,0,0,0,-0.0757194001380171
BV010082.Index,0,0,0.28317937014603,-0.133429219728964,0,0,0.0385470473954188,0.00604910239232111,-0.318246997356232,0.0504073824911713,0,0.273807016810447,-0.0746073320458348,0.0842227851313398,0.130975038591545,0,0,0,0,0.0533152914807742
CVIX.Index,0,0.306578345559414,0.199178632333108,0,0.117729820840445,-0.433370089213283,0,0.136276815258527,-0.0636900316381289,0,-0.0345960313804737,0,-0.116038997279042,-0.219494464781039,-0.0380848332327039,0,0,0.258950064593498,0,-0.182873313006425
DXY.Curncy,0,0,0.0182654468024483,-0.00168003042475805,0,0,0,0.0309177239449548,0,-0.0296505482106195,0.0128463679241021,0.0299823904447495,-0.0370534258141791,0.00454379982291073,0,0,0.00217090731466198,0,0,0.0217360825445812
SPX.Index,-0.0603695302867331,0,0,-0.0197815534807473,0.0232817458709647,0,0.00653279146181338,0,-0.0262419485173486,-0.010943323994614,0.032636733977803,0.0355114122463992,0,0,0.00475841885458278,0,-0.0112331845226775,0,0,-0.0712941048030936
VIX.Index,0,0,0.471485722623394,-0.343656853369495,0,0,0.312395744411564,0,0.0137213606000789,0,0,0,0,-0.10497313951279,-0.0367730069529188,-0.566868861587149,0,0,-4.66117130691597,0
