,BTC,ETH,XRP,BCH,BSV,LTC,EOS,INNBCL,BNB,XTZ,TAGZ5,LEO,XLM,XMR,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.17794251904143,0.205290276915806,0,0,0,0.0999326022586317,0.208175373168644,0,0,0,0.0388405513988429,0,0,0,0,0,0
ETH,0,0,0.136220482710575,0.24228274020663,0.0453721480459295,0.275143927684466,0,0.00585357921812771,0.0407333708932659,0.224746905556643,0,0,0,0.0647282328808526,0,0,0,0,0,0
XRP,0,0.199749652452175,0,-2.77555756156289e-17,0,0,0,-0.00399520781489414,0.0912934057885121,0.0588795696046247,0,0,0.124611006661646,0,0.294405824795362,0,-0.0163028090498914,0,0,0.01681987427677
BCH,0.29755361581879,0.128519540943331,0.247734579671582,0,0.210604243880752,0.0997004598492051,0.0436572519177856,-2.16840434497101e-19,0.0753142609513828,0,0.0312860559963486,0,0,0,-2.77555756156289e-17,0,0,0,0,0
BSV,0,0,0,0.457271977141988,0,0,0.4892710179944,0.00487394904452168,0,0,0.0279339330157703,0.0288563262605374,-0.206466975500838,0.278002264600086,1.73472347597681e-18,-0.011843010106902,0.0380798757652559,0,0,-0.0550906517812626
LTC,0,0.0199842730364807,0.041032331904672,0.17559969710597,0,0,0.373485919297905,-0.00109938468709262,0,-0.0527820038543677,0,0,0,0,0.383293261247739,0,0.0199145501407892,0,0,-0.0243136365039978
EOS,0,0,0.141520583728303,0.353004788707523,0.167690535495226,0.150580586223916,0,0.00622169445208183,0,0,0,0,0,0,0.117444654082488,0,0,0,0,0
INNBCL,0,21.4672290129781,0,0,-1.71178287381885,0,0,0,0,0,-2.71980100565672,0,0,-23.2780225676451,0,1.22647858463715,-1.21757860350381,0,0,-2.02476706496462
BNB,0.202094373071836,0.15474332752086,0,0.258215161161947,0.000261707870551488,0.0602388209951688,0,0,0,0.0890007110362272,0,0,0,0.226893214210513,0,0,0,0,0,0
XTZ,0,0.498753611682174,0,0,0,0,0,0.000925345665885698,0.521937434140703,0,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.0748074934234821,0,0.432376283911453,-0.284897552146158,0.416130526536632,0,-0.00586266538065637,0.22074052328249,0,0,0,0.199275361714951,-0.125563422768362,0,0,0.0183709709278133,0,0,0.0881813916532364
LEO,0,0,0,0,0.118041648367305,-0.335140827033118,0,0.00378546215646111,0,0.195958577904732,-0.0148199257058188,0,0,0,0,0,-0.0404798191563001,0,0,-0.0317130794622618
XLM,0,0,0.642815639003012,0.163222681207726,0.0430412957668495,-0.22611975293088,0,-0.00107622669755335,0.0245399122353567,0.0363868754366855,0.0598656623699142,-0.0582932847447186,0,0,0.136682443108348,0,0.0280190457445622,0,-0.0534861107036336,-0.0370974487324828
XMR,0,-2.77555756156289e-17,0.0938013347265694,4.33680868994202e-19,-0.078770680718114,0,0.371101301563493,-0.00699616041214211,0,0.172732295163947,0,0,0.111825365127128,0,0.273411341189013,0,-0.0425439527945922,0,0,0.00401888837353195
ADA,0,-4.33680868994202e-19,0,0.15845063738072,0.0256150692788912,0.379430746361875,0,0.000353720603522583,0.181822174541071,0.0701321948664667,0,0,0.0633063077989587,0.0809017127100191,0,0,0,0,0,0
BV010082.Index,0,0.707122009069437,0.437671057416304,0,0.729668241397235,0.89059188870549,-1.78883700444352,-0.0294653213878686,-0.553404783957583,-0.576938306032702,0.289928095330388,0,0,0,0,0,-0.0613591225479384,0,0.332534625860277,0
CVIX.Index,0,0,-0.103055701436041,0,0.329171004036899,0,0,0,-0.00758801646401448,0.293621091258567,-0.369713723672861,0,0,-0.644479397146777,0,0.30102907637903,0,0,-0.336607879637695,0.333837999223049
DXY.Curncy,0,0,-0.0824018979886607,0,0.0294276417766845,0,0,0.000492596474774491,-0.0148869485512772,0.06684810136313,0.0219008267546131,0,0,0,0,0.00477486418354233,-0.0123732953892923,0,-0.0323294803097022,-0.0128357476481151
SPX.Index,0,0.202706859407423,0,0,-0.15696731063876,0,0.0939502122470646,0.00439122590808882,0,0.153564370914133,-0.0420261435160778,0,-0.0939730814302562,-0.114311033621549,-0.116360899653874,0.277266629752033,-0.00264031142621161,0,0,-0.204050571442385
VIX.Index,0,1.17701492766812,0,-0.236450674401186,0,-0.510783260912098,-0.826726910210143,0.000336825910520806,0,0.277720611404162,0.423882550950969,0,-0.155056394079898,-0.384390483103398,0,0.321895453929667,0.105682615993973,0,-1.89095648648392,0
