,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.182604517980889,0.196355516269142,0,0,0.0379879312107341,0.212756022237724,0,0.0482634578849834,0,0,-0.109187909971316,0.0355419181498288,0,0,0,0,0
ETH,0,0,0.0191276886604522,-0.0554553839673263,0,0,0.350119349647479,0.149115893755182,0,0.0868571675512572,-0.0425953785861329,0.168344963996094,0.294359270078996,0,0.0151448805537506,0,0,0,0,0
XRP,0,0,0,0,0.270910214405616,0.259169499356821,0,0.10262453413129,0.10907222062397,0.03565971912383,0,-0.0423647261138302,0,0.267562124155722,-0.0679543703441679,0,0,0,0,0
LTC,0.256593063398104,-0.0600707768276743,0,0,0,-0.129814675394469,0.232224464452296,-0.0169428543810568,0.0399082872386429,0,0.124004407084051,0.038037943417148,0.182463079773955,0.0210653749616132,0.00707460683057945,0,-0.0321036090341214,0,0,0
XEM,0.234275471073805,0,0.425449170216052,0.263354581015523,0,0,0,-0.0852188609026364,0.143332125160488,0.095803559624606,0,0,-0.0488596886776379,0,0.061216096694414,0,0,0,0,-0.192081099131239
DASH,0,0.0849103997638331,-0.00917858351796478,0.0828638426213636,0.15400864013811,0,0.19684696426782,-0.0468525716339135,0.207672123152829,0,0.0497693761396146,0,0,-0.0999426228174776,0.148062952870224,0,0,0,0,0
ETC,0.0469215427788523,0.224644725022988,0,0.136639310728989,0,0,0,0,0.234768032845279,0.0337416918037655,0.0364246110354688,0.0136883645079696,0,-0.144110106928431,0,0,0,0,0,0
MIOTA,0.315076664369579,0,0,0,0,0.222873073621875,0.213579003567601,0,0,0.0588036202207202,0.0109032978006085,0.114173826647028,0.293308677289814,0.148867847799058,0.151921875268683,0,0,0,0,0
XMR,0.202964215271682,-0.116194600104075,0,0.0111314698683014,0.163243184104047,0.38515281730759,0.116428793058265,0,0,0.00917656715301603,-0.00996670129770317,0,0.0396500472668035,0.161286415828229,0.0305657595101019,0,0,0,0,0
EOS,0,0.446282159499207,0.0592898098489987,-0.519264969570923,0.294662621870819,-0.120807206006829,0.273837988783944,0,0,0,0.147719122131038,0.0251954865191976,0,0.0968856938394347,0.165575683178838,0,0,0,0,0
NEO,0,0.198585680334173,-1.82332833087787,0.224320055895462,0.6109940150849,0.764630676892819,0,0,0,0.0903179631870527,0,0,0,0,0.0466741695161014,0,0,0,0,-6.93889390390723e-18
ZEC,0,0.224163713712403,0,0,0,0.028322094754767,-6.93889390390723e-18,0.0781768168580878,4.33680868994202e-19,0.0277357407111383,0.0734416325953916,0,0.0698903962731192,0.21613069432483,0.0140372877101192,0,0,0,0,0
DOGE,0,0,0,0.0691231431110244,0.400229377629815,0.0632875705329136,0.126682398255802,0.0174381426263368,0.111013020641879,-0.0628076462257524,6.93889390390723e-18,0,0,0,0.113970988426548,0,0,0,0,0
XLM,-0.109777183611692,-0.058781932072713,0.665379408986649,0.251900447010294,0,0,-0.120836118308619,0,0.481310480740337,0.0640143846470739,0,0,0,0,0.124701191046848,0,0,0,0,-0.168700347881486
DGB,0,-0.290639277840569,0.234101875840283,0,-0.0804314586882433,-0.324661172203349,0,0.344990635674891,0.138900242041051,0.204006361658903,0.0544725710840773,-0.757866079735323,0.674542495184712,0.65259584228844,0,0,0,0,0,0.462956347524857
BV010082.Index,0,0,0,0.0287960422264747,-0.0780710681177645,0.0428892222473707,-0.0382978135828881,0.00519611400930811,0,-0.00218463397428884,0,0.057175497135144,0,0.0223494522512856,0.0163703215215467,0,0,0,0,0.0477870566433736
CVIX.Index,-0.098665283318075,0,0.0796629599657021,0.0142129428939645,-0.0637988681963326,-0.0544118485831515,0.0246081255040716,0.0407866380191068,0.0802384116936966,0.0312618027697442,-0.0213425178449023,-0.104806908606705,0.116024476824227,0,-0.0136546229001537,0,0,0,0,0
DXY.Curncy,0.0384913747149549,-0.00155295564438629,0.00805325757602722,0,-0.0070413309108156,0.0216653263289332,0,-0.00267437736824483,0,0.00113221370762089,-0.00948569989143781,0.00748542446292916,-0.0238999643553738,-0.0110433558488748,-0.00256507315614103,0,-0.0733080832012232,0,0,-0.0334680077959547
SPX.Index,0,0.00854033372871918,0.00653199315997945,0,0,0.00447851843006638,-0.00244770109956764,-0.00630924153148522,0,0,-0.00221973169093567,0.00455344531497085,0,-0.00447097074389701,0.000407537719332029,0,0,0,0,-0.0645476952797284
VIX.Index,0.345883287793587,0.308150882114401,0.176341395601332,-0.447783323683375,-0.131293004472075,0,0.065148706727619,-0.160203225123616,0,0.06824874473198,0,-0.032453252495255,0.060325281171994,0,0.0162830926591131,0,0,0,-0.868432658431081,0
