,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0979735950557571,0,0.153646388242578,0.354456771882211,-3.46944695195361e-18,0,0,0.00982125966963997,0.0654365175192627,-0.003259831210321,0,0,0,0,0,0,0,0.0274031231546507
ETH,0,0,0.0393113683259371,0.04529741008014,0.130000682035359,0.188467053132287,0.0297532765185895,0.123130414705358,0.0264926352465974,0,0,0,0,0.0928969610290203,0.0943573101135738,0,0,0,0,0.0904092654857393
BCH,0,0,0,0,0,0,0.975786272439477,-0.408190879643889,0.575113031289299,0.152826074802592,-0.0443556592276497,0.316900138066864,0.4460008347758,0.0403928282601565,-1.44331346980288,0,0,0,0,0
XRP,0,0,0.0972878748574557,0,0,0.235079013133601,-0.0929627198122427,4.33680868994202e-19,0.0212516704776618,-0.20874278056685,0.0749718895777825,0,0,-0.0437435734323704,0.440103597661007,0,0.0097420723791392,0,0,0.00498034163853006
DASH,0.197603506431698,-0.0471628698375042,0.087365354098087,0,0,-0.0383257243912446,0.0973209776257719,0,0.0707641649544102,0,0.0223108582903071,0.410408965199307,0,0.0722373553930042,0,0,0,0,0,0
LTC,0.0543458657972439,0,-0.0160425107799482,0.0761949730700908,0,0,0,0,0,0.756015178015398,-3.46944695195361e-18,0,0.0832645278562072,0,0,0,0,0,0,0
XEM,0,0.0863920201118671,0.0555512784177013,0,0.404137547731084,0.091997439182846,0,0.0253949166939519,-0.0859527212477161,0,0.132954292384927,-0.107908346737853,0,0,0.400893541520239,0,0,0,0,0.151488775731567
MIOTA,0.130793648995947,0.101920229257997,-0.173055837814266,-0.265959042966255,6.93889390390723e-18,0,0.417262932972794,0,0.188651871132695,0.084722726368871,-0.123540758750642,0.265655953869031,0.437298297615548,-0.212152254153111,0,0,-0.540953819653681,0,0,0.0359829076036608
XMR,0,0,0.125228557694534,0.136474825236626,0.177076934779062,0,0,0.0203712678639175,0,0.0297104144865273,0.125473017471132,0.193681127010687,0,-0.0950088821076698,0.22839881030283,0,0,0,0,-0.0449754303720102
ETC,0,0,0.0146442773283334,0.119755810298043,0.0455925819263824,0.695343628661354,0,0.0827664847386251,0.121269625032539,0,0.0285740850702392,0,0,0,0.0361596712254205,0,0,0,0,0
NEO,0,0,0.0502656795693521,0,-0.0268992418288273,0,0.394243711452849,0.164190085779142,0.198608223524901,0,0,-1.38777878078145e-17,0.252992886731416,0.00323624977303931,0,0,0,0,0,-0.196352479063942
ZEC,0,0.548203311782184,0,0.0237023814915763,0.21098221714975,-0.0545561411426758,0.0709738590250642,0.155171579668535,0.0507653045368067,0,-0.0175039064972197,0,0,0,0.0785998394333429,0,0,0,0,0.0507519609298995
EOS,0.0721807473783215,0,0.0877589345780448,0,0.0575348855743359,0.37837593235805,-0.133220339805222,0.253372684275786,0.197524527705793,0,0.193492694560007,0,0,0.0955168751010327,0.208349512554954,0,0,0,0,0
BAT,0,0,-0.0334609556669899,0,0.0543282692690493,0,0.0740972920777924,0.0246084183069839,0,0,0.183215807957062,0.210714380078567,0,0,0.363255736418931,0,0,0,0,-0.130383276936973
XLM,0,0.126485511017567,1.73472347597681e-18,0.0642198990420668,-0.141681065685312,0,0.0775430298409463,0,0.501769672794119,0.0340704558254666,-0.0208590019728186,0,0,0.253115828993877,0,0,0,0,0,0
BV010082.Index,0,0,-0.00314952852341509,0,0,0.0109319359515134,0,0,0,0,0,0.053379981319357,-0.026598328982359,0.0118359279313403,0.00733140164081171,0,0,0,0,-0.0861405533203888
CVIX.Index,0,0,-0.0271294511700973,0.148471046493639,0.0101311299546408,0.0746496533214142,0.0575800179194846,0.0792876941112093,-0.0123432588679382,0,0.000456075182055601,-0.134609664144193,-0.0889105506136786,0,-0.0680017750397684,0,0,0,0,0.0750530296848572
DXY.Curncy,0.000795354479697938,-0.0169433787836813,0.00454941706156921,0,-0.00276454491060473,0.0135654239776844,-0.00427511024916385,0.00249839487778319,0,0,0.00852770834724738,-0.00273731979760487,0,0,0,0.0146739661016624,0,0,0,0
SPX.Index,0.0052562058661202,0,0,0,-0.014672689810441,-0.00997804732415786,0.000739883328472628,0.00450025811532126,-0.000967919585778354,0.0136592257998562,-0.00163829553992766,-0.00883589345280151,0,0.0062172981704588,-0.00386564484212236,0,0.00405488380067589,0,0,-0.0447165763429443
VIX.Index,0,0.0689383132760935,-0.0252222649219174,0.0229753465941172,-0.295472231270235,-0.100880539251797,0.316234617771538,0.147583858416179,-0.0251893732281709,0,-0.138941666057278,0,-0.129438118245401,0.0782603156140982,0,0,1.33096935752294,0,-5.95410098637353,0
