,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,ADA,ETC,XMR,TRX,XLM,XTZ,DASH,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.148571795040768,0,0.163839880626061,0,0.0519212759226481,0.000178532749732375,0,0.0850281579540627,0,0,0,0,0,0.0358688710362279,0,0,0,0,0
ETH,0,0,0.119556502176176,0,-0.0219302472756323,0.329746190550276,0.0985929737120343,0.0845608280198387,0.066177920424751,0,0.0338670540004777,0.119550248771808,0,0,0,0,0,0,0,0
XRP,0,0.435241512662549,0,0.147414601817517,0.000000000000000000433680868994202,0,0,0.109253194062518,0,0.00000000000000000173472347597681,0.0737086077354707,0.00000000000000000693889390390723,0,0.0463107487771233,0,0,0,0,0,0.10064591057901
BCH,0,0,0,0,0.221840775768883,0.35409761675247,0,0,0,0.0654154761247883,0.114248397502961,0,0.178361029045361,-0.102069509033509,0.0232245267051268,0,0.0499187073321706,0,0,0.0904242478376156
BSV,0.812580551202323,0,0.363644277733034,1.39425207211486,0,0.131817138109007,0,0,0,-0.374044230052314,0,0.343832094171956,-1.81499916011034,0.0000000000000000555111512312578,-0.0981893827182822,1.03192235352479,0,0,0,-0.054796025113119
LTC,0,0.186890301000893,0.00143013402491897,0.226191373187881,0,0,0.218567493279013,0.169185525266729,0.0767603772989547,0.0249095268828709,0,0.132472300717728,0,0,0,0,0,0,0,0
EOS,0,0.476197764101389,0,0,0.0807050756996201,0.266455387920057,0,0,0.0272931611500267,0,0.114344740265733,0.125223594174623,-0.0139853534801312,0.0658527024865958,0,0,0,0,0,-0.0069074775320724
BNB,0.193586203786858,0,0.0598416515388715,0.104040643553176,-0.0328661662576677,0.262215670052076,0,0,0.190529384000723,-0.0612419791306027,0,0,0.0538928175795997,0.0359585519103277,0.100833357258747,0,0,0,0,-0.00905431849492288
ADA,0,0.55957476867244,-0.000000000000000000433680868994202,-0.0542837067050763,0,0,0,0,0,0.100837948210507,0.128565857048184,0.263717472118715,0,0,0.00977484506362136,0,0,0,0,-0.0747895230690653
ETC,-0.129531887910126,-0.459532367464421,-0.352116094269561,0.275642582662862,0.0890507307544497,0,-0.205818334254426,0,0,0,0.674488203052174,0.368520667548112,0,0.197895257119949,0.29930341945861,0.212036366158112,0,0,0,0.059382816858708
XMR,0.0134818595948399,0.131122631751723,0,0.39682239714485,-0.168371190170845,0,0,0,0.246500276793704,-0.00932437473606825,0,0,-0.0346636640583895,0.104669380426748,0.143544544426169,-0.00495651356314003,0,0,0,-0.000000000000000000216840434497101
TRX,0,0,0.394493264419802,0,0,0,0,0,0.436534061289136,0.0918856830808693,0,0,0.0105809544908736,0,0.0945509461408872,0,-0.113649245169706,0,0,-0.125223558987143
XLM,0.335348411870823,0.31970780238535,0.30185762726279,0.170338634177347,-0.0823934050936838,-0.103466539412365,0,0.0132918927831734,0,-0.0619378829747576,-0.0103376219994399,0,0,-0.0760551132490004,0.0560461772692711,0.108067834824072,0,0,0,-0.0436008538240345
XTZ,0,0,0,0,-0.0758707408596012,0.225676261758807,0.527069695291554,0.372986522136956,0.235491485224912,0,0,-0.609659563269129,0,0,0.103545728089903,0,0.0501369652985677,0,0,-0.168013161398304
DASH,0,0,0.00000000000000000346944695195361,-0.135162050064707,0.237315552064189,-0.041677633466127,0.645353275982151,0.939640014045504,-0.634059377319512,0.0647538387688074,0,0,-0.404813162941472,0,0,0,0.567520449486847,0,0,0.081921190891128
BV010082.INDEX,0,0,0,0,0.012257871423868,-0.0316400594022024,0,0,-0.306724842847284,0,-0.0157784692891533,0.306902437491581,0.172040446032476,0.0808909522095418,0,0,0.0628917641143062,0,0,-0.0253782661657599
CVIX.INDEX,0,0,-0.0384339705301267,0.228265063774544,-0.0966383958959021,0,0.077531391531497,0.0531766238669894,0,-0.204515562786872,0,0.118784006916616,0,0,0.0300625259455743,1.38137729255435,0,0,0,0.0445183281149227
DXY.INDEX,0.0256589531266543,0,0.00160717935207542,0.00622762184575857,-0.0039805350023989,0.000000000000000000216840434497101,0,0,-0.029603456741333,0.0288848830579742,0,0,0,-0.00238936133854536,-0.00437426147667284,0.0694099851989191,-0.0283401698744643,0,0,-0.00480429605360926
SPX.INDEX,0,0,0,0,0.00350113654935228,0,0.0304485610143205,0,-0.0252540417926714,0,0,0,0.00990502079552105,0,-0.0000000000000000000542101086242752,0.0502511835113472,0.0257788972309582,0,0,-0.0543270932802229
VIX.INDEX,0,0,0,0,0,-0.0531527357021187,0,0.700112420016499,-0.464822524894595,0.427152326288861,-0.487277144187081,0,-0.18933090876751,0.0751237458966981,0,0,0.812694468713368,0,-6.37633402677092,0
