,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.0451967896889291,0,0,-0.0175069444049246,0.169831923300572,0.0845984350702504,0.113314125604949,0,0.000679555584466669,0.0430501603603579,0.0560990405347949,0,0,0,0,0,0,0
ETH,0.204728563582558,0,-0.0742061454763089,0.0532982141756088,-0.129000357948234,0.0962820127641524,0,0.125932961218135,-0.192388741887262,0,0.133521558946333,-0.0242858132065831,0,0.0629423689775918,0,0,0,0,0.0593419614994969
XRP,0,-0.220576662693621,0,-0.501100497523563,0,-0.100014318847489,0.480524037623177,0.231057357327112,-0.00384863646695793,0.270013262387874,-0.12317939514272,-0.0286509429830117,0.227069395568363,0.138808048301816,0,0.388142011232716,0,0,-0.00000000000000000346944695195361
ETC,0,0.0675121524576465,-0.320419432467637,0,0.138722763284004,0,0.269432300634383,0,0.00967995445125089,0.0511462795423786,0,-0.0341693413100657,0,0.137811064947458,0,0,0,0,0.0714753716739396
XEM,0,-0.189297462043945,0.02480193698557,-0.447677802763272,0,0,0,0.110620880948385,0.195400383212696,0.0390925769116725,0.0991137724449581,-0.0189276768333411,0,0.420859815021573,0,0,0,0,-0.199418973529139
LTC,0.505249305248186,-0.0252632864198432,-0.00000000000000000173472347597681,-0.00769564931583508,0.159913937735883,0,0.185966386049199,0.182110934955038,-0.107818328189991,0.000000000000000000867361737988404,0.128061687221017,0,0,0.238534566174704,0,0,0,0,0.0581046221002216
DASH,0.165083292088556,0,0.0385823787414055,0.116276888380304,0.0431614000878901,0,0,0.279705170655796,0.310214270147428,0.0601150135508016,0.0408660722978509,-0.017461070221802,0,-0.00613320588688918,0,0,0,0,0.130239431416816
XMR,0.33700552258006,0,-0.0462399694726458,-0.191138702657663,0.0663959312160583,0.0824144479005259,0.698636397525279,0,0.0473361058713747,0.134045865688055,-0.134628396118629,0.0383951749247567,0,-0.146962306185521,0,-0.0764871654836052,0,0,-0.228583586910576
ZEC,0,0.107307399499342,0.0145582897641628,0,0,0,0.198357615594166,0,0,-0.0330212248729567,0.215741684963385,-0.0203563616116025,0,0.0373753285930231,0,0,0,0,0
XLM,-0.329005588473503,-0.24979584912943,0.235539966527287,0,0,-0.731383617477096,0.623916252025893,0.71279093545727,-0.462237610524392,0,0.20624575300326,-0.0486966835236251,0.168399126758256,0.313099185039317,0,0,0,0,0.0232380640226125
DOGE,0,0,0,0.151264924630093,0.311004070498022,0.0960320019173382,0,0,0.204904217682432,0.17327309909322,0,0.0466622606719525,0,0.0942132613858045,0,0,0,0,0
DGB,0,-0.522405542032886,0.555036811194623,0,0,0,0,0.267071553124721,-0.185947438644809,-0.363250917627056,0.480255305280229,0,0.404872255998889,0.1376927036554,0,0,0,0,-0.167094451788545
BAT,-0.4962345275285,0.158822873142773,0.164892899217286,0.0301183942806108,0.18664112213778,0.152192273260004,-0.250347443717724,0.0226196142687743,-0.131015491276057,-0.0598575553672346,0.0403229706671277,0.0169465270007133,0,0,-0.947931694364499,0,0,0,-0.270885275228383
NEO,0,0.506216787117724,0.358982814463824,0.464920312723323,0.161629775126568,0.638713608261983,0.155845207129626,0,0.29501422467834,-0.148801391062844,-0.132109930802082,0.0186086160749047,0,0,2.68373708640399,0.163281486553704,0,0,0
BV010082.INDEX,0,0.035978975269147,0.00000000000000000010842021724855,0.0771017268295509,-0.0342059466478462,0,-0.0823694198010803,0.0198437920136209,0.0728743944593904,0.0549898095969045,-0.0407477737838757,0,0,0,0,0,0,0,0.0064667489116717
CVIX.INDEX,0,0,0,-0.300910053925105,-0.451418408433306,0,0.131408904671325,0.0796909580537049,0.116980345280024,0.00944742639962116,0.0138300135755847,0.0322153933123608,0,0.149256313843568,0,0,0,0,0
DXY.INDEX,0,0.0223682627576246,0.00728106496155291,0.0101912585629079,-0.0170326952215493,-0.00595200189543066,0,0.00664054102613723,-0.0000000000000000000135525271560688,0.00568786552040171,-0.00331339181937976,-0.00225398429552297,0,-0.00607539874490314,0,-0.0137885402443134,0,0,0.0051656126911953
SPX.INDEX,0,0.0115440075126662,0,0.0000103900160540858,-0.00664059842029174,0,0,0.00541717670279272,-0.0174041677625453,0.0050996350687656,0,0.00386923129831435,0,0.000308046208298692,0,0,0,0,-0.0329359396803113
VIX.INDEX,-0.605334836384108,0,0,0.360759551365919,-0.235559330473632,0,0.213128035459106,-0.112917830450834,0,0.220944324357755,-0.0343980934470506,-0.0455840895780546,0,-0.0342924310141018,-3.29137558939818,-0.694264360853777,0,0,0
