,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,TRX,ADA,LEO,XMR,LINK,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0.249947401523474,0,0.184098311535264,0.145307495971523,0,-0.0666240429214887,0,0.056019960866456,0,0.00309342062866734,0.120586661017253,-0.127005279434375,0,0,0,-0.0546966483183696
ETH,0.174378379710026,0,0,0.180982440383628,0,0.0533829983201985,0.295008628348073,0,0.106108666338395,0,0.186025398158598,0,0,0,0,0,-0.103023395404073,0,0,0.0242971472964609
XRP,0,0,0,0.128850203111182,0.106661451390246,0,0.209101580377209,0.0554198214168147,0,0.189258623449642,0,0,0,0.0293591970109043,-0.131826950232217,-0.226595088528634,0,0,0,-0.0701635250418391
BCH,0,0.320475506350075,0,0,0,0.0640516668351244,0.108600222674192,0.23553614982904,-0.0311371183847181,0.210525913515521,0.141397546010628,0,0,0,0.0555832806945297,0,0,0,0,0
LTC,0.30934640664825,0.300479478371286,0,0,0,0,-0.00000000000000000346944695195361,0.0878388094613011,0.135024104753191,0,0.119812333373658,0,0.052022416504963,0,0,0,0,0,0,0
EOS,0,0.1341594878329,0,0.209232898884705,0.186978608221239,0,0,0.0873966045912406,0.0261201798652417,0.0215041786627815,0.465196149224401,0,0,0,0,0,0,0,0,0.00179737444074765
BNB,0.0462659590145031,0.389222834533628,0.0301780406025092,0.0484735065497126,0.233737606718537,0,0,0,0,0,0.0798846559482813,0,0.0919578920409183,0.0218999838890648,0.0709402864465488,-0.0601035723220801,0,0,0,0
BSV,0,0,-0.0602927580325859,0.4347901175072,0,0,0,0,0.273626701914533,-0.10010394837749,0.625886886153188,0,-0.00000000000000000173472347597681,-0.0122324982861525,0.132199355063605,-0.0967824291788033,0,0,0,0.0643912004844803
XLM,-0.183463262964407,0,0.296826435940723,-0.0452964730527572,0.827888255715067,0,0,0.0805056131398835,0,0,0.00780744605012119,0,0,-0.044637655300118,-0.388665400398651,-0.150859428153407,0,0,0,0
TRX,-0.143609237202013,0,0.455431589428818,0,0,0.305449631593076,0,0,0,0,0.320482092993818,0,0.211498760993253,0.0170635718017107,-0.0834649546046517,0,0,0,0,0.020456170430952
ADA,0,0,0,0.0192527057316781,0.0153603685646459,0.308142082934288,0.190865927174666,0,0.101613682094353,0.218524007294927,0,0,0,0.0201760446867797,0,0,0,0,0,0
LEO,0.174073171595848,0.376879630607692,-0.0636047040419565,-0.0856717011279388,0.186024601341136,0,-0.0475007516461868,-0.0706310768220162,0,-0.0784536665431085,0,0,0,-0.334539839884839,0.0482688815896794,-0.330004894530145,0,0,0,-0.0479835012614111
XMR,0,0,0,0,0.241677121075264,0,0.158304004024481,0,0.0298685629608754,0.225204831612003,-0.0998797319425605,0,0,0.0608358059468011,0.0744829244086678,0,0,0,0,0
LINK,0,0.978218512448338,0,0.0741688530634766,-0.047444317581663,0,-0.268092840112568,-0.0320778588634048,0,-0.00930104328043712,-0.0644490640315583,-0.705625975643924,0,0,0,-0.543004553766709,-0.179272515606332,0,0,-0.0426853141397741
XTZ,0.433228287994024,0,0,0.0577817901196277,0.214853029878114,0.0492712114611609,0,-0.0000000000000000138777878078145,0,0.0460622013924401,0,0,0,0,0,0,0,0,0,-0.102928885627272
BV010082.INDEX,0,0,0,0.399161298847339,0,0,0,0.0786891136039527,0,0,-0.294250463197162,0,-0.478300710438472,0,0,0,-0.11492542885295,0,0,-0.134984831559072
CVIX.INDEX,0.45843656097222,0,0,0.159501534912317,-0.614257832923836,0.111555327487457,-0.301218197964618,-0.0260855255251706,0.222687635625298,-0.0952081933802992,0.030087475561222,0.0898940291193431,0.113936254254388,0.174451752115035,0.0827308316042675,-0.139231693604473,0,0,0,0.0422588007797782
DXY.INDEX,0,0.0777052218581986,0,0.0201474576044146,0,-0.0196906044221093,-0.0441208524432863,-0.000737505167140763,0.00869146149399414,-0.0191112813679419,-0.00490499690451912,-0.00344517766446347,0,-0.0028970911468901,0.0170509415251446,0.0024600981132216,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,-0.0602734394739338,-0.00189616842340263,0,0,0.0804585171489309,0,0,0.0124317529303761,0,0.0667020746720723,0,0,0,-0.0960416386312607
VIX.INDEX,0,0,0,0,-0.459739419736871,0.213017982321408,-0.168695502490605,-0.150657652212158,0,0.22669731485684,0.272463153975804,-0.356558842064914,0,0.0625120426596942,0.0210301344978648,0,0,0,-6.23430598034733,0
