,BTC,XRP,LTC,ETH,DASH,DOGE,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.222438456631756,0,0,0.172836036833994,0.103373940770134,0.0417484599913267,0.241897905833995,0.168580302305187,0.147855894793572,0,-0.092805695237633,0,0,0
XRP,0.21648829721973,0,0,-0.0207614968813052,0,0.150716180618569,0.0645830289131822,-0.186138585475604,0.180507687862862,-0.033843055055061,0,0,0,0,0.033191275952261
LTC,0.506104168211107,0.346622975156343,0,-0.0139322711267155,0,0.733131171315017,0,0.0747498524197404,0.0592400259536568,0,0.687408414480335,0,0,0.603953193424444,0.108366786705636
ETH,9.72439816325164,-1.49751290193321,0,0,2.11354605532231,0.652022653175367,-1.56144255112804,0.423129861990776,-0.770479863430919,0,-0.894094362795408,3.54163756220456,0,0,-2.17328015830446
DASH,0,0,0.151354271039724,0,0,0.333771991960051,0.256636002485582,0.0547138148164646,-0.0329195632009656,0.101787307581578,0.115738037887835,0.723187341659254,0,0,-0.121840216637547
DOGE,0.17779591682942,0.106344816850804,0.214748866601068,0,0.157169650849229,0,0.209645970343249,1.38777878078145e-17,0,0.00893671978780285,0,0,0,0,-0.0476307876919305
XLM,0.697646938705787,0,0,-0.0639064447048836,0,0,0,0,-0.101147307524467,-0.113904834128775,0,0,0,0,-0.0941948763942282
XMR,1.77196246836381,0,-0.186746124799178,-0.0693438240437351,0.615539333655437,0,0.202717407877421,0,-0.0489028847985278,-0.0142519046583798,0,0,0,0,0.0723400894723342
XEM,1.58627707792763,-0.219879697351992,0.380224280447398,-0.0696032179566193,-1.19263609480326,0,-0.633428406688651,0,0,0.171768902115056,0,-0.502511237663023,0.981009029423913,0.509306592606222,-0.25121508904438
DGB,0,-0.00485401696998792,0.17665146265095,-0.0241830770752423,0,0,0.357078362133635,0.287952359231348,0,0,0,0,0,0,-0.125648415577461
BV010082.Index,0,0.0866275033051536,0.0593175603045349,-0.0229958338181328,0,0,0,-0.0704847141871369,-0.0280836723989451,0,0,0,0,0,0
CVIX.Index,-0.502264566146083,0.142455141836857,-0.333355770930901,0.0174072604895825,0.0290289654111773,0.280912870529084,8.67361737988404e-19,0.204487359654245,0.0953585787432494,0.0784188337873673,0.0767009222604403,0,0,-0.362147140165011,0.0550147469245633
DXY.Curncy,0,-0.0440788001204767,0.0137151956028072,0,-0.0756240998485999,0,0.0334972331378543,0.00931922055929267,0.0109566234219326,-0.0294506010917441,0.0103768774161526,0,0,0,-0.025558971423425
SPX.Index,0,-0.0454378726858732,0,0,0.027676826037601,0,-0.103647161574364,-0.0129420306528104,0.00993506515775925,0.0062347330542629,0,-0.247642835760085,0,0,-0.0575067412260233
VIX.Index,0,-0.262793301776118,0.535624945667017,-0.053467093562557,-1.0485038066656,0,0,-0.0131937154540773,-0.156261676622104,0.281968599436254,0,1.29368012009466,-3.46737277485327,-2.3908113897709,0
