,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.10025416902403,0,0.400053544218216,0.00282022635657958,0,0.0614463055349373,0.147446046172567,0.0584670960304771,0,0.0272010570532919,0,0,0,0,0,0,0,0
INNBCL,5.00473447951045,0,17.4051254521119,0,0,-1.11022302462516e-16,0,-6.26325367510142,-26.8019748513928,0,5.60952886300382,0,5.64638621505678,14.3739436801306,-14.8706938582175,-10.3905536481345,0,0,15.8163583502649,0.332185153529743
ETH,0,0.000731454156663722,0,0,0.267499384306459,0.0773946816612679,0.0357546838803801,0,0.0375117038242925,0.266987099800927,0,0.0124677574080457,0,1.0842021724855e-19,0.267971880176887,0,0,0,0,0
XRP,0,-0.00117455421507903,0.199479156481866,0,0,0,0,0,0.293936963077529,0,0,0,0,0.232270154018099,0,0,0,0,0,0.0106261799724127
BCH,0.12136659017325,0,0.36292313827392,0.0974419743810716,0,0.270600172913684,0,0.0185713300228045,0.0680943690301995,0.0718422225642368,0.0151689753975176,0,0,0,0,0,0,0,0,0
BSV,0.13572605164763,-0.00840204864480886,2.77555756156289e-17,0,0.365037481466039,0,0,0.151655319483739,0.354813148120071,0,0,0,0,0,0.0889735635889934,0.0729253426620043,0.0908712842228665,0,0,-0.0571521274942497
LTC,0,0.00310216410285833,0,0,0,0.189136046781392,0,0.410518105195931,0,0,0,-0.0144653492661764,0,0.310034721103505,0,0,0.0391814308348192,0,0,-0.0336514545805307
EOS,0,-0.00198367299435607,0.140712956605458,0,0.103611565054478,0.182931809958527,0.235424650738759,0,0,0,0,0,0.105424982249976,0.146292786180571,0.0477622384672087,0,0,0,0,0
BNB,0.0774732601369018,-0.00485098301619638,0.321760808494016,0.0706725206274981,0.402206203209674,0,0,0,0,0,0,0.0921005336309899,0,0,0,0,0,0,0,0.00979554243089072
XTZ,0,-0.000441535346175983,0.161517427494618,0,0,0.236298965809491,0,0,0.0898574703092393,0,0,0.482882899682211,0,0,0,0,0,0,0,0
TAGZ5,0,-0.0100539614954048,0.672569710299744,0,1.1804106463923,-0.122023463161482,0,0,-1.6103609792403,0.467588136273431,0,0.39335993721762,0,0,0,-0.512026642950175,0.118063174732216,0,0,0.0547768593553869
LINK,0,-0.00609309599696062,0.200915981245216,0,0.0791136045991585,0,0,0,0.185396289708714,0.452718402393023,-0.0146508130348749,0,0,0.124973649359301,0,0,0,0,0,0.0272143955624999
XLM,0,-0.00202739263200515,0.0460577098265209,0.10581751827603,0.326737771932939,0.0696225247329745,0,0,0,0.083049492896303,0,0,0,0.120049039761127,0,0,0,0,-0.0480008336460282,0
ADA,0.0194336070401717,-0.00351696764696703,0,0,0.0288045581830822,0,0.773897959837892,0,0.17491898982703,0.0211848048499694,0,0,0,0,0.0223343129956875,0,0,0,0,-0.0022439497467371
XMR,0.0517046548075385,0.000191060673051541,0.163270083411251,0.0162674812188165,0,0.0807710543873201,0,0.316978932111393,0.123828805456144,0.127115402361734,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.0010692309732149,0.141597774048301,0,0,0.304140531461868,0,-0.215808066345958,-1.02146057912547,-0.816646096553937,0.0821956734340098,0.575103546778112,1.08750866794447,0,0,0,0.108600098674846,0,0.0660769206348033,0
CVIX.Index,0,-0.00190188602090719,0,-0.295524921918244,0,0.0671238324121601,0,0,0,0.261880462768304,-0.157447240979001,0,0,0,0,0.505492177672152,0,0,-0.849651729263353,0.359409089688171
DXY.Curncy,0.0589373185381142,-0.000383700951715147,0,-0.157652328343693,0,0,0,0,0.0475220251735076,0.0303188547585568,0,-0.0153204297507426,0.0327339258872444,0.00810922950380064,0,0.0130656878687826,-0.0169815859295862,0,-0.0128447856748444,-0.00700382192169855
SPX.Index,0,0.0014715612207736,0,0,0,-0.139538553571172,0,0,0,0,0,0.162693496105693,0,0,-0.0570943128329176,0.241860285383911,0,0,0,-0.206000425914696
VIX.Index,0,0.0189137451469306,1.32517249660683,0,0,0,0,-0.455263629732419,-1.3501626926016,6.93889390390723e-18,0.135038693445712,-0.110507679593177,0.505609114245434,0,-0.118949712423676,0.223139636720434,0.132201680611603,0,-1.60276346417132,0
